{'CALIB_RAW_DAC_START_I': 786432, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
158739,158585,158483
14088A,140A1D,140940
1583B9,1583D8,158345
140C3B,140AFE,140859
158324,158399,158335
140913,1409A1,140978
158305,1580B9,1583B8
140ADA,140998,1408FD
1586CD,158556,1583EF
1409FE,1409D4,140AB0
15832F,1584E1,158392
140818,1409FD,14091E
15824E,1583F7,1582D0
1407FF,140A11,1408B6
158298,1583E6,1584B2
1409C3,140962,140956
158421,1582FD,15829A
140989,140753,1407A2
1582F5,15831A,1583EE
1408D7,1408C6,14096A
158337,1582AA,1581BE
140A29,140865,1406B3
158338,1580E0,1580F5
140935,140A7C,140865
1583B0,1582B9,1582C4
140BB0,1409A1,140ACD
1584B0,158633,158511
140BDF,14096A,140D0E
1583A6,1584FC,15848C
140A20,14091D,140A94
158363,158467,1581C3
140AE6,1406DF,1409BF
1583D8,158426,1583DE
140900,140A42,140894
158214,158488,1582CF
14090A,140836,140AF5
158259,1583B9,15833C
1409DA,140829,140914
158458,1585CD,158318
1407AC,140842,1407DE
158276,1582AC,15838D
1409B0,140885,140982
1581B4,158372,1583BE
140848,1407B2,140852
15827E,15825A,158408
14074B,140866,140733
158194,158214,15833D
140A7C,1407FC,140725
158298,15827A,158112
14080A,140750,140625
158321,158289,1582F1
140792,140855,1408B7
158378,1581B0,1581EB
1407D0,1406BB,1407EC
158242,15812F,1580EF
140805,140867,1408C3
157EE6,157ED0,157D33
140EA7,140CA4,140C90
1588A2,1587C2,158793
140C74,140CF2,140D08
158712,15859A,1586D4
140E5D,140AB0,140B62
158650,15844A,1586D8
140E3D,140BE5,140C3E
15874F,1587D5,1586D4
140C4D,140D25,140C1D
158525,1586E2,1587CC
140D54,140C04,140D41
158691,158505,1583FC
140B60,140A82,140B80
1586EE,1585F3,1583C7
1409F2,140A38,140BB7
158614,1584D0,1585A3
140C3F,140BA3,140D3E
15852A,1586ED,158595
140A55,140A11,140AEE
1583EC,158482,1585C4
140A88,140815,140A08
158437,15844A,15844D
140C2C,140B6B,140ABF
15865B,158671,158392
14099A,140BB8,1408ED
15855F,158524,158666
140A9B,140AD5,140AB8
1584A6,158496,158507
140A3D,140BF9,140AB3
158780,1585C1,1586F5
140B56,140ACB,140BBB
15842B,158569,158531
140D57,140CD5,140E40
15887C,1586B6,1587AF
140B11,140B20,140BD9
158638,15878E,15871F
140CCF,140B23,140B76
158745,158695,1585F9
140D00,140C68,140D83
1584C9,158649,15860A
140DDE,140E1D,140CDC
158514,1585F7,15871A
140D3F,140D71,140BDA
15880B,1586A4,15885D
140B09,140C34,140BC5
1587D3,15852C,15857D
140A28,140A41,140A94
158687,158885,1589FE
140E47,140C66,140C36
1585D9,1584F6,158598
140B72,140C8A,140B7D
15852E,158834,1586BC
140AAF,140BAE,140BD9
158777,15866A,158652
140BA3,140C57,140A91
1587E4,1585F2,158712
140C30,140D23,140CD6
1584C0,1585B0,1585CC
140A70,140BD0,140948
1582CF,158577,15847E
140AD5,140AA8,140981
158413,15838E,15843A
140831,1409E1,140AD6
158465,158488,158364
1408A4,140916,140856
15807F,1581D6,1582DB
