{'CALIB_RAW_DAC_START_I': 983040, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-A8E15,-A8F0A,-A8EC1
-91548,-912C3,-91589
-A8CA0,-A8EE5,-A8C82
-9148E,-9159E,-91418
-A8DD8,-A8E4C,-A8E1B
-91336,-91430,-91488
-A8F48,-A8D50,-A8F1A
-91495,-9137A,-91508
-A8F5F,-A8E05,-A8EFA
-913A0,-913AC,-91407
-A9085,-A8D51,-A8F12
-91526,-91469,-912FC
-A8BE7,-A8C94,-A8D68
-913A3,-91408,-91491
-A8F84,-A8DBA,-A8DD9
-91359,-91412,-91299
-A8EA2,-A8E4D,-A8B14
-9138D,-9125C,-913D6
-A8DC8,-A8BAB,-A8DBC
-91278,-913C4,-91485
-A8CBA,-A8CE4,-A8BEF
-91210,-912A6,-91298
-A8C6C,-A8CC3,-A8C35
-9141B,-9124C,-912DA
