{'CALIB_RAW_DAC_START_I': 622592, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-3AC5F,-3ACB1,-3AC2B
-526E4,-52641,-528CD
-3A980,-3AD38,-3AA40
-526E3,-52880,-5257E
-3AA92,-3AA55,-3ACA3
-52654,-52598,-525AF
-3AA42,-3AAEE,-3A9C3
-525C5,-526DF,-525C1
-3ABE8,-3AAC9,-3AA47
-5236E,-5249B,-524C5
-3AA67,-3AC15,-3AA21
-5257E,-523B0,-524E6
-3AA56,-3AA35,-3AA32
-52686,-52439,-525C1
-3AAFE,-3ABDD,-3AB98
-5242B,-52358,-52517
-3AC4E,-3AAA6,-3AA40
-52412,-52522,-52491
-3A79C,-3A785,-3A74C
-52382,-524FD,-525B3
-3A6A0,-3A7D6,-3A9C9
-522F8,-52333,-52421
-3A797,-3A84F,-3A9DC
-52053,-521E9,-523F3
-3A7E4,-3A8CF,-3A898
-5238B,-52306,-5243A
-3A759,-3A92E,-3A798
-52421,-5258B,-5241B
-3A7BE,-3A97C,-3A9B3
-52213,-52379,-523AB
-3A874,-3A7F5,-3A763
-52359,-5235C,-52414
-3A8D0,-3A90E,-3A751
-5227F,-522A6,-5224B
-3A6AB,-3A894,-3A79E
-52224,-521B7,-5228E
-3A7EC,-3A8FB,-3A8D3
-5223C,-52372,-52398
-3A856,-3A8BB,-3A85B
-5212D,-5230A,-5229A
-3A799,-3A88D,-3A6B9
-52348,-522C8,-523C1
-3A7DF,-3A6CC,-3A5EB
-52360,-5233B,-52260
-3A683,-3A719,-3A779
-520B0,-5213B,-521EE
-3A61A,-3A5BC,-3A78F
-51FD6,-520FE,-52035
-3A5F9,-3A606,-3A7E8
-52109,-5230C,-52116
-3A8B2,-3A8E2,-3A794
-521FE,-521F2,-521C2
-3A844,-3A915,-3AA18
-521AE,-52327,-521B4
-3A956,-3A5CB,-3A7BA
-522FC,-52226,-5201F
-3A9CB,-3A9E5,-3A8B3
-5223D,-5231D,-5210F
-3A99F,-3A8B5,-3A85D
-521B1,-5215E,-52267
-3A878,-3A821,-3A908
-521CF,-522C0,-52123
-3A8A9,-3A89B,-3A7F7
-52291,-52319,-52259
-3A938,-3A86E,-3A859
-5224E,-5221E,-522BC
-3A62C,-3A69B,-3A4E4
-52392,-523C8,-52435
-3A7F2,-3A99E,-3A927
-5213E,-523D4,-5240C
-3A9E0,-3A826,-3A93D
-52260,-522B7,-52418
-3A90A,-3A9E4,-3A988
-5216B,-522B1,-52311
-3A857,-3A849,-3A7A3
-5233D,-524E6,-52210
-3A9E8,-3A8E8,-3A8BD
-52326,-5234A,-524B7
-3A91D,-3A8C5,-3A927
-522F0,-52396,-5241F
-3AA1B,-3A9F0,-3A9F9
-521B0,-52487,-5250F
-3BA7B,-3BC78,-3BCF6
-524B8,-522FF,-52513
-3A9A5,-3A9DC,-3ABDC
-524D4,-52686,-524E4
-3A816,-3ABDD,-3AB28
-52436,-523FB,-524C9
-3A908,-3A97C,-3A928
-52489,-524A0,-52450
-3A900,-3A806,-3A9EA
-52426,-52571,-52324
-3A7C1,-3A838,-3A81D
-5227A,-52527,-52494
-3A98A,-3AA4F,-3A7B3
-52355,-5246E,-522D8
-3A8F4,-3A8BA,-3AA16
-52349,-52468,-52352
-3A9C0,-3A9C8,-3A98E
-524EA,-524F1,-5248E
-3A9B4,-3A8EB,-3A9E5
-52205,-5227D,-52391
-3A956,-3A7C8,-3AA35
-524DF,-52390,-5254B
-3A8CD,-3A914,-3A8C5
-52462,-52342,-524D8
-3A77A,-3A8A1,-3AADE
