{'CALIB_RAW_DAC_START_I': 786432, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-749F0,-749C2,-74C03
-5D186,-5D1A1,-5D0C9
-748C3,-74962,-74AC5
-5D072,-5CE74,-5CE77
-74AE8,-749EE,-74BE3
-5CFB5,-5CF57,-5CEED
-74A02,-74B32,-74A9B
-5CF2B,-5D023,-5CF55
-74AFE,-749CA,-74A06
-5CEBC,-5CF4D,-5CE61
-74963,-74C34,-74CC0
-5D248,-5CF7A,-5CF9C
-74A21,-74BBC,-74AFE
-5CFE5,-5D045,-5D02C
-74A4B,-74AD7,-74AA0
-5D0D1,-5D055,-5D03A
-74984,-74B9E,-749CA
-5D048,-5D0ED,-5CFD0
-74B51,-74AC7,-74BE2
-5D157,-5CF2C,-5D014
-7496B,-74997,-7490D
-5D0A0,-5CFC0,-5CF53
-74A22,-7492C,-749FC
-5D181,-5D0DF,-5CF4D
-74AB7,-74978,-74B96
-5D181,-5D045,-5CEF4
-74D13,-74C54,-74CF0
-5D06C,-5D033,-5D00E
-74B38,-74AE6,-74AE5
-5D1C6,-5D182,-5D020
-74B03,-74AED,-74B5F
-5D07E,-5D1EA,-5D099
-74AFD,-74933,-74BAF
-5CFB5,-5CD6D,-5CFCF
-74A4D,-74AED,-74C00
-5CEB9,-5CEFD,-5CFDE
-74A8E,-74B44,-74A89
-5CFFC,-5CE68,-5CF2B
-74995,-74A70,-749F5
-5CF36,-5D0F6,-5D095
-74C69,-74B81,-74BEE
-5D0CE,-5CEA7,-5D053
-74AEC,-74C41,-74B69
-5D280,-5D29F,-5D12F
-74BAE,-74BEC,-74C13
-5D07F,-5D185,-5CEED
-74CD1,-74AFE,-74912
-5D0EC,-5CEBC,-5CFF7
-74B47,-74B74,-74AF7
-5D08D,-5CEE4,-5CF59
-74AB5,-74942,-748C3
-5D022,-5CF54,-5D09D
-749A4,-74AC6,-74A75
-5CF1C,-5CD46,-5CD7C
-74A39,-74984,-74A18
-5D05F,-5CFB6,-5D0B0
-74B97,-74809,-74AB0
-5E1FE,-5E056,-5E05F
-74B31,-74AC9,-74C2A
-5D27B,-5D153,-5D1C5
-74C35,-74BC6,-74B27
-5D10A,-5D175,-5D008
-74A61,-74C96,-74CBF
-5D0F2,-5D187,-5CFB7
-74B93,-74AC9,-749E3
-5D0F6,-5CE0E,-5D19B
-74C9D,-74A96,-74A2E
-5D0CC,-5D17A,-5D06A
-74983,-74D59,-74AC2
