{'CALIB_RAW_DAC_START_I': 983040, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-F8688,-F85DB,-F86B3
-E0DF4,-E0D6A,-E0ED9
-F87B5,-F86C7,-F8613
-E0D92,-E0BBA,-E0C16
-F85DA,-F8576,-F873A
-E0BC9,-E0B86,-E0C2D
-F86C3,-F8535,-F8681
-E0AAE,-E0CA8,-E0E15
-F8591,-F85ED,-F87C5
-E0A29,-E0A5C,-E0A93
-F865D,-F8693,-F866B
-E0AEB,-E0E14,-E0C44
-F8746,-F862C,-F85F4
-E0C8E,-E09BC,-E0B68
-F851A,-F85C1,-F8511
-E0A0D,-E0AF9,-E0A86
-F8671,-F86FF,-F87B6
-E0AC8,-E0A74,-E0C5D
-F8588,-F871E,-F85ED
-E0BE3,-E0C00,-E09F9
-F85AE,-F86AF,-F86AA
-E1A86,-E1C3B,-E1AB9
-F859A,-F86A3,-F8662
-E0A68,-E0BC7,-E0C03
-F8359,-F86A8,-F85CF
-E0B4D,-E09F0,-E0992
-F83ED,-F86EC,-F8456
-E0B62,-E0BD8,-E0ACA
-F84F0,-F84EB,-F8481
-E0A18,-E08A0,-E09B2
-F8552,-F8770,-F85BD
-E0981,-E0B88,-E0A48
-F8589,-F8435,-F83EE
-E0B67,-E0933,-E0A29
-F8657,-F84F8,-F864F
-E0A38,-E0983,-E0A57
-F84B4,-F83C6,-F8639
-E0A9D,-E0BAC,-E0B02
-F84A9,-F829E,-F8510
-E0991,-E07C2,-E0972
-F84CC,-F8456,-F83E0
-E09E6,-E0A2F,-E0A8E
-F8454,-F8287,-F85E1
-E08EF,-E089A,-E0920
-F8565,-F84E5,-F82F8
-E081F,-E0996,-E0828
-F81EA,-F83CA,-F8377
-E08A6,-E06E0,-E07C1
-F8312,-F82B7,-F81F3
-E07A1,-E0884,-E09E9
-F849C,-F83EF,-F82E1
-E0A5D,-E0800,-E0873
-F84A1,-F84D2,-F82F8
-E08D7,-E092E,-E0961
-F80D7,-F82C3,-F81EF
-E077D,-E0888,-E0A2E
-F81E7,-F806A,-F829F
-E06A2,-E0731,-E08AC
-F82EC,-F8352,-F813D
-E0917,-E09F2,-E07EE
-F828F,-F813F,-F81BA
-E0631,-E0600,-E075A
-F7FA8,-F821F,-F8209
-E06B4,-E0761,-E069B
-F8295,-F8257,-F820B
-E0646,-E0760,-E060F
-F801E,-F820A,-F8264
-E07AD,-E08AA,-E0664
-F81B2,-F82B3,-F83D9
-E06E6,-E0524,-E06EA
-F8392,-F818E,-F82E5
-E06FD,-E08DA,-E0821
-F81FA,-F7FF6,-F8124
-E076A,-E0635,-E0760
-F81E8,-F80DB,-F81E9
-E07ED,-E04F8,-E0536
-F7F7A,-F7FAA,-F811D
-E0485,-E067B,-E08FB
-F8188,-F815A,-F818A
-E06ED,-E064C,-E0478
-F8117,-F8066,-F7FED
-E03D9,-E0688,-E058D
-F800D,-F8158,-F8239
-E0403,-E06EC,-E076B
-F7FB2,-F81D9,-F7DBD
-E05BB,-E070E,-E070F
-F84AA,-F84C8,-F83FD
-E0BC5,-E0AAC,-E0937
-F8232,-F8167,-F8310
-E0748,-E0884,-E06A0
-F855E,-F84FB,-F8205
-E07CF,-E0824,-E0867
-F8430,-F82B7,-F840E
-E0913,-E095D,-E086D
-F83C8,-F840E,-F82A8
-E08DB,-E0805,-E09B1
-F84A9,-F8358,-F82EA
-E0A2C,-E0A6E,-E0A13
-F83FB,-F8349,-F8187
-E07BC,-E0982,-E0B17
-F8323,-F8568,-F837A
-E089F,-E093F,-E0778
-F8338,-F8291,-F82C0
-E077D,-E07B7,-E09D4
-F8422,-F833B,-F828F
-E0888,-E075E,-E06C6
-F829C,-F8309,-F8391
-E08A3,-E08BE,-E0804
-F82CC,-F839E,-F8381
-E0890,-E0696,-E0847
-F8296,-F833A,-F83A4
-E0880,-E064C,-E0683
-F8242,-F817F,-F8055
-E0712,-E084C,-E08B2
-F812F,-F8320,-F8053
-E091F,-E0772,-E07C8
-F82BE,-F81AE,-F8293
-E0814,-E05ED,-E07C3
-F7F6C,-F8150,-F8030
-E07F3,-E054D,-E0636
