{'CALIB_RAW_DAC_START_I': 983040, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-9F1F8,-9F3D1,-9F36F
-877CF,-87816,-877B1
-9F277,-9F2FF,-9F39E
-87716,-87762,-87897
-9F1B6,-9F1C2,-9F299
-87749,-87839,-8785D
-9F04C,-9F18A,-9F25E
-8791A,-87820,-87919
-9F3C4,-9F3FD,-9F304
-87859,-8783B,-87860
-9F262,-9F250,-9F22A
-87789,-87715,-878F4
-9F13D,-9F1E5,-9F282
-87609,-87559,-87691
-9F1CE,-9F2BA,-9F24A
-87783,-8786E,-877FA
-9F0E8,-9F355,-9F240
-8782F,-87786,-87792
-9F177,-9F276,-9F0CF
-8791D,-877F3,-877DB
-9F2A9,-9F3D9,-9F31B
-876DF,-877A4,-87734
-9F264,-9F336,-9F1A9
-87643,-87679,-8758A
-9F263,-9F0AF,-9F13D
-87604,-8763E,-8767F
-9F055,-9F07A,-9F0B0
-8776E,-8778C,-8768B
-9F07F,-9F022,-9F269
-88944,-887E6,-8883A
-9F2F2,-9F3CC,-9F3C5
-878DE,-8782F,-877B4
-9F1CA,-9F4B6,-9F1BA
-875F9,-878E0,-87601
-9F1C9,-9F1D9,-9F306
-8778F,-8777C,-8780D
-9F0A1,-9F305,-9F461
-87802,-87799,-8787E
-9F1E4,-9F1AA,-9F303
-87744,-87880,-874C5
-9F1C1,-9EF58,-9F207
-87692,-877F6,-87608
-9F166,-9F08D,-9F272
-8776A,-87800,-87696
-9F23F,-9F304,-9F040
-876B3,-875D2,-874F9
-9F2B4,-9F2A0,-9F28D
-877E7,-877DB,-8774E
-9F32C,-9F377,-9F34B
-8767B,-875FC,-877C7
-9F022,-9F07F,-9F1C9
-87806,-87604,-877FD
-9F0C4,-9F310,-9F1C9
-877A6,-8770E,-875D0
-9F209,-9F1DA,-9F23D
-876A7,-876FA,-87747
-9F30C,-9F17E,-9F0A1
-877DD,-8766D,-876EA
-9F12A,-9F20E,-9F1B9
-87589,-87736,-8768A
-9EFCE,-9F0F8,-9F0AB
-87711,-876EE,-8783C
-9F202,-9F3BE,-9F40C
-87675,-8759D,-875EE
-9F34E,-9F0B3,-9F29B
-877F0,-87700,-876B6
-9F231,-9F3D0,-9F248
-8758E,-87708,-876E9
-9F260,-9F284,-9F1F8
-87687,-8752A,-876EE
-9F1CE,-9F11B,-9F0DD
-876D3,-876BF,-8757C
-9F372,-9F09A,-9F274
-8761A,-8762C,-87685
-9F07B,-9F05B,-9F0EF
-8773B,-877D7,-8755E
