{'CALIB_RAW_DAC_START_I': 1015808, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-B8172,-B80E0,-B8075
-A05E3,-A0579,-A06A5
-B7F74,-B8033,-B7F9F
-A048C,-A0428,-A04F5
-B7D3B,-B7E94,-B7E87
-A04DE,-A04DB,-A039F
-B7ECF,-B8000,-B806E
-A048C,-A04DD,-A04D1
-B7F92,-B7D60,-B7DDE
-A05DF,-A041C,-A048C
-B7E87,-B7F5C,-B7FE3
-A06C1,-A0400,-A049B
-B7F39,-B7F45,-B7ED8
-A03C4,-A0677,-A0486
-B7F31,-B7EBF,-B7F8A
-A053C,-A0379,-A03FE
-B7E12,-B7ECC,-B7DAF
-A03B8,-A03B9,-A04E6
-B7FBD,-B7F2A,-B7ECF
-A04FB,-A05B2,-A0568
-B7E12,-B7EA3,-B801E
-A052E,-A04AF,-A02C0
-B7F1D,-B7FDA,-B7FE8
-A0562,-A0529,-A043B
-B7F27,-B7E7A,-B7CFC
-A05A6,-A042F,-A01EF
-B7D89,-B7DE8,-B8018
-A03D2,-A0328,-A0413
-B7EAF,-B7E25,-B7DF7
-A069B,-A0524,-A0504
-B7E4C,-B7E49,-B7E5A
-A058D,-A0595,-A045C
-B7F7E,-B8037,-B8059
-A053F,-A047B,-A04CD
-B8099,-B7E2A,-B7F5D
-A04C2,-A0599,-A03AC
-B7E49,-B7F69,-B7FA7
-A065F,-A0605,-A02D1
-B7F15,-B7F8B,-B7E03
-A051C,-A0469,-A03CE
-B7EA6,-B7D10,-B7F70
-A02B0,-A0578,-A0411
-B7EB6,-B8012,-B7E95
-A049B,-A04A2,-A03DC
-B7CE6,-B7DAD,-B7E13
-A0427,-A047F,-A060E
-B7FC6,-B7D28,-B80C6
-A047D,-A03A7,-A038B
-B7B6A,-B7C78,-B7CE5
-A0324,-A02D9,-A03BE
-B7D0D,-B7BF7,-B7CD0
-A0257,-A033C,-A036E
-B7DD2,-B7C89,-B7D6A
-A03BE,-A01CA,-A0408
-B7E1D,-B7DA2,-B7D78
-A021C,-A00D1,-A0234
-B7D72,-B7C89,-B7DE5
-A0186,-A00A1,-A0313
-B7D25,-B7A28,-B7D17
-A0182,-9FF65,-A00E1
-B7B00,-B7D1D,-B7CBF
-A041C,-A0028,-A03C2
-B7CE8,-B7C9F,-B7DB6
-A01BF,-A0246,-A0147
-B7AF4,-B7D97,-B7D3F
-A031B,-A018B,-A0305
-B7D95,-B7C07,-B7D76
-A0349,-A01D4,-A014A
