{'CALIB_RAW_DAC_START_I': 884736, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-5FE05,-60046,-5FF90
-77A84,-77A63,-77B24
-5FFF7,-5FF3E,-6015A
-778EB,-779A7,-77936
-600D5,-5FE41,-5FF1B
-77A4E,-77950,-77A4D
-5FFBF,-5FE89,-5FF44
-77A05,-7792D,-77969
-5FE05,-5FFE4,-60008
-77933,-77840,-779AE
-600AA,-5FDF3,-5FF5C
-7794A,-7786B,-77913
-5FE3C,-5FEF1,-5FEB8
-77930,-778FA,-778D6
-60124,-600AB,-5FF7B
-778E4,-779D4,-77B14
-6006F,-5FF62,-6007B
-779D6,-7781B,-77AAF
-5FCFB,-5FDFC,-5FD16
-7790E,-77B03,-778E8
-5FEBB,-5FDF3,-5FEC5
-777DF,-77875,-77824
-5FDEC,-5FD55,-5FF43
-778AF,-77ACE,-779AC
-5FF6A,-5FF31,-5FED6
-77930,-7791B,-7784A
-5FCDC,-5FCE7,-5FD42
-77721,-7784D,-778AA
-5FE78,-5FD6A,-5FD8D
-7768B,-778FD,-779A8
-5FE79,-5FE9A,-5FF2D
-77A2C,-778EC,-77795
-5FABE,-5FC2B,-5FE83
-77734,-77860,-77ADE
-5FE30,-5FCF6,-5FDF6
-777D1,-77858,-77705
-5FD4C,-5FD77,-5FD03
-775E1,-77724,-7790C
-5FEB9,-5FD15,-5FF23
-77826,-777AA,-777E1
-5FD86,-5FFCC,-5FE6B
-77880,-778E5,-779E0
-5FF45,-5FD32,-5FD8F
-778BB,-7783C,-77917
-5FE33,-5FEFA,-5FD41
-7778B,-7799C,-77717
-5FE0A,-5FEB1,-5FD08
-7795B,-776FB,-77846
-5FC88,-5FDFA,-5FCB7
-777C0,-77793,-776DF
-5FE13,-5FEE1,-5FCC8
-775CF,-77959,-778AB
-5FC60,-5FD28,-5FD63
-777C3,-77799,-77700
-5FC3E,-5FD49,-5FDD9
-77844,-775F1,-7777E
-5FBD3,-5FD7C,-5FD50
-7772D,-776F9,-77608
-5FC53,-5FC1A,-5FCDB
-77661,-7774C,-77714
-5FDF7,-5FDC4,-5FCBF
-777C1,-7764C,-776EF
-5FBF5,-5FC3D,-5FDA6
-7761E,-7783E,-7798D
-5FC84,-5FCC2,-5FBA5
-776B2,-777F0,-774A5
-5FCE9,-5FC06,-5FB23
-77814,-77580,-77672
-5FB30,-5FBB1,-5FB3A
-774D7,-776E6,-778BB
-5FC2E,-5FCE1,-5FA5E
-7759E,-77514,-776EC
-5FC6A,-5FA57,-5FAE8
-775D1,-77575,-77435
-5FE02,-5FE27,-5FCE5
-77589,-776A2,-775B5
-5FC38,-5FBC5,-5FC12
-77651,-77718,-77620
-5FCA9,-5F9BC,-5FB58
-7779F,-7767C,-77588
-5FCF0,-5FDF4,-5FD2F
-777F0,-77759,-777A9
-5FD4D,-5FDFE,-5FB15
-776E8,-77756,-776A2
-5FD7B,-5FCB5,-5FCE1
-77765,-776CC,-77706
-5FC70,-5FA20,-5FD45
-77795,-774D4,-7770F
-5FBBA,-5FB0E,-5F9A7
-7763F,-7773A,-77674
-5FA7B,-5FAF5,-5FC24
-77666,-77681,-775F2
-5FB4A,-5FB8B,-5FCD1
-7754B,-7764B,-77583
-5FA9D,-5FB4C,-5FCED
-77537,-7757F,-77678
-5FDF1,-5FD46,-5FBB5
-77882,-77618,-777C1
-5FE07,-5FC65,-5FBA5
-77676,-775C7,-77780
-5FAC0,-5FCCC,-5FB18
-7770B,-776D7,-77680
-5FC44,-5FBCD,-5FBEF
-776E5,-777BC,-7761D
-5FD89,-5FB24,-5FCCB
-776D9,-775A1,-774DF
-61233,-611A2,-6105F
-778F9,-77887,-77844
-5FFD5,-5FF83,-5FF7A
-77963,-779CC,-77976
-5FDB5,-5FE60,-5FE41
-77584,-77801,-77A12
-6000C,-5FEC4,-5FDA7
-779DE,-778B7,-7797F
-5FF7C,-5FDC0,-5FFBF
-77952,-7778B,-77739
-5FEB4,-5FBEB,-5FD78
-7795F,-7782E,-77843
-5FE5E,-5FE68,-5FD2A
-778E1,-77814,-77923
-5FDBB,-5FE3B,-5FDCB
-77905,-779BA,-777A7
-5FD43,-5FE43,-5FD9D
-77819,-7793A,-77775
-5FF23,-5FEB3,-5FE27
-77699,-7795B,-77873
-5FEFF,-5FCFE,-5FC33
-77848,-77821,-7773C
-60013,-5FE76,-5FF4D
-778D9,-777D0,-7776A
-5FC1D,-5FD07,-5FBC6
-775C8,-775DE,-7767D
-5FF29,-5FE30,-5FDAB
-779AD,-77941,-77A45
-5FD92,-5FD85,-5FD78
-77747,-775E0,-7780B
-5FC9A,-5FC71,-5FD5B
-77900,-7791C,-776F8
-5FC1C,-5FCB1,-5FBB5
-778CD,-77694,-777A8
-5FDB4,-5FCF5,-5FD10
-776EF,-775B2,-776D8
-5FC83,-5FC23,-5FC03
-7772D,-7773C,-777F0
-5FD3A,-5FC49,-5FB93
-776EC,-776FE,-7765B
-5FDC1,-5FB7E,-5FC1E
-77872,-775CE,-777FC
-5FD2B,-5FC9B,-5FCA9
-777FD,-77570,-77605
-5FAFA,-5FCA3,-5FBB5
-776DD,-7773B,-7747F
-5FCA1,-5FB35,-5FC6E
-77687,-7781A,-776CC
-5FA40,-5FB72,-5FBEA
-778FE,-776ED,-778D7
-5FDDD,-5FC1A,-5FF55
-7787E,-7764E,-777C5
-5FC1C,-5FED0,-5FBBA
-77603,-77612,-77646
-5FB5B,-5FBCB,-5FBA4
-776A3,-77679,-776F1
-5FC9A,-5FC59,-5F9DB
-77441,-776FA,-77752
-5FD46,-5FDC1,-5FD24
-77587,-774A9,-77751
-5FC24,-5FB63,-5FD78
-77716,-776F3,-77665
-5FC46,-5FEED,-5FC68
-77739,-77732,-776CA
-5FC05,-5FD88,-5FE56
-7768F,-77758,-776FD
-5FBAA,-5FE5E,-5FDE5
-7762F,-777CE,-77865
-5FB88,-5FCC0,-5FC01
-77594,-776AC,-777DC
-5FC72,-5FD50,-5FB29
-778AD,-777D0,-779B0
-5FD53,-5FCAE,-5FBD6
-776DA,-7748B,-7759F
-5FBD8,-5FA59,-5FC1F
-7762D,-77755,-7771C
-5F9E4,-5FBBA,-5FCF2
-77599,-775A4,-77637
-5FCA5,-5FCAF,-5FCF4
-7767C,-7774D,-7764F
-5F9C3,-5FC28,-5FA19
-77475,-77606,-77778
-5FBA7,-5FAAC,-5FB05
-775DD,-7760E,-77572
-5FD02,-5FBDD,-5FD21
-7751C,-77643,-77563
-5FC02,-5FB34,-5FB40
-77618,-774C6,-776A0
-5F8CC,-5FACA,-5FBE7
-774A9,-774FC,-774EF
-5FA00,-5F9C8,-5F9C0
-7750C,-775BD,-774DD
-5FD30,-5FB92,-5FA47
-774CB,-77562,-775C9
-5FBA8,-5F8C4,-5F934
-77480,-77749,-77635
-5F89A,-5F8B5,-5F9B1
-7745E,-77565,-77528
-5FAA5,-5FA8D,-5FA3B
-7720F,-77512,-7767C
-5FA4E,-5FA7A,-5FB66
