{'CALIB_RAW_DAC_START_I': 884736, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
14DB14,14DC51,14DA3E
136160,13619E,13602D
14DB33,14DAD0,14DC2B
135FF7,135FEC,136178
14DCC3,14DB03,14DB22
1361EF,136072,1360C2
14DAA2,14DBE9,14DCD2
13611B,1361E7,13607E
14DA1A,14DA75,14DD65
136330,13618D,1360D3
14DA12,14DA45,14DB5A
136022,136240,136267
14D841,14DC15,14DA22
13603A,136105,13605F
14D8B4,14D9B8,14DB51
13619F,136038,135FF1
14DC35,14DC8F,14DA74
136147,135FAB,135F84
14DBB4,14DA46,14DADE
1360B8,136063,135FAC
14DB11,14DA4D,14DA4E
135FF4,136163,13606B
14DC0A,14DB36,14DCC5
1361E5,1360DC,1360BC
14DCA9,14DBFE,14DCB6
136320,13617E,1361BE
14DB39,14DAF7,14DC16
135F85,13603A,135F54
14D8A3,14D9A9,14D91C
13600A,135FD6,13602D
14DC16,14DD22,14DC66
136072,1360D6,136165
14D994,14DB6E,14DB20
1360A4,135EFC,135E5F
14DB8C,14DB77,14D9D1
135EA9,136067,135FED
14DC19,14DC56,14DA4B
136192,1361E6,13616B
14DB82,14DAC2,14DB0A
13624E,136229,136369
14DCFA,14DBF2,14DCD6
13619E,136218,136086
14DAA0,14DC22,14DBB8
135F63,135F26,136078
14D851,14DBD5,14DAB6
1361D4,135EF7,135E9E
14D997,14DB94,14D9E2
1361D5,135FD0,136009
14D9D7,14DC2F,14DB42
135F32,135EE4,135FC1
14D8B4,14D961,14D930
13623B,135F6F,135F31
14D9A6,14DBA2,14DAD3
135E23,135DF7,135D2E
14D79A,14D92B,14DA85
1360DA,1360E2,1360FC
14D977,14DC86,14D9AE
135F46,135F02,135F2E
14DA20,14DA21,14DA62
135F3C,135D0C,135C55
14D902,14D87E,14D8FD
135D18,135D65,135D59
14D9B8,14D789,14D919
135CAC,135F3E,135E2A
14D844,14D928,14D94F
135F6F,135D7A,135D8D
14D7D1,14D8E9,14D9E7
135EBD,135ECD,135D05
14D81E,14D8D3,14D9E5
135ED4,135DB2,135E71
14D8F1,14D8D7,14D883
135FAD,135FD6,135E48
14D852,14D98D,14D86B
135D8F,135EEC,135F25
14D767,14DAD1,14D85B
135F1E,135D82,135EBC
14D8FC,14D9C2,14D77F
13603F,13600E,135F22
14D8E5,14D845,14D85A
135E31,135F57,135E14
14D98B,14D897,14DA4E
13600D,135CBB,135DB3
14D881,14DA34,14DA4F
135FED,135E63,135ECC
14D79C,14D66E,14D8BC
135EC4,135D9B,135F0E
14D960,14D8CF,14DA07
135F54,135E05,135F9E
14D81E,14D7CF,14D9FF
13603B,135F6A,135D0E
14DA0E,14D8F6,14DB3A
135E1F,135E29,135DBF
14D62D,14D86A,14D7D9
135DDE,135E07,135E0E
14D7E2,14D78C,14D810
135E40,135E04,135F14
14D8A9,14D977,14D875
135D1D,135C69,135E35
14D81B,14D789,14D93A
135C8A,135EC1,135CB9
14D7F6,14D95D,14D937
136087,135F6B,135DAC
14D856,14DAB4,14D8DA
135F89,135F3B,135F83
14D95B,14D895,14D7E3
135F8E,135DBB,135DFF
14CE2B,14CF12,14D095
136349,136239,136228
14DBC7,14DAE2,14DDCA
13614F,1360C8,13624F
14DE6E,14DD50,14DC56
136195,1360DF,1362C1
14DAC5,14DCF5,14DBF1
1360DB,136365,136216
14DAC0,14DC95,14DEF0
13634C,1362EA,1362EE
14DB99,14DC50,14DC3A
136385,1361CC,136209
14DD5E,14DE69,14DE46
13643F,1363C9,1362AE
14DD57,14DCB3,14DCDD
13629D,135FF9,13637F
14DDDE,14DEB5,14DBCF
136135,1361F0,136257
14DB0E,14DB4B,14DBD1
1361C8,1360B3,1360DD
14DD20,14DCD9,14DC06
1360ED,1361E2,136140
14DCB1,14DA3F,14D917
1360CD,1362A5,1361D7
14DB3E,14DA26,14DBD8
1363AE,13624A,1361DA
14DB8B,14DC0F,14DC73
136164,135F9D,136045
14DC9F,14DB98,14DC99
1361B3,13614E,136263
14DAE7,14DC54,14DC80
136056,13611C,1361A1
14DA04,14DA49,14D8FE
135F80,136289,135F8B
14DA2F,14DAB8,14DA81
13611C,135E81,1362D7
14DC95,14D9E8,14DA49
136412,13610E,136127
14DAF0,14DA81,14DA4F
