{'CALIB_RAW_DAC_START_I': 327680, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
9B636,9B618,9B784
B31C3,B3159,B31F6
9B64E,9B786,9B89A
B342E,B3311,B321A
9B897,9B7F3,9B779
B3436,B340B,B3327
9B86C,9B833,9B918
B326C,B32E1,B3158
9B862,9BA14,9B75E
B31D1,B31B6,B338A
9B8F3,9B783,9B7F7
B3348,B3215,B34CB
9B616,9B8CD,9B892
B3414,B3423,B343F
9B86B,9BA18,9B845
B326C,B31E2,B33CD
9B730,9B74C,9B8D5
B3205,B32BE,B32BC
9B787,9B83E,9B617
B31B7,B3316,B335E
9B7F9,9B8F1,9B8A8
B3527,B354E,B3399
9BA66,9B917,9B8EB
B33BC,B32C0,B332F
9B6BE,9B694,9B83D
B31D9,B304C,B31E4
9B890,9B91A,9B9BB
B30C5,B3142,B322A
9B913,9B780,9B9FD
B3095,B33C1,B3390
9B82A,9B80C,9B6CB
B30CB,B311C,B32BE
9B739,9B843,9B881
B32B4,B3255,B321A
9B794,9B8ED,9B876
B2FDA,B3340,B324D
9B67E,9B6DC,9B750
B3246,B3312,B32E4
9B9BB,9B7EC,9B6B0
B3225,B3319,B31CA
9B808,9B70B,9B571
B3206,B334F,B3350
9B9AB,9B732,9B8A6
B326A,B327D,B32B3
9B876,9B85C,9B78D
B3207,B32B9,B32FB
9B847,9B6CC,9B7E0
B3319,B32DF,B330D
9BAA8,9B8B4,9B8C2
B3471,B3421,B3408
9B95F,9B8B3,9B96D
B3330,B3380,B33E4
9BA60,9B96B,9B9C8
B35E2,B349E,B35C0
9B925,9B879,9B973
B337C,B3434,B323E
9BB46,9BAEF,9B73C
B33FE,B32E1,B33F7
9B9B3,9B927,9B940
B3379,B34A8,B355A
9B8A5,9B9BB,9B939
B3429,B3348,B32FD
9B93A,9B90A,9B91F
B3430,B3269,B3372
9B826,9B70A,9B7F0
B3363,B33FE,B34AB
9BAE9,9BA8E,9B949
B3266,B34A1,B345E
9B8DC,9B982,9B9D8
B34CB,B33FA,B346C
9B86E,9BC2F,9BAA3
B3371,B3329,B32D5
9BA4F,9B8E0,9B68F
B340F,B365D,B3488
9BAAE,9B98F,9B9C3
B35C1,B336E,B35DA
9B99D,9B967,9B993
B3553,B3562,B3583
9B93C,9BA9C,9BA04
B3752,B3785,B3441
9BB28,9BA66,9B93D
B33D7,B337E,B32E2
9BA01,9BA26,9B82D
B32D2,B3251,B3423
9BA09,9BB4C,9BA4F
B340A,B367C,B337F
9BA3C,9BA22,9BACA
B33EF,B3393,B3316
9BA98,9BADA,9B98C
B32B8,B3426,B33A1
9BAC3,9BB51,9B968
B34E3,B359E,B3375
9B93A,9BA3D,9B985
B33D4,B3571,B35F1
9B99B,9BC6C,9BA35
B3765,B3492,B33AE
9B95C,9BBE4,9BB15
B3640,B3476,B3636
9BBF0,9BB9C,9BBA6
B327A,B3308,B35DE
9BB84,9B85A,9B995
B2B39,B2A94,B29F8
9BF7B,9BE5E,9BFFA
B3AB8,B3B8A,B3B5D
9C081,9BFF4,9C1D2
B39A7,B3A3A,B3AD2
9C15D,9C0D2,9C202
B3B0B,B3B72,B3ADD
9BFEF,9BF66,9C0D6
B3A79,B3BB3,B39CE
9BE2F,9BF30,9BD4D
B3A36,B38F2,B3A6D
9C0BB,9C060,9C0AC
B3B2C,B39C4,B3845
9BD70,9C043,9BF38
B3928,B3AA7,B3D33
9C197,9C050,9C10B
B3C4D,B3CDC,B3D04
9C216,9C075,9BF8C
B3A9A,B3B23,B3A5A
