{'CALIB_RAW_DAC_START_I': 983040, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
1A7469,1A7633,1A7562
18FADB,18F91E,18FA90
1A72C4,1A7414,1A753F
18F901,18F7CD,18F9AB
1A72DC,1A7274,1A73C3
18FA13,18F9DE,18F93B
1A725E,1A7350,1A7507
18FA1D,18F9CF,18F89D
1A7395,1A7541,1A74CE
18F987,18F9EE,18FB28
1A74AD,1A74F8,1A74E9
18F84F,18F9FE,18F905
1A7390,1A7325,1A74A1
18F7BB,18F963,18F84F
1A7108,1A734F,1A7463
18FA88,18F8A0,18F8CE
1A6A3F,1A69BF,1A69E8
18FEA6,18FE7F,18FC9F
1A76B4,1A73BC,1A7674
18FBED,18FDE2,18FD41
1A77BD,1A7786,1A74FE
18FE70,18FCCA,18FDE7
1A78C6,1A762F,1A7641
18FD41,18FB7F,18FE03
1A76F2,1A76C7,1A774A
18FDC7,18FD24,18FD91
1A781C,1A781E,1A7699
18FDEE,18FCC9,18FC4D
1A7598,1A778D,1A75E3
18FD10,18FB88,18FEE3
1A76C9,1A7804,1A775F
18FD95,18FE93,18FED3
1A794B,1A7911,1A788B
18FD72,18FD0F,18FB34
1A7867,1A7807,1A77CA
18FCF0,18FDA5,18FD81
1A77D0,1A7738,1A78A3
18FCF0,18FDD8,18FB15
1A7867,1A76E5,1A77C9
18FE51,18FC86,18FB7D
1A7648,1A7864,1A7917
18FE3F,18FCFB,18FD12
1A7962,1A75F9,1A75FE
18FC52,18FDF0,18FBEA
1A7615,1A7725,1A7571
18FD5A,18FC8D,18FDA0
1A761A,1A769F,1A7740
18FDB9,18FB7F,18FD07
1A76F8,1A7856,1A77EE
18FD6B,18FBBC,18FBA2
1A7720,1A7571,1A772B
18FD85,18FA5B,18FCBA
1A784A,1A77A8,1A77BB
18FBBA,18FBC6,18FADF
1A7506,1A76DE,1A775F
18FBC1,18FA2D,18F9EB
1A7465,1A757D,1A75C9
18FB5E,18FCF3,18FBBB
1A77A0,1A7604,1A750F
18FAB6,18F9D2,18FB1C
1A7427,1A747E,1A7682
18FCA9,18FC8C,18FBB3
1A75EB,1A7516,1A778D
18FAE1,18FCDC,18FA45
1A7400,1A73B5,1A74AA
18FAD5,18FA29,18F9A4
1A7499,1A74BE,1A7402
18FA46,18FA36,18F9B0
1A73F0,1A73E2,1A7605
