{'CALIB_RAW_DAC_START_I': 557056, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
1FE00,1FED6,1FDC6
8699,8538,867F
1FF35,2000A,1FF50
8676,8441,82E4
1FFE8,200FF,1FD90
8422,84C9,8261
1FF86,1FF8F,1FEED
833F,8486,8457
200B6,1FE0E,20168
8653,8710,8455
1FF5E,2012A,20050
86E6,85C5,84D1
1FFFC,1FFD8,2005B
85B2,83DE,8715
1FF7D,1FF5A,20076
861D,84B9,85E1
2008B,2007C,200FA
83E1,8551,84AB
200DD,1FF66,1FFB5
86C1,862E,853D
201BB,2028B,20036
8484,8693,889B
20250,2016E,2037A
850D,87B4,8607
1FF62,1FFF2,1FF8D
8917,8754,85C7
20139,2025E,201A9
881E,87CC,8948
1FE83,20215,1FFE3
8883,87B7,884D
20128,20183,20266
876D,8893,865D
20275,2032A,201DD
89EB,877B,8748
201DC,202CA,203AF
871B,872C,864C
20367,201B0,2016E
885A,89ED,87AA
2038E,202FA,204D4
894B,87FD,8998
200A7,20230,202AA
89C3,8961,8876
20487,20258,2036C
8A1F,87E8,8701
202C4,2025E,201A6
893E,881F,8746
20292,20372,2042E
88DE,8A12,884C
20466,202A0,20271
871D,8996,8816
201C3,20154,20250
84E6,83A9,823F
1FF5C,1FEC7,1FE2E
83C0,85A6,846B
200A8,20017,2002B
8518,840F,83E4
1FF87,202AC,20245
8595,85E0,868D
200CC,2000D,20093
861B,860B,84D8
1FF97,1FF2B,1FF1D
8668,85FC,858F
200A4,20130,20125
856E,8607,85D3
1FE21,20041,1FFFC
88B0,8764,87BE
20431,203EA,2035B
86CF,8677,87DC
202CD,2015A,2014A
878F,8754,86A2
201BD,2023D,20167
87D4,873D,864E
1FFEB,201FB,202B7
8804,87AF,880A
203A9,202EA,20321
