{'CALIB_RAW_DAC_START_I': 98304, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
10E84D,10E75F,10E8C1
12625C,126336,126472
10EADD,10E8EE,10EA11
12645D,126258,126318
10EA15,10EB0F,10E9C9
1264FD,12634D,1265C9
10EAE8,10E9A4,10EAEF
12638B,1264A1,126637
10EB10,10EA11,10E9C1
126466,126385,1264EB
10EA53,10E9F2,10EA54
126487,1262AB,1263B1
10EB49,10E82D,10E8D3
1263E9,126483,12646A
10E8F6,10E956,10EB19
1264FD,1264D6,126346
10EB16,10EA7A,10E97A
12655B,126545,12649D
10EAB7,10E996,10EA75
126486,1263E3,126475
10E8FD,10E9C9,10E86B
126291,126210,1264C9
10EA42,10EAA0,10EAB7
126501,126557,1264DB
10EAA9,10EBBD,10EBC0
125779,125902,125815
10F214,10F04C,10F256
126A0F,126AF4,126A69
10F0EE,10F2A3,10F093
126C17,1269FB,126BC4
10F1DE,10F296,10F1DE
126ADA,126D93,126CA6
10F133,10F0C1,10F164
126C20,126AC1,126B2B
10F160,10F075,10F323
126A5E,126B8A,126BB0
10F10F,10F0F9,10EFF3
126B64,126C47,126B6E
10F191,10F379,10F155
126AC8,126BC6,126CBC
10EFA1,10F322,10F1E3
126CC0,126E24,126C3A
10F1EA,10F09D,10EF65
126963,126B08,126BBE
10F1D4,10F22E,10EFB8
126CFB,126D42,126B4A
10F147,10F366,10F1EE
126A86,126B88,126C89
10F0E3,10F2D4,10F1F2
126BD1,126EDC,126DBA
10F15B,10F1C9,10F204
126B27,126B61,126D06
10F0B5,10F0B1,10F116
126BE4,126C8C,126D3A
10F1F5,10F09A,10F14D
126AFC,126C13,126B6D
10F43D,10F1E8,10F3AB
126D7A,126C0F,126BC7
10F317,10F41F,10F2F3
126C62,126D23,126C23
10F3AB,10F308,10F3D4
126CF5,126DF6,126D72
10F131,10F1E7,10F1B4
126B7D,126D31,126CA5
10F33F,10F2C8,10F2CE
126C95,126D08,126E09
10F14E,10F181,10F212
126C68,126B52,126D4F
10F373,10F549,10F17D
126C39,126C62,126D33
10F28D,10F2A3,10F0D9
126B77,126C99,126DFD
10F4E5,10F372,10F3C9
126EA7,126EB6,126E9E
10F5C8,10F536,10F41E
126DD8,126C4E,126EF6
10F462,10F4BD,10F4B4
126CF4,126D76,126E16
10F3F9,10F401,10F3DD
126E3A,127043,126D01
10F51F,10F421,10F376
126E6F,126F35,126F05
10F4BD,10F3E1,10F52B
126F03,126E81,126DEA
10F5A3,10F477,10F46F
126ED8,126EFF,126E94
10F577,10F409,10F473
126F1A,126FC8,12704D
10F374,10F730,10F582
126F4C,126ECB,126E4B
10F589,10F52F,10F43E
126CB2,126DD6,126E22
10F46D,10F4F9,10F2D6
126E57,126F4F,126E9A
10F3A7,10F5FB,10F47D
126E2B,126EAB,126F52
10F2FA,10F46F,10F396
126F4F,12707F,126E70
10F29F,10F420,10F269
126F4B,1270A3,126E2D
10F448,10F440,10F4B6
127104,127010,126F73
10F247,10F619,10F2E7
126E2E,126D4B,126D4F
10F413,10F418,10F3C8
127192,126FD1,127067
10F528,10F390,10F4E6
126E3C,126D51,126CF7
10F2EA,10F407,10F505
126DBE,126EBB,126E07
10F163,10F27F,10F39A
126DDC,126F5C,126E1C
10F38E,10F387,10F3D0
126F18,126DF2,126F46
10F4E1,10F54F,10F332
126CE8,126EDD,126FC4
10F49D,10F55F,10F2FC
126DC6,126E9C,126F53
10F383,10F464,10F233
127018,126EE5,126F81
10F3D9,10F480,10F459
126E7B,126F83,126DCA
10F347,10F364,10F501
126EB0,126F4C,127138
10F3F4,10F36D,10F36B
126EEE,126FD9,126F64
10F438,10F519,10F391
126DAD,126E46,12702C
10F454,10F3CD,10F325
126E9F,126D49,126F2E
10F4AF,10F421,10F545
126E4E,126EE0,126F0F
10F3BA,10F687,10F574
1270B3,1270CA,126F43
10F611,10F2DB,10F4A3
126CE3,126F23,1270D4
10F679,10F618,10F5F7
127062,12717E,127095
10F4A7,10F593,10F537
126EBD,126E36,126F4A
10F50A,10F66E,10F541
126FAB,126FBC,126EEB
10F59A,10F47D,10F363
126E7B,126FA4,126EA2
10F640,10F403,10F419
1270CD,126FC1,126E36
10F674,10F5DC,10F471
127020,126FA8,126EA5
10F681,10F5B7,10F443
12708C,127205,126EA7
10F5AB,10F6AA,10F56A
126DEA,12701E,1271C3
10F499,10F5DC,10F459
1258EA,125C6B,125B52
10F10E,10F170,10F3C6
126C74,126F82,126D3B
10F45F,10F365,10F33F
126DBB,126F10,126C68
10F38B,10F292,10F15A
126B18,126E22,126D0D
10F308,10F34B,10F1C1
126B7F,126DF3,126D27
10F2B0,10F2E7,10F161
126C45,126D7E,126DBA
10F100,10F54F,10F43A
126D96,126E4B,126C6C
10F367,10F364,10F40B
126CC9,126D83,126D38
10F3C8,10F3F3,10F2BF
126E57,126EA0,127048
10F3D4,10F464,10F45C
126C35,126E4A,126F29
10F3D1,10F40C,10F75B
126E79,126C3A,126EB4
10F3FD,10F2DC,10F23E
126C80,126E3C,126ECE
10F3A5,10F212,10F219
126D75,126D59,126D8E
10F339,10F47F,10F37E
126D8B,126FB3,126DA8
10F31E,10F2FA,10F2F8
126D5C,126E91,126F1F
10F3C3,10F495,10F437
126E94,126D34,126C81
10F3BE,10F3A9,10F384
126F7B,126F3D,126F8C
10F504,10F658,10F477
1270BF,126F66,127048
10F368,10F4AC,10F426
126F1D,126DAB,12701B
10F4DE,10F477,10F6B7
