{'CALIB_RAW_DAC_START_I': 163840, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-162E83,-16306D,-163129
-17AB6C,-17AB72,-17ABBE
-162F2C,-1630D7,-16338A
-17ACAF,-17AB53,-17AD01
-163251,-1631F3,-16328A
-17A94D,-17ABB9,-17A9FA
-162F94,-16303A,-163006
-17AC7C,-17AC22,-17AB19
-163122,-163125,-163193
-17AD08,-17AB98,-17AB1A
-163376,-163321,-163218
-17AC5D,-17AC24,-17ABA9
-163280,-163219,-1631BD
-17AD66,-17AD02,-17AC54
-1631A7,-16323B,-163262
-17A9DE,-17AE68,-17AC27
-1631BC,-16328E,-1631D0
-17ACA9,-17AC75,-17ACB5
-163314,-163373,-163191
-17AE1C,-17AD9E,-17ACBC
-163167,-16351B,-1631CE
-17AD4C,-17AE2A,-17ABE6
-163403,-16322E,-16347B
-17AD79,-17AD8E,-17ADB7
-1631FC,-1631DC,-1632A3
-17ABAD,-17AE1F,-17ABB0
-16331B,-16334E,-163327
-17AC68,-17AC1B,-17ADFA
-1633CD,-16320B,-163338
-17ADE1,-17AE4B,-17ADFF
-1632CC,-163242,-163286
-17ADA2,-17AD90,-17ACFB
-1633C2,-16318C,-163141
-17A997,-17A9FD,-17A9C3
-163191,-162FFF,-16310E
-17AC5B,-17AC95,-17AD0E
-162F83,-162FD9,-16312A
-17AB44,-17A967,-17AC09
-1631A3,-1632B7,-16310F
-17AB4D,-17AB42,-17ADDB
-16334E,-162F6E,-163203
-17ACB9,-17AB59,-17AB6B
-163302,-163083,-163182
-17ABA1,-17AB78,-17AC7C
-16318B,-1632C2,-1631FF
-17AD80,-17ADA9,-17AE0E
-1633AE,-1633B2,-16341B
-17AE4A,-17AF4D,-17AFDA
-16344D,-16324E,-163292
-17ABFB,-17AE07,-17AC02
-16337D,-163315,-16327A
-17AC70,-17ACDE,-17AC97
-16349E,-163197,-163348
-17ADA9,-17AD58,-17ACAE
-1632FD,-16341F,-1631F7
-17AB79,-17AEC3,-17AF6E
-163489,-163331,-1634AC
-17AE37,-17ADF3,-17AE90
-1633B5,-1634C5,-1633DC
-17AD1E,-17AFBC,-17AD67
-163691,-1634AC,-1635A0
-17AD72,-17ADA6,-17AF5D
-163523,-1632FA,-163415
-17AE14,-17AE11,-17AE85
-163BA5,-163A72,-163876
-17A9B8,-17A893,-17A87E
-162FD3,-162FB1,-162DDE
-17A8F8,-17A916,-17A84A
-162ECC,-162CD8,-162E69
-17A97F,-17A84D,-17A9B1
-163094,-163072,-162F98
-17A7E0,-17A60F,-17A7EA
-162E47,-162DC5,-162E27
-17A91D,-17AA87,-17A978
-162F5B,-163000,-162F0D
-17A88A,-17AA4B,-17A9BE
-162FFF,-162E25,-162DBE
-17AC19,-17A828,-17A9F1
-163085,-162FA5,-16303D
-17A7F0,-17A8C3,-17A84C
-162F87,-162F70,-162EF8
-17AA7A,-17AA91,-17AA04
-16309F,-162F72,-16308B
-17A95F,-17AC3B,-17A917
-162FE9,-162E1B,-162DC5
-17A894,-17A979,-17A9A5
-162EB5,-16307E,-162F3D
-17AAE5,-17A9B8,-17ABE9
-16312A,-163067,-16303E
-17A974,-17AAAA,-17AC50
-163194,-162FD6,-1631B4
-17AB68,-17AC58,-17AC71
-162FE8,-162F98,-163012
-17AB15,-17AAC7,-17A9CC
-16318F,-1630E7,-163169
-17AC2C,-17AC61,-17ABBD
-16313E,-163257,-162E9D
-17A818,-17A6F6,-17AAA5
-162E39,-163044,-162DB3
-17A8F5,-17A8E0,-17A887
-16301A,-162E9A,-162EC1
-17A91E,-17A793,-17A847
-162FF4,-162EB1,-16304C
-17AA5E,-17A80B,-17AA57
-162FE6,-162F48,-162F82
-17A921,-17A9E0,-17A826
-162EF1,-162FC3,-162FC0
-17AA7E,-17AA17,-17AA18
-16322D,-162EE8,-16307C
-17AA5D,-17AA87,-17AA15
-16308A,-162EA9,-162FFD
-17AA39,-17AB53,-17A945
-162DF7,-162D5E,-162E61
-17A813,-17A901,-17AAB3
-16302E,-162F04,-163047
-17A9B3,-17AB01,-17A938
-163052,-16311D,-162F66
-17A8D7,-17AC0D,-17ABAD
-163027,-162F06,-162FA7
-17AA8E,-17AA00,-17ABD1
-1630F4,-1630F8,-163009
-17AA5C,-17AB9E,-17A98A
-163180,-163143,-162FEC
-17AB3C,-17A98C,-17AB49
-1631E4,-1630AD,-163085
-17AB54,-17AD5B,-17AD4D
-1632D5,-163052,-1632BB
-17AAE2,-17AA1C,-17ACA3
-1631FA,-16321A,-162FBA
-17AEE4,-17AD4D,-17AD46
-16360A,-163565,-16340A
-17ACDB,-17AECA,-17AECD
-163545,-1634DC,-163307
-17AC1B,-17AE46,-17AE8F
-1635C5,-163269,-16352E
-17AF03,-17B087,-17AEE6
-163415,-163341,-163375
-17AFEA,-17AF2C,-17ACEC
-1634B2,-1633C5,-1634BE
-17AE5A,-17ADFC,-17AF6E
-1634C9,-16348E,-163442
-17AF0D,-17B1B5,-17AFEF
-1634E6,-16363A,-16358D
-17AE07,-17AFDF,-17AE6F
-1633BC,-16340A,-163402
-17B0BF,-17AEE3,-17AF0A
-163544,-16379B,-1636A1
-17AF41,-17AEFF,-17AFE2
-1633BB,-163524,-163648
-17AEA3,-17AFB5,-17AE35
-1633D1,-163592,-16349B
-17AF7E,-17B0D3,-17B0A7
-1636C5,-1635AC,-16362D
-17AEFC,-17B065,-17AFB7
-163669,-16365B,-163722
-17AFD9,-17AEA7,-17B0A2
-1633FA,-163454,-1634FB
-17B02F,-17AFCC,-17B150
-163704,-163663,-1636FC
-17B088,-17B03F,-17B0B4
-1636C6,-16363D,-1635F1
-17AE35,-17AD7C,-17AE07
-16342F,-163423,-163217
-17ACE4,-17AE81,-17AE9C
-1634D5,-1632BC,-163254
-17ADBB,-17AD97,-17ADEF
-1633F8,-1633E2,-163389
-17AE4B,-17AE00,-17AEED
-16333F,-163340,-1635D3
-17AFFC,-17ADD5,-17AE29
-1634BE,-1635E6,-16355F
-17AEA7,-17AF0E,-17AF3A
-163415,-1634E4,-163486
-17AE06,-17AF3C,-17AF39
-1633B1,-163436,-163632
-17AEB1,-17AF81,-17ADB9
-16344F,-16325E,-16336F
-17ADB6,-17AEBE,-17AE90
-163510,-16360F,-163694
-17AFA3,-17B0BE,-17B1BB
-1633DC,-163592,-163432
-17AFFB,-17AFA6,-17B167
-163861,-1635CA,-16376D
-17B0AD,-17AFF5,-17B16D
-163690,-163639,-1635FE
-17AFCE,-17B111,-17B010
-163626,-1635CE,-1636F2
-17B113,-17B148,-17AE1C
-163860,-163657,-163555
-17B08D,-17B076,-17B164
-1637D1,-1635D2,-16367A
-17B117,-17B1F1,-17B21F
-164174,-164343,-1641B6
-17AC5B,-17AC90,-17AC3F
-163445,-163199,-16330E
-17ABAF,-17AC4F,-17AD61
-163414,-163257,-16325A
-17AEE6,-17ACE8,-17AD12
-1632B9,-163285,-16337A
-17ADE1,-17AE09,-17ABDC
-16331F,-162F27,-163040
