{'CALIB_RAW_DAC_START_I': 753664, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
13347A,1334D6,133571
11BC93,11BB85,11BB9B
1334FF,1335A2,133520
11BC47,11BA28,11BAEC
1335E2,1337B1,133691
11BBBA,11BC38,11BAA0
13354A,133530,133517
11BB1E,11BB3C,11BB49
133549,13362D,133513
11BA9C,11B9E9,11BAEE
1333CD,1333F3,1333C8
11BB10,11BA26,11B9CF
133572,13349B,1335D9
11BB5F,11BA1B,11BAF7
1334DA,1335F8,1334AD
11BB0A,11BA96,11BA4B
13363D,133445,133467
11BAB3,11BA49,11BAA4
1335D4,13339A,133375
11BC23,11BA62,11B9D9
133422,13375E,13364F
11BD0D,11BFC7,11BBF0
1336D3,13374B,133663
11BC24,11BC15,11BBF6
133548,133741,1335B9
11BC4A,11BBF5,11BDEE
13384B,13361D,133673
11BD42,11BDCE,11BD8C
1337ED,133754,133796
11BC3A,11BAC0,11BB1B
1336F3,1336AD,1334F6
11BD58,11BC68,11BB0B
133840,13365E,1336CF
11BD73,11BC08,11BB0D
1337E7,13354B,133635
11BB71,11BB63,11BBB0
13366B,133629,1336BF
11BC57,11BB37,11BB31
1335D7,1336B0,1335B3
11BAD9,11B9FB,11BB44
133684,13362B,13345E
11BA0D,11BBF4,11BA65
13352A,1333C3,133771
11BD6C,11BAC8,11BAFF
133355,133573,133782
11BB51,11BB86,11BA32
1333B3,1333E2,133318
11BB86,11B8D7,11B8BB
1332F4,13358C,13343F
11B910,11BB18,11B952
133253,1332C0,1335A8
11B8EE,11BA72,11BA45
132EFA,132FBD,132E11
11BF94,11BFCB,11BF12
133A3C,13385A,133967
11BEA4,11BF05,11BE58
1339EA,133A46,133995
11BF02,11BE66,11BF73
1338EE,133975,133A5C
11C057,11C004,11BF82
133A5E,133811,13391C
11BCC1,11BDB1,11BF6C
133A72,1339EE,13399B
11BEE5,11BE21,11BEFD
133812,1337EC,1338AA
11BCCB,11BC07,11BF53
1336A4,1337C5,1336ED
11BC6A,11BC22,11BACD
1337BD,1338BB,1338BB
11BF43,11BF4B,11BE4B
133901,1338B2,13394A
11BD01,11BC9B,11BD5B
1337EB,1338A5,133974
11BDD0,11BC1E,11BC89
1336A6,133982,13359B
11BC45,11BDEC,11BB88
133677,133889,133654
11BC8D,11BDDF,11BE27
13360B,1336C4,1336DF
11BD11,11BC2B,11BBDD
1335D7,133884,133705
11BE76,11BC3E,11BD3B
133701,13395E,1338C4
11BCC6,11BB90,11BEBF
133745,1337C6,1338E1
11BFC3,11BFC1,11BB5F
1337A4,13393B,1338C7
11BCBA,11BE4E,11BFA1
13384D,1337D0,1338D4
11BE21,11BCB0,11BCC5
1338AE,1338A8,13382D
