{'CALIB_RAW_DAC_START_I': 262144, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
B918E,B920C,B92FC
D0D62,D0C8B,D0DFC
B915B,B921D,B9297
D0DAE,D0CA9,D0E44
B94D9,B9545,B93D6
D0C2A,D0E01,D0D8B
B9407,B92B1,B94EC
D0FE7,D0EE2,D0DAC
B92BC,B92AB,B92E0
D0CB3,D0C6C,D0D8C
B9377,B94C1,B9376
D0CA3,D0E9B,D0EE7
B949B,B91C2,B93AD
D0EE0,D0F71,D0DEC
B9475,B9229,B947B
D0EE8,D0F70,D0E2C
B9512,B9481,B94F6
D0EDF,D0FDC,D0DE1
B93E6,B9205,B9638
D0EB6,D0E4E,D10C9
B93EB,B92DE,B92D6
D0DEC,D0D68,D0EA9
B9554,B94E3,B946D
D0D1C,D0F41,D1120
B96EB,B94F0,B95D0
D102E,D0ED0,D0E82
B9555,B93DD,B943A
D0F40,D0FFF,D105C
B9570,B9464,B9505
D0F22,D0E29,D0F59
B94C7,B94D2,B95F2
D0ED5,D0EEC,D0F9A
B940B,B9574,B94FB
D109B,D0F50,D0EC0
B94DC,B94EB,B956B
D0EF7,D0F1E,D0EB3
B91B0,B9227,B92FB
D0B33,D0BC9,D0BF9
B913D,B914B,B9322
D0C0A,D0C52,D0DA9
B930C,B9175,B93EB
D0C5E,D0BD5,D0B2E
B921E,B9251,B92C7
D0B40,D0D03,D0FBA
B9275,B92D5,B91A2
D0BAE,D0C9B,D0C60
B8FF3,B9249,B9295
D0F0A,D0CA1,D0E49
B92DB,B9183,B935A
D0BC4,D0C21,D0CBB
B91C8,B8F86,B9497
D0EF5,D0D91,D0F52
B936A,B9151,B9260
D0C3D,D0B75,D0AB0
B9378,B931F,B926E
D0C0A,D0D23,D0E64
B93CF,B93F2,B92D4
D0F1C,D0CEE,D0DD6
B9374,B91C2,B9267
D0E77,D0D88,D0F42
B91B4,B9360,B93E7
D0DC2,D0F14,D1033
B9445,B937C,B9599
