{'CALIB_RAW_DAC_START_I': 360448, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
8B616,8B33C,8B448
A2D39,A3006,A2DD8
8B52B,8B582,8B38A
A2E68,A2FA7,A2DAC
8B2AE,8B441,8B357
A2EF4,A2E45,A2E79
8B430,8B475,8B285
A2E1A,A2DF4,A2DAF
8B548,8B499,8B2DD
A2E7B,A3015,A335E
8B4E8,8B548,8B3C7
A2D4C,A2EE4,A2F91
8B591,8B51F,8B477
A2FB2,A2FF5,A2FB1
8B605,8B348,8B594
A2E27,A2E67,A2F74
8B5D4,8B629,8B584
A3164,A32A7,A3258
8B568,8B4D7,8B4F5
A2EEC,A2E9F,A2FE8
8B569,8B3C3,8B3A1
A2E99,A2F28,A30C1
8B3A9,8B482,8B680
A312D,A2FEB,A2ECD
8B581,8B5F1,8B6AD
A2F9B,A2FB2,A2F6F
8B663,8B77B,8B578
A2F08,A2E94,A306E
8B553,8B6AB,8B6B0
A313C,A31EC,A3100
8B696,8B51E,8B4FD
A309C,A30CF,A30CF
8B629,8B5A2,8B661
A316C,A335E,A30A0
8B67C,8B60B,8B7D0
A3062,A3057,A2F2D
8B5E8,8B5D5,8B65D
A3026,A3020,A2FEA
8B658,8B664,8B59C
A2FA7,A2E76,A3034
8B635,8B70F,8B67F
A3355,A2FFA,A318B
8B405,8B6D7,8B4B5
A2E5F,A2D38,A30E3
8B579,8B690,8B4A2
A30F4,A31B3,A2FDC
8B706,8B62C,8B5C3
A2FA9,A30B1,A302C
8B552,8B546,8B646
A30BB,A32DB,A32A7
8B5F1,8B6F2,8B54D
A2F94,A2F4E,A313F
8B632,8B4F8,8B6AF
A30F7,A3134,A31B0
8B709,8B7A4,8B761
A2FE3,A30F4,A31C6
8B602,8B56D,8B55B
A30C4,A3018,A326F
8B5AC,8B75A,8B68E
A3065,A3252,A328F
8B7E9,8B6FD,8B8B1
A3267,A3097,A30C4
