{'CALIB_RAW_DAC_START_I': 425984, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
54438,543E5,54548
6BF97,6BEB1,6BCDC
54673,54319,5441E
6BD6B,6BDB8,6BE42
542AC,5423F,5437D
6BE01,6BE01,6BEF8
5457C,5441D,54533
6BF70,6BF33,6BD4D
54562,546B0,5463C
6BF94,6BFF5,6C123
544E0,54639,54403
6BE4B,6BE4A,6BEF0
54527,544CB,54331
6BEE0,6C127,6BFB4
54615,5448C,5447F
6BDF4,6BF7A,6BE08
54560,54684,54439
6BEAA,6BD95,6BCE2
54781,546FA,54467
6C274,6C0AA,6C20C
5476C,545F9,545E6
6C119,6BFA6,6C046
545FA,54715,5457E
6C199,6C237,6C057
54804,545DB,5460D
6C095,6C0E9,6BF6E
544A4,544CC,5464B
6C160,6C058,6BF70
54661,545A9,5467C
6BEEB,6C056,6C18E
545EB,54707,54580
6C102,6C100,6C0CD
5451D,54730,545B9
6C39E,6C317,6C178
5485D,548ED,5480A
6C16D,6C2DE,6C0B2
5465A,54830,54871
6C295,6C1E6,6C2E1
5485E,546E9,546B2
6C204,6C2DC,6C2EE
54837,54831,547E9
6C170,6C24F,6C237
546BD,546CE,546A9
6C28D,6C0B5,6C117
547B4,545F8,546B8
6C4F5,6C29A,6C0B0
548D4,547EE,54846
6C3DC,6C2DF,6C1F5
54704,547D6,54845
6C44A,6C32B,6C337
5458B,5454E,543C2
6C03C,6BE9C,6C06A
545A4,545F5,543E6
6C0AE,6C16B,6BF8B
54637,5461D,5453E
6C040,6C045,6C18D
54732,545A0,543BD
6C0F0,6BFCA,6BF34
54539,54535,54433
6BF4A,6C18D,6BDFF
5463D,546EE,5465D
6C06F,6C107,6C0D8
5449E,54595,54486
6C0FC,6BFA0,6C077
54661,54646,545C9
6C25D,6C2A3,6C2D1
54737,54947,54735
6BEAB,6C067,6C195
54778,54715,544DC
6C28E,6C1DB,6C283
546A4,5451C,5447A
6BFB2,6C289,6C25E
545EB,545F5,5463E
6C2A1,6C0A4,6C20A
54734,54657,54827
6BFEB,6C1BE,6C0E2
5460A,545AA,546C7
6C1D5,6C2FC,6C257
54700,5482D,544AF
6C347,6C1DD,6C273
549ED,547AE,548F3
6C241,6C1E3,6C2B2
54A74,549D0,548C2
6C45E,6C3F5,6C47E
54A19,54914,54947
6C35A,6C3AE,6C3CF
549AF,548D5,549DC
6C3A5,6C2B0,6C316
54910,54642,5484E
6C2AA,6C52D,6C2C4
546C4,5472E,54996
6C3FD,6C2FB,6C2EA
5493E,54932,54917
6C513,6C451,6C43D
549EF,547B2,54A4B
6C432,6C409,6C384
54C24,54AE9,548FF
6C390,6C5A9,6C461
54945,54936,5489D
6C3A6,6C510,6C4E2
54997,5489B,54AC6
6C643,6C4FD,6C63B
54A0A,548C2,54A76
6C72F,6C49E,6C5ED
54B8E,54B0C,54B06
6C5A8,6C702,6C566
54B0B,54B25,54BCD
6C7C9,6C4FF,6C5F6
54B39,54B3C,54AB7
6C4BD,6C574,6C64D
54B71,54C0F,54BB2
6C6C2,6C670,6C5B5
54B8C,54B71,54A71
6A961,6A9CA,6AA1B
54BB5,54CE9,54B7C
6C63B,6C682,6C638
54BCF,54B85,54B60
6C7D0,6C560,6C738
54C8E,54B16,54B22
6C67C,6C74D,6C60D
54E14,54B4C,54B5B
6C671,6C854,6C501
54CB8,54D13,54CE5
6C7FF,6C6FA,6C6A5
54BED,54DDF,54CC0
6C603,6C748,6C81B
54CCC,54D8D,54A93
6C72B,6C605,6C5EF
54B68,54D16,54D0D
6C4DC,6C5DE,6C733
54D40,54D3B,54C37
6C535,6C51B,6C5B0
54D63,54EA4,54E38
6C796,6C6F6,6C6C5
54EDA,54D68,54BA3
6C722,6C5A7,6C8C1
54FD0,54EE2,54D42
6C8A6,6CA1B,6C8FF
54E70,54DEA,54E07
6C937,6C8E3,6C795
54DD8,54F2E,55013
6C796,6C8CF,6C7F7
54C23,54E03,54C4D
6C8BF,6C996,6C784
54E67,54CF7,54C5F
6C728,6C745,6C787
54D31,54FC2,55036
6C9DA,6C8CD,6CA85
54F92,54FA1,55053
6CBD2,6C9D6,6C9C7
5505E,54F4C,54F7D
6C9C4,6CB02,6C919
55025,55023,54E32
6C88B,6C974,6C90B
54E81,54E6F,54F07
6C7FE,6C9B7,6C901
54EFD,54F10,54D86
6CAE9,6CBB6,6CB48
55070,54F0A,54F8B
6CAC9,6CAD8,6CAAB
55130,5513F,54FCF
6CB7E,6CAAC,6CB8F
55078,55232,55190
6CAA5,6C98C,6CA82
5504B,54EE6,54FD9
6CA4F,6C976,6CAA1
54F50,5520E,54FE8
6C99C,6C972,6CAC4
54E67,54F82,54F8A
6CAF0,6C91D,6CA32
5509C,54F91,55023
6C97A,6CB2F,6C969
551B5,55249,550F9
6C962,6CB01,6C913
550E2,55364,551D7
6CB65,6CA98,6CA1A
55310,55118,5512D
6CBDB,6CCB5,6CBAB
54DD9,54D2A,54EA3
6C77E,6C80D,6C7D9
54F45,54E62,54D32
6CA9C,6C987,6CA00
54DA8,54DFE,5506B
6C9BB,6C89B,6CA24
54E8F,54E79,5503B
6C986,6C7E3,6CA87
54F1D,54FFB,54DD5
6C9AB,6C966,6C922
54FF0,54FE6,550FB
6CBF8,6C8A2,6C975
55091,54F86,55002
6C9BE,6C9E5,6C9BB
55003,54F1E,54D78
