{'CALIB_RAW_DAC_START_I': 720896, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
9ED9A,9ED06,9ED53
B677D,B67B0,B66F5
9EBBC,9EC3B,9EC69
B6798,B669F,B66A5
9EAB1,9EB70,9EC81
B65CA,B67A7,B66C7
9EB17,9EB6E,9EB49
B673E,B6681,B67E3
9EC8E,9EA31,9EAC1
B6619,B6797,B6824
9ED4B,9EBDC,9ED09
B65A2,B66D5,B676C
9EBE8,9EC01,9EC84
B65D2,B6801,B6761
9EAE9,9ECC0,9EC13
B664D,B6784,B6699
9ECEF,9EB4F,9EB73
B5733,B57D4,B590F
9F67B,9F501,9F6E0
B6E7F,B7114,B6FF9
9F47A,9F45A,9F506
B6F49,B7090,B7011
9F58A,9F4EE,9F4DE
B6FDF,B6F57,B7055
9F686,9F3FD,9F469
B6EF5,B7001,B6F49
9F5C9,9F5B7,9F59E
B6F1B,B7002,B6FD6
9F813,9F612,9F38C
B6F8A,B6F8D,B7040
9F3C6,9F43A,9F371
B6DA2,B6F69,B6DAF
9F44D,9F414,9F4B1
B7173,B700C,B7143
9F4EC,9F3EB,9F3D5
B6E24,B6DF9,B6DCD
9F47C,9F3CC,9F4AB
B6C57,B6E82,B6F8C
9F4AE,9F4D1,9F3F6
B6DED,B6EE0,B6EB3
9F733,9F353,9F4F3
B7004,B70AA,B6F8D
9F4F3,9F614,9F5DD
B7094,B7001,B7117
9F490,9F5B0,9F402
B6F3C,B7012,B7229
9F6A0,9F514,9F408
B71AD,B7258,B71A9
9F57A,9F413,9F5E7
B6F8C,B70F7,B701A
9F5AE,9F482,9F725
B6F5D,B703A,B6FF4
9F5F0,9F6D0,9F47E
B6FA7,B7156,B71B5
9F52B,9F343,9F440
B6F98,B6F89,B6EFF
9F4B1,9F2CB,9F2F3
B6EC1,B7098,B6FFC
9F652,9F618,9F531
B6EB3,B6ED3,B6FC5
9F403,9F4F0,9F642
B6FBC,B6FB6,B700A
9F593,9F411,9F3A9
B70DE,B6DBF,B7031
9F50D,9F56E,9F5D2
B6FE5,B7021,B6E8C
9F46A,9F48A,9F541
B6D56,B6FE8,B6F0F
9F451,9F3E2,9F2BD
B6DC2,B6F3D,B704F
9F4B7,9F32E,9F483
B6DE2,B6F51,B6E89
9F340,9F39D,9F399
B6F51,B6E4F,B6D95
9F28D,9F364,9F51A
B6D42,B6E4B,B6F8C
9F41F,9F5C3,9F4F2
B6FD1,B6F3A,B6EC9
9F672,9F477,9F350
B6E9C,B6D53,B6DAB
9F48A,9F576,9F39B
B705C,B6ED6,B6EB2
9F362,9F426,9F288
B6DF0,B6D42,B6E24
9F505,9F410,9F194
B6BCF,B6CDE,B6C50
9F300,9F426,9F251
B6C61,B6C38,B6E01
9F440,9F2A1,9F3AF
B6DBF,B6EF4,B6C7F
9F37F,9F25A,9F0D3
B6CD7,B6C72,B6C46
9F27E,9F303,9F211
B6DF1,B6D95,B6D9A
9F4A3,9F215,9F1A6
B6D4C,B6D44,B6CD8
9F315,9F3DC,9F49A
B6DBB,B6EB7,B6EF6
9F3EC,9F3F4,9F23C
B6CFA,B6C71,B6D39
9F0E1,9F1AB,9F284
B6C82,B6D86,B6DBA
9F275,9F35F,9F33D
B6D28,B6D9F,B6E45
9F2D1,9F1EC,9F1A9
B6B80,B6CE0,B6B60
9F2C2,9F244,9F13D
B6C3B,B6CED,B6D61
9F3BF,9F2ED,9F28C
B6E6C,B6DA7,B6D6A
9F2E7,9F452,9F280
B6CBE,B6C21,B6E2F
9F2C4,9F3C4,9F2CF
B6C38,B6D91,B6C65
9F2CF,9F3A7,9F2BA
B6BA4,B6C42,B6CC8
9F39A,9F3E0,9F3AD
B6CF1,B6E69,B6E84
9F34F,9F1DB,9F0ED
B6D01,B6CF7,B6DBB
9F17A,9F284,9F2B5
B6C47,B6C94,B6E24
9F3BC,9F4A3,9F326
B6ED1,B6E0A,B6E28
9F22D,9F025,9F1D3
B6E50,B6E14,B6CAB
9F30E,9F4AB,9F1E1
B6CD6,B6D49,B6D31
9F33E,9F25F,9F311
B6DF3,B6DD9,B6E5D
9F205,9F10C,9F169
B6C1A,B6BCB,B6D64
