{'CALIB_RAW_DAC_START_I': 196608, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
578A,58DA,59EF
1D30F,1D2C2,1D348
599C,584E,5797
1D305,1D265,1D379
57A6,5815,598A
1D43D,1D33F,1D263
5A9C,583C,5820
1D458,1D2F2,1D3A9
5A0C,58D6,57FC
1D4C8,1D4F9,1D2B8
59DD,58DA,58CF
1D336,1D2A1,1D305
593B,58CB,5AD6
1D4CF,1D3EB,1D453
59D4,5A33,5B85
1D2C7,1D402,1D54C
59B2,5712,5868
1D27E,1D4C6,1D4C9
59B9,595F,5B0C
1D490,1D492,1D5B3
5934,5B22,5960
1D562,1D5C2,1D57F
5A1E,5933,592E
1D3A4,1D445,1D68A
58FE,5AA0,5B5E
1D409,1D34E,1D3D2
57BC,584C,58A0
1D38A,1D3EC,1D2A3
5845,58A1,5716
1D27A,1D181,1D303
5971,57D3,5810
1D404,1D302,1D358
590D,5AA5,5870
1D43D,1D334,1D3D1
585C,5793,582D
1D204,1D1C0,1D47C
599A,57BB,588D
1D32D,1D40A,1D3F8
5A25,58E6,588C
1D43C,1D3C5,1D279
5796,5772,59FC
1D56F,1D3C6,1D2AB
59AB,597C,5893
1D33D,1D4C5,1D3B8
58F3,5794,594D
1D327,1D35A,1D455
57FB,599B,57FA
1D3BA,1D25F,1D2B7
59BD,589E,597A
1D3B8,1D401,1D507
569C,5A09,5A3A
1D27D,1D40B,1D3E3
5B45,58B7,5951
1D3F6,1D418,1D3E2
5A2A,5908,5984
1D3AB,1D321,1D54D
5AD0,5BC9,5895
1CA12,1CC4E,1CAEC
5F85,5DE6,5D7A
1D85E,1D9D9,1D94C
5F56,5D81,5BF1
1D716,1D81C,1D906
5E9A,5E99,5E4E
1D6D3,1D715,1D76D
5D95,5DCE,5C86
1DA8A,1D986,1D8C4
5DFF,5ECF,5CEE
1D7B6,1D744,1D8E4
5D46,5E1F,5E58
1D918,1D8D5,1D829
5FC7,5E37,5F6B
1D99E,1D9C0,1D891
5F7F,6058,600B
1DA0A,1DA75,1D9BC
5F68,5DB2,5CB6
1D951,1D952,1D87F
5CF8,5F07,5D5E
1D9C1,1DAAF,1D7C7
5EF9,6004,5D54
1D9E2,1D7A8,1DA02
5F22,5D2D,5F59
1D995,1DAFB,1DA62
5F78,5E4B,5F71
1D91D,1D82D,1D993
5F7B,5EC2,5F2B
1D8DB,1DC10,1D96C
5F55,5F6B,6021
1DB45,1DA2B,1DB0F
5F39,61ED,5EFB
1D85B,1D7AA,1DA03
5EB2,5CDD,5E83
1D936,1D742,1D806
5D42,5D8F,5E43
1D806,1D86D,1D81C
5EFF,5C0C,5DAF
1D889,1D6FC,1D812
5F6A,5D95,5D40
1D746,1D9C1,1D965
5F6D,5EA0,5F59
1D8E3,1D9F7,1D873
5F7F,5EA9,5ED8
1D868,1D86C,1D8D5
5E71,5FE6,5EE0
1DAF7,1D95D,1D9C5
5E1D,5E61,5CCF
1D8B9,1D9B5,1D9EA
5ED2,5DA9,5CB3
1D57C,1D7FE,1D7A3
5C67,5CBA,5E08
1D7A6,1D73E,1D7C7
5D54,5DCF,5CA5
1D903,1D63F,1D7E4
5D6F,5F74,5EB1
1D8E6,1D997,1D679
5EA1,5F35,5D6C
1D996,1D8A7,1D82B
5DC2,5DA5,5D52
1D770,1D72C,1D86D
5E59,5E31,5CF7
1D949,1D774,1D9E1
5F92,5E2A,5CA7
1DB51,1DCCA,1DDEB
60DC,5E72,60E7
1DAFE,1DC24,1DB7C
6183,6172,6085
1DA99,1DA18,1DA56
61D4,627C,630C
1DBDA,1DC2E,1DD6F
6067,6266,61F1
1DC31,1DBFA,1DCA7
6123,5FDA,5F53
1DD5F,1DB1D,1DC97
6239,6043,60F9
1DB0F,1DA86,1DCFF
6268,61FB,603F
1DAC4,1DD3D,1DCAE
60EE,62AF,61A9
1DD26,1DC62,1DCFD
60B7,60FA,61BC
1DD3D,1DC1E,1DBB3
6255,629F,624B
1DC82,1DD48,1DDB0
63E3,60D3,6117
1DD6A,1DA04,1DBDB
60DE,63A9,609E
1DB57,1DD43,1DB06
6078,6227,626D
1DBE5,1DA66,1DDFA
61B5,6230,61DA
1DD99,1DCD6,1DC35
61E9,6063,5FDD
1DBA6,1DB50,1DAA7
6281,62E4,613C
1DA62,1DA0A,1DA99
5DBE,5DCD,5E9F
1DA40,1DB6F,1DA74
61F1,5F8E,5F96
1D859,1D7D8,1DA77
5FFE,5F59,60DF
1D9BC,1D93E,1D9D2
60B3,6097,5E60
1DBD5,1DB08,1D9F2
6146,6009,5F5D
1D9F4,1DB1D,1DAB4
600B,60AE,61FE
1DA22,1DBD4,1D9BD
5FF0,5E2B,6151
1DB6E,1DA1C,1DA54
61AF,618C,5FF3
1DB8E,1DD09,1DC3C
6112,62AB,609E
1DB5C,1DA12,1DAE5
615A,6210,61FA
1DD6D,1DCD7,1DC62
6047,62D3,6159
1DC4E,1DC38,1DBCA
6108,623A,6371
1DCCB,1DF1B,1DC4E
62C9,6299,6206
1DBEF,1DCA9,1DBCF
6267,6278,614B
1DC97,1DBCE,1DDE9
6166,6290,6266
1DB55,1DD71,1DCA9
61A7,625B,5EDD
1CB92,1C95B,1CBAA
5EF9,5EC4,609B
1DB8A,1DA53,1DAAD
613D,6091,6153
1DCA8,1DA5E,1DBE0
6082,5F52,61AD
1D942,1D919,1DA06
6043,5E4C,5E41
1DB44,1DBCB,1DAC4
5E7F,6170,611E
1DB91,1D9EF,1DB7A
605B,6157,61C1
1DA54,1DD7D,1DC99
622D,6152,6236
1DC37,1DA8B,1DB8A
61CE,60B4,6043
1DB69,1DD38,1DC1F
5FFE,60BC,5FE7
1DB29,1DB65,1DBE8
6253,618C,616D
1DC2F,1DAD6,1DB62
61BD,609C,5F26
1DAB1,1DB96,1DDF3
5F86,5EE5,611C
1D9C0,1DC1C,1DB1F
6228,6241,5FED
1DB7E,1D9E5,1DAB6
6233,60BF,6232
1DD6E,1DB88,1DDB7
6238,60AB,61D2
1DBD3,1D9F5,1DBF7
635D,62AF,62A4
1D7F7,1DB01,1DAC4
621C,60B3,6120
1DAF0,1DA4E,1D8C0
5F2C,6047,5F54
1D97A,1D962,1DA8D
5F6E,606F,62A3
1DAB6,1DBD7,1DC6C
614D,6082,6162
1DB75,1DB97,1DBAF
5FCF,6168,610A
1DD1D,1DAF4,1D97F
6249,60F9,60D2
1D9C2,1DBFA,1DAAD
61F6,615B,5F70
1DA83,1DA9F,1DC07
619B,62E9,61A1
1DB61,1D9C0,1DBFD
5F0B,6010,5F80
1D83D,1DB1A,1DA73
602C,60BB,6083
1DBCC,1DC36,1D9C8
61A3,62FB,606C
1DB4E,1DAC1,1DCF4
6062,614F,612A
1DB32,1DD1E,1DC70
60A9,607E,6013
1DB1C,1D9E6,1DB0E
618A,5F45,6051
1DA20,1DC9C,1DC13
6231,6163,62C6
1DBDB,1DC3D,1DC59
6296,6075,61F2
1DFC9,1E039,1DFA0
6389,63C0,632E
1DEE9,1DE93,1DCF9
6419,6156,6154
1DD57,1DE95,1DFBA
6305,63BF,6367
1DD42,1DD92,1DBE1
629E,6373,6362
1E113,1DFD0,1DE21
64EC,647E,649D
1DBF5,1E053,1E16A
66C8,64AD,66B1
1E07B,1E040,1E135
649A,657E,6494
1DF8A,1DE45,1E043
64DE,6385,64D7
1E029,1E169,1E263
63CE,646D,660D
1DE67,1DF9B,1DDAB
62CF,6375,6354
1DD40,1DF08,1DE07
6363,63A5,6289
1DE9B,1DFD9,1E0DE
65A5,6617,656C
1DFF8,1E1A7,1E0B8
6642,6519,63DE
1DE6E,1DED1,1DE8D
62E0,6458,644B
1DE4C,1DD97,1DE29
67F1,65C8,66AB
1DEFF,1DFE1,1DE5D
673E,6559,654E
1DD79,1DE5B,1DF14
6443,6426,63FD
1DF35,1DE08,1DF56
6437,64BA,6472
1DCEC,1DF7A,1DF18
65F7,6645,63B3
1DDDA,1DE6D,1DF78
641B,6407,6431
1DEA0,1E024,1E03D
6521,648C,63FF
1DE5D,1DF29,1DF4F
6387,6339,6480
1DE7C,1DE1F,1DF90
65D4,648B,65DB
1DE27,1DE8A,1DC8C
63FA,632A,6326
1DF81,1DD95,1DEA8
649D,654E,6583
1DF57,1DE50,1DE58
645C,64BF,640B
1DEF8,1DDF5,1DD14
6314,63F4,628C
1E07C,1DE7E,1DE1C
