{'CALIB_RAW_DAC_START_I': 786432, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-2ECB3,-2ECFD,-2EC83
-467D9,-467CD,-46718
-2EB91,-2EC8C,-2ECF4
-466DF,-46590,-46721
-2ED54,-2EDD8,-2EC20
-4648B,-463D5,-4673D
-2ED45,-2EC7D,-2ED7C
-46836,-4664B,-4683B
-2EF24,-2EE36,-2ECCD
-46532,-46821,-4669F
-2EB28,-2EA15,-2EC06
-46699,-46775,-4679D
-2EEB2,-2EC30,-2EBDB
-46597,-466A8,-46663
-2EBE8,-2EBE8,-2EE5E
-4661D,-466FA,-46595
-2EF06,-2ED11,-2ED90
-46722,-466BB,-46798
-2EDA6,-2ED2B,-2ED77
-46812,-46681,-468FF
-2EC19,-2EC9D,-2ED06
-466E3,-465D1,-467B6
-2EC84,-2ED82,-2EADE
-4668D,-46680,-46651
-2EAD8,-2EB40,-2EC25
-46865,-46853,-466F3
-2ECB8,-2EB5B,-2EB89
-464AD,-464A3,-4653B
-2EAE6,-2EC90,-2EC41
-466C6,-468E6,-467C1
-2EA31,-2EBF6,-2EC0B
-466A2,-465A8,-46647
-2EABE,-2EBE3,-2EDB8
-464CC,-46624,-4661F
-2E9C3,-2EAB5,-2EA2B
-465FA,-46418,-46640
-2EB74,-2EAC3,-2EB90
-46487,-4661E,-46626
-2EA67,-2EA0A,-2EC0C
-46479,-465E1,-46640
-2ED2B,-2EC23,-2EC09
-463DF,-4661B,-465C7
-2E934,-2E8B7,-2EA8B
-46439,-4651A,-46506
-2EBEE,-2EB0C,-2EB5B
-467C9,-4646E,-466B8
-2E962,-2EBCA,-2EB5B
-46524,-46601,-466E5
-2EC67,-2EA9B,-2EC49
-46847,-466C9,-4640F
-2EB5E,-2EC6C,-2EC0E
-4660C,-464F5,-4650D
-2E91E,-2ECE2,-2EB4C
-46462,-463E6,-4651D
-2E876,-2EB78,-2EA7F
-46399,-462CA,-4663B
-2E9E2,-2EB03,-2EA78
-464C7,-4647F,-466A1
-2E7E5,-2E8D5,-2E8C0
-464E2,-466A7,-467E2
-2EA98,-2E9F3,-2EBA7
-463E1,-4668E,-46627
-2ECC6,-2EB04,-2EBA1
-464F4,-466CD,-464D7
-2EB42,-2E9A7,-2EAF2
-4630D,-4661B,-46405
-2E8FC,-2E8F8,-2EA88
-464EA,-46627,-466A6
-2ECC5,-2EAD3,-2E9DF
-465CB,-465AE,-463F3
-2EB14,-2EB5A,-2E93E
-46536,-464C2,-464CB
-2E825,-2EB29,-2E94B
-4639F,-4649F,-4641C
-2E7DA,-2E8D2,-2E98C
-464E8,-465AD,-4635F
-2EA23,-2EBFC,-2EAEA
-46403,-463E1,-46504
-2EAFD,-2EA36,-2E965
-46443,-46575,-464B5
-2EA16,-2EA90,-2EB93
-4640B,-4646F,-46511
-2EBB4,-2EB5B,-2EC0F
-4664C,-4633F,-4652C
-2EA15,-2EBEC,-2EB4C
-464D6,-466C4,-463F9
-2E958,-2E971,-2E9B0
-46558,-463E0,-462D6
-2EA83,-2E978,-2E9ED
-46312,-4650F,-46377
-2EA6B,-2EAD5,-2EAEA
-46552,-46451,-463D7
-2E9D5,-2EA6C,-2E942
-46540,-464BE,-4645D
-2EABC,-2EA44,-2E9CE
-463A4,-46511,-463CB
-2EA67,-2EA9C,-2EA28
-46324,-465EE,-463DD
-2E9FD,-2E8EE,-2EAA6
-463C7,-4651A,-46496
-2EA44,-2EAD0,-2EAE5
-4646A,-46355,-464E5
