{'CALIB_RAW_DAC_START_I': 425984, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-73488,-733AE,-7353A
-5B88A,-5B940,-5B9F7
-73386,-735F5,-733B9
-5B9BD,-5BB40,-5BC84
-73413,-735A7,-737F6
-5BA60,-5BBB1,-5BB4B
-7325C,-73527,-734C9
-5BA96,-5BA64,-5B95D
-735FD,-734C2,-733CF
-5B823,-5BAB4,-5B9CB
-73413,-73465,-734E3
-5BBC3,-5B9A7,-5BBB7
-73643,-73736,-73688
-5BA7B,-5BC0B,-5BB22
-734DF,-735A1,-733D1
-5BC32,-5BB00,-5BB80
-734F7,-73596,-736DF
-5BADD,-5BBBC,-5BB99
-73694,-734D0,-735F8
-5BA40,-5B939,-5BADF
-7331D,-733F4,-734D8
-5B98B,-5B8EC,-5B9BB
-7342A,-734E5,-73349
-5B92B,-5BB2A,-5BA7E
-7347C,-735E0,-7363B
-5BBE0,-5BCBE,-5BA73
-73638,-73328,-73597
-5B9D1,-5B960,-5BB25
-7334C,-73592,-7346A
-5BB91,-5BA7D,-5BA61
-73610,-734EB,-735F2
-5B896,-5BBEE,-5BA72
-735F5,-735B2,-735F1
-5BA0C,-5BC80,-5B9B2
-73426,-733B2,-7352C
-5BB3C,-5BA02,-5B928
-73564,-734A2,-7353F
-5B98A,-5BB2B,-5BC17
-7359E,-73522,-7351E
-5BB41,-5BAFD,-5BA41
-73562,-73595,-73744
-5BA80,-5BC7C,-5B908
-735DD,-737D0,-735C5
-5BBF0,-5B9B3,-5BB13
-736AE,-73645,-736A3
-5BC3F,-5BCE9,-5BD37
-735F8,-73595,-73624
-5BD09,-5BC7A,-5BBA1
-735E8,-735A1,-7382D
-5BAFA,-5BA07,-5BB63
-736A7,-735DB,-73735
-5BB71,-5BA1B,-5BA9E
-73599,-735DD,-73615
-5B9DD,-5BAC1,-5B9F0
-733D6,-734D5,-735F8
-5BB17,-5BCC2,-5BB18
-73654,-73603,-735C2
-5BBF6,-5BA8D,-5BB1B
-736F5,-73713,-738E2
-5BDBA,-5BC40,-5BC64
-736F4,-735AD,-73751
-5BB7E,-5BBA6,-5BD45
-736DD,-7362C,-7368C
-5BA3B,-5BCFA,-5BC63
-736AA,-73674,-7350B
-5BB20,-5BC7B,-5BB37
-73676,-73485,-73523
-5BC4E,-5BA15,-5BBDC
-736B7,-734D1,-7343C
-5BB11,-5BB4B,-5BCC4
-735CF,-7365D,-73589
-5BB70,-5BB83,-5BBCE
-73751,-73614,-736F6
-5BB6E,-5BAC0,-5B98D
-7379F,-736F8,-73625
-5BDC4,-5BBB0,-5BBF2
-7360C,-73716,-737E8
-5BC3F,-5BC36,-5BB99
-73615,-73701,-73592
-5BD8B,-5BD84,-5BC77
-736C4,-73677,-737D4
-5BCE0,-5BA8A,-5BB87
-73712,-73756,-735B5
-5BA84,-5BD21,-5BC4E
-735B1,-73735,-73638
-5BB34,-5BAB1,-5BB61
-7360A,-735F4,-7371D
-5BDA5,-5BB95,-5BDB7
-7362E,-736E3,-73785
-5BB90,-5B95E,-5BCF4
-737BE,-7371A,-738FF
-5BD2F,-5BD56,-5BCEC
-736B4,-7360A,-73649
-5BC6B,-5BB15,-5BD1C
-7359A,-73693,-7363D
-5BC7D,-5BD0A,-5BDD0
-737F8,-738C2,-7378A
-5BC97,-5BBFE,-5BD7E
-73778,-7347E,-7360B
-5BF2C,-5BC4A,-5BBF0
-73762,-73922,-73843
-5BD1F,-5BB83,-5BD6E
-73879,-73890,-736C4
-5BDB3,-5BC03,-5BD06
-738B8,-7375C,-73760
-5BE92,-5BD4F,-5BD98
-73842,-737E3,-73965
-5BF1C,-5BEDF,-5BF84
-73822,-7389A,-73872
-5C04A,-5BCE3,-5BDBA
-7374D,-73893,-73A64
-5BE00,-5BD69,-5BCC2
-7374C,-738AB,-737A5
-5BF26,-5BE5E,-5BC4F
-7374C,-73960,-739C3
-5BD62,-5C0BF,-5BF93
-7370D,-73796,-737C1
-5BE2C,-5BE2E,-5BC92
-73598,-7383C,-73773
-5BEA4,-5BEA8,-5BDF6
-737FA,-737B0,-738A9
-5C7D0,-5C740,-5C8C5
-7361A,-73549,-736D1
-5BA29,-5BA9E,-5BB13
-735D2,-73381,-73552
-5B9B9,-5BA13,-5BC20
-73605,-736E8,-73714
-5BA83,-5BAD0,-5BC67
-735F1,-7354E,-735FA
-5BBC5,-5BA05,-5BA41
-7360E,-735E3,-73663
-5BA08,-5BB60,-5BC55
-73615,-732DB,-7338C
-5BB96,-5BA6D,-5BA0B
-73449,-733D8,-734CF
-5BAC1,-5B905,-5BB2A
