{'CALIB_RAW_DAC_START_I': 32768, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
158F91,158E71,158EA0
141342,1415BC,141422
158E57,158F77,1591A6
1415B7,141532,1414A2
1591D7,158E8B,159001
14156C,1416BC,1414FD
159083,15911A,158F1B
14165D,14155E,141363
158CF6,15907F,158FAE
14173C,14149D,1415CD
159022,158FC6,158F8B
141512,14131D,1414C0
158F28,159006,159038
141673,141421,141429
159173,159168,15927D
141551,141635,141564
159206,15908D,1590E0
1417F3,141741,141718
158EA0,158F96,159135
1416C0,141606,1415AD
159005,158FCC,15903E
141690,1416ED,1415E8
1591AF,1591D8,15915F
14173A,14172F,14185C
159206,159308,15919F
1418BC,1417F3,14161E
1591B9,1591ED,1590A1
14164F,141822,14190F
15903E,15903B,1593D7
141760,141868,14181F
1592AE,15928F,159257
141845,141844,1417E0
15928D,159185,1592EC
141886,141892,141933
15921F,1594EC,15921F
1418C9,1418E1,141868
1592E3,1592C5,159136
1416E3,1417A8,141908
159151,15935A,1592E9
1417AE,14195B,14187B
1593D2,15928F,1592CD
141945,141A97,1416FE
15935E,159289,15923F
141725,1417D2,1418CF
1592DE,1592B2,15944D
141AFA,141BA1,141929
159355,1591DD,159397
14193E,141908,141811
1592E4,159288,15937B
1419C5,1418C7,141990
1592A1,159445,159487
141B53,141A1B,141902
15936D,1593D4,159226
14195B,141881,141940
1595B3,159647,159424
14192C,141935,1415FE
159104,15931B,1591AC
141765,1417EB,1416B3
15905E,159148,15907E
1416E9,141816,14167F
159141,159215,1591A0
1416A0,14186B,1416CB
1593C8,158FFE,1592E3
14181F,141696,14177E
1592F0,1590DE,1591D4
1417BB,1417B1,141663
15925C,1592CD,15934C
141809,1417AE,1417EE
159334,1591F8,159369
1417A3,14182F,14192A
159381,159439,1594D5
1418C9,14181B,141760
15941A,1594B9,159441
1419B8,14176D,1416C6
159136,159232,159388
141809,141A7C,14182E
159464,159420,1592DD
1417B2,141A47,141885
1592EA,15951C,159407
1417CF,1417EF,141922
1591C6,159412,15936C
14185A,1419C1,1417FD
1593E2,1593CC,15947A
141B44,141815,1419CB
15934F,159431,159473
141832,141878,14187B
1593CB,1594D3,159331
141A77,1419CD,141B4E
159446,1596C2,15964F
