{'CALIB_RAW_DAC_START_I': 229376, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
CB9AD,CBA2C,CBB8A
CDDEE,CDD7A,CDD78
E5753,E5648,E572F
CDCA6,CDDD5,CDCFC
E56E5,E59CB,E5752
CDCCF,CDDAE,CDEB6
E5777,E5817,E5767
CDE1F,CDB6E,CDC60
E57CB,E579B,E5707
CDD80,CDDD2,CDBE8
E55B1,E5645,E56A0
CDE02,CDDAC,CDD24
E59E2,E5A21,E5885
CDD2B,CDE1A,CDECC
E57E6,E597C,E58E5
CDD0A,CDCE7,CDCA9
E594D,E57AC,E5908
CDFDB,CDF83,CE069
E590D,E59B2,E5926
CDF16,CDE94,CDF68
E5989,E5942,E586A
CDE4D,CDCE7,CDDC2
E58AF,E589A,E56D8
CDCC7,CDDAA,CDC6C
E58AD,E5667,E5867
CDE9B,CDF67,CDE2E
E59C2,E59A6,E5987
CDCB8,CDEA9,CDF81
E5976,E5917,E59A8
CDEF1,CDE4A,CDFB2
E571A,E58A9,E5791
CDF75,CDBE9,CDD47
E5971,E5AC7,E58CC
CDE62,CDEFD,CDE78
E57C1,E587F,E5908
CDDC4,CDDE1,CDF19
E5A33,E58DC,E5764
CDED7,CE01B,CE06E
E5910,E5962,E599C
CE09E,CDEA5,CDED7
E59EA,E5A33,E5A05
CDD71,CDE48,CDF62
E5912,E5915,E5A18
CDF21,CDD3E,CE00C
E5AEF,E5B9D,E5C7C
CE037,CDF3D,CDFFE
E57F1,E587B,E5922
CDEA0,CDE59,CDDC0
E589E,E57F9,E5A5F
CDDEF,CDE89,CDEC9
E58D0,E5A08,E5923
CDE92,CDE96,CDECC
E5938,E5AC7,E5A56
CE000,CDF0A,CDF07
E58D5,E58E9,E595D
CDD69,CDF43,CDE2C
E58D4,E5971,E5A50
CDD90,CDE69,CDDFB
E574A,E5962,E5904
CDDDB,CE0AD,CDF3A
E45A3,E46DE,E4719
CDE4E,CDCFA,CDD49
E55BF,E5AC1,E57FA
CDD7A,CDCC1,CDD97
E57D0,E5769,E5850
CDCE8,CDCC4,CDCA2
E5626,E58E7,E566A
CDE14,CDE33,CDED7
E598A,E588B,E57CC
CDE37,CDD31,CDCA9
E55E3,E579D,E581A
CDE49,CDD91,CE077
E5785,E5981,E58D6
CDD8C,CDF38,CDDF3
E5974,E58A5,E584D
CDEFF,CDDF8,CDDCD
E59CC,E5A15,E5AAE
CDC69,CDE2B,CDF3B
E5715,E5A0E,E58BA
CDE66,CDDE5,CDE7F
E56C3,E59E1,E56A4
CDD9B,CDC9F,CDCD9
E58F8,E5814,E5778
CDD00,CDD85,CDC20
E58D8,E583C,E569C
CDF48,CDE11,CDE65
E5891,E5635,E585A
CDC3E,CDE3F,CDD4D
E584F,E5967,E575F
CDDC6,CDC1E,CDE30
E57B9,E56F6,E56F4
CDF0B,CDD22,CDCE3
E57C7,E5898,E5892
CDD97,CDFBE,CDFFF
E585D,E58A1,E5834
CDE24,CDD97,CDD8A
E590B,E5A3D,E5851
CDDAD,CDDDF,CDF94
E5838,E584E,E584A
CDF89,CDDB3,CDF3A
E596E,E5A0D,E583D
CDFC5,CDFB4,CE08C
E5728,E5A64,E596D
CDF2F,CE0CD,CDE73
E5977,E59AA,E5A1E
CE08E,CDFC8,CE005
E5A82,E5A78,E5ABD
CDEFE,CDFF3,CDF32
E5A85,E5C5F,E5953
CE08B,CDEE9,CDFFC
E5934,E5AB6,E5909
CDF6E,CE001,CDF80
E59A6,E583D,E59F0
CE022,CDF7C,CDF84
E5B0D,E5AE9,E5A26
CDEA1,CDED6,CDE89
E5987,E5961,E5929
CDF94,CE0DE,CDF96
E5847,E5A67,E5949
CDE36,CDEE2,CE094
E5CAF,E59EF,E5AD5
CDF5E,CDF44,CE089
E5915,E59CD,E5B71
CE04B,CDF38,CE0EB
E5A87,E5CEC,E59E8
CDF8E,CDF02,CE187
E59F4,E5885,E5A8D
CE018,CDEF1,CDFE9
E59DE,E5B64,E5A5A
CDEBD,CE1A8,CE047
E59DF,E58D7,E59EA
CE03B,CDF9A,CDEFE
E5B00,E5A3B,E5AF9
CE041,CE159,CE204
E5AA4,E5947,E5A08
CE022,CE167,CE070
E5AA4,E5A82,E5AD8
CE183,CDFBF,CDFAE
E5B59,E5C41,E5C54
CE1AD,CE178,CDF5D
E5C6F,E5C1F,E5CAF
CDF32,CE189,CDDA0
E5910,E5A50,E5B3D
CDDD4,CE0C3,CDE99
E597D,E59F5,E5BA1
CE089,CDF52,CDFD9
E5858,E589A,E59B8
CDE9B,CE1C0,CE0A8
E5B50,E5BA2,E5AC0
CE242,CE2D3,CE0EA
E5B59,E5C1A,E5984
CE009,CE09B,CDFC5
E592C,E5B67,E5B65
CE2FB,CE258,CE146
E5C25,E5B01,E5BA2
CDF93,CE23D,CE216
E5C4B,E5BEC,E5CC0
CE102,CE0EB,CE1BD
E5DB9,E5A78,E5BBA
CE1A3,CE097,CE065
E5CE0,E5B0A,E5C73
CE37F,CE344,CE38A
E5B48,E5C76,E5BB0
CE194,CE307,CE16B
E5BF6,E5C3C,E5D40
CE38C,CE44D,CE19D
