{'CALIB_RAW_DAC_START_I': 327680, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-C3A67,-C3A83,-C3BD0
-AC059,-AC0CE,-AC04B
-C3B75,-C3B6B,-C3B28
-ABE3E,-ABF62,-ABEBD
-C3A77,-C3BB2,-C3B7A
-AC047,-AC295,-AC0B6
-C3A65,-C39A7,-C3B85
-AC1EA,-ABFB7,-AC0E8
-C3AB7,-C3CE5,-C3C5A
-AC19D,-AC0F0,-ABF95
-C3B74,-C3C8B,-C3BEF
-AC11D,-AC106,-ABF35
-C3DD1,-C3C8B,-C400F
-AC488,-AC37F,-AC3B3
-C3DB5,-C3D27,-C3D77
-AC57F,-AC2A6,-AC337
-C3CAF,-C3D37,-C3C49
-AC3E4,-AC355,-AC3CD
-C3C7F,-C3E84,-C3C88
-AC1D0,-AC21D,-AC479
-C3C0F,-C3F37,-C3E34
-AC358,-AC3AA,-AC4C2
-C3D24,-C3EDF,-C3ECA
-AC33E,-AC398,-AC4E6
-C3DEC,-C3EC2,-C3D52
-AC4DC,-AC542,-AC627
-C3E6F,-C3ED5,-C3F64
-AC468,-AC4CD,-AC35B
-C3E02,-C3BCA,-C3C91
-AC47E,-AC511,-AC4BD
-C3F20,-C3E6A,-C3ED8
-AC645,-AC40F,-AC4B5
-C3D6E,-C3FEC,-C3E65
-AC4C5,-AC3EA,-AC3E6
-C3EAD,-C3CBA,-C3E10
-AC4B3,-AC1C7,-AC376
-C3C93,-C3C7D,-C3DF7
-AC399,-AC3B2,-AC4FB
-C3E2A,-C3EE1,-C3ED6
-AC3B8,-AC45B,-AC42D
-C4009,-C4149,-C3EC8
-AC630,-AC447,-AC6C2
-C3EE7,-C3EB9,-C3DEE
-AC37E,-AC42C,-AC490
-C3D88,-C3E99,-C3CFA
-AC3AC,-AC2A3,-AC3C3
-C3CA1,-C3C07,-C3E03
-AC251,-AC413,-AC49C
-C3C69,-C3D2C,-C3F72
-AC25C,-AC2C6,-AC1FA
-C3D9B,-C3C3B,-C3E13
-AC2BD,-AC390,-AC2B8
-C3F59,-C3D34,-C3E26
-AC134,-AC42B,-AC405
-C3C4F,-C3EE3,-C3F0F
-AC45D,-AC370,-AC415
-C3E50,-C3D49,-C3C31
-AC3A6,-AC2B6,-AC450
-C3E6A,-C3E1D,-C3E54
-AC17A,-AC171,-AC249
-C3D40,-C3D73,-C3E9F
-AC4CE,-AC3F2,-AC467
-C3E80,-C3D36,-C3C6F
-AC2E1,-AC27F,-AC51C
-C3E6B,-C3E51,-C3E97
-AC45F,-AC528,-AC1F5
-C3F72,-C404A,-C3F22
-AC466,-AC4A3,-AC461
-C3E1B,-C3EF9,-C404A
-AC3E2,-AC49A,-AC3E9
-C4035,-C3FA1,-C3D3C
-AC4A1,-AC5F3,-AC4C0
-C4036,-C3EE4,-C4096
-AC4B3,-AC3F5,-AC681
-C3F28,-C3FBB,-C3FEC
-AB98E,-AB846,-ABA22
-C2DF8,-C2E88,-C2C78
-AB46C,-AB3DF,-AB3C1
-C2F3E,-C2C67,-C2E74
-AB330,-AB2A3,-AB32A
-C2D95,-C2DA9,-C2ED9
-AB45B,-AB494,-AB3B3
-C2EA2,-C2EEB,-C2EC2
-AB464,-AB4CC,-AB5A6
-C2DCF,-C2F50,-C2F7C
-AB4E7,-AB71A,-AB32E
-C2E4B,-C2EE7,-C30CC
-AB475,-AB5D5,-AB473
-C30D4,-C2FAE,-C30F7
-AB504,-AB6AC,-AB68E
-C2FB3,-C306F,-C30B6
-AB373,-AB4B2,-AB497
-C2EEE,-C2F31,-C2D54
-AB5BA,-AB563,-AB4AC
-C2E8A,-C305C,-C2E0A
-AB62A,-AB58E,-AB5C2
-C3136,-C30B8,-C3080
-AB7A2,-AB642,-AB5B0
-C2F82,-C30CA,-C3156
-AB684,-AB807,-AB61B
-C3002,-C31EA,-C30C6
-AB66A,-AB64D,-AB749
-C3047,-C3049,-C31A0
-AB7E7,-AB60B,-AB5DB
-C3107,-C3234,-C31A9
-AB64A,-AB52C,-AB4E5
-C3102,-C30E5,-C302C
-AB5CD,-AB48A,-AB5EA
-C2E3F,-C2E8B,-C2DBB
-AB532,-AB36B,-AB4D5
-C2DE7,-C2DA1,-C2E3D
-AB58B,-AB5F5,-AB475
-C2FC0,-C3136,-C3123
-AB5CB,-AB653,-AB584
-C2F19,-C2E59,-C2E4B
-AB645,-AB4F6,-AB52C
-C2FF6,-C3074,-C30DE
-AB719,-AB5DC,-AB6C1
-C30FD,-C3156,-C312C
-AB5EF,-AB731,-AB733
-C319F,-C3014,-C31AD
-AB8AB,-AB6F4,-AB703
-C31BF,-C320E,-C339D
-AB5DD,-AB786,-AB6D7
-C318A,-C31C2,-C31FC
-AB985,-AB828,-AB8AC
-C3255,-C32BA,-C30E6
-AB73C,-AB58B,-AB55B
-C3007,-C3087,-C307F
-AB623,-AB59A,-AB54F
-C2FC0,-C336D,-C31EA
-AB7A0,-AB750,-AB695
-C30E1,-C2FEC,-C316D
-AB72C,-AB6CA,-AB671
-C313A,-C3239,-C32B4
-AB6B7,-AB6E7,-AB6DF
-C30FE,-C3221,-C329F
-AB8CE,-AB86E,-AB754
-C32F0,-C303B,-C3291
-ABBC7,-AB9E0,-AB9EF
-C3594,-C3489,-C3644
-ABC5B,-ABA8D,-ABAAF
-C3543,-C35A3,-C358D
-ABABF,-AB9F4,-ABA3E
-C35BD,-C34CC,-C3619
-AB9C8,-ABB70,-ABBCE
-C3589,-C35DE,-C3652
-AB825,-AB97C,-ABB03
-C34DB,-C34FE,-C36C3
-ABB81,-ABB1E,-ABB1B
-C3380,-C33BA,-C3636
-AB791,-ABA70,-ABAC0
-C32DB,-C35C1,-C34DB
-ABA32,-ABBE7,-ABAAD
-C35A1,-C357C,-C3658
-ABAA0,-ABB3D,-AB9F4
-C3616,-C3687,-C35E4
-ABC1C,-ABA5C,-ABB38
-C36F3,-C35DA,-C35E7
-ABB31,-ABC96,-ABAC4
-C350C,-C3649,-C34DD
-ABB92,-ABBFE,-ABCB8
-C3549,-C3643,-C378D
-ABE24,-ABE48,-ABC6B
-C36C7,-C3646,-C3914
-ABBE7,-ABE74,-ABCBE
-C37E0,-C3721,-C350A
-ABBB3,-ABD56,-ABDFF
-C3893,-C3634,-C3862
-ABD7B,-ABD43,-ABBCD
-C3854,-C370B,-C372C
-ABC7A,-ABA9A,-ABBB7
-C3659,-C33B4,-C347B
