{'CALIB_RAW_DAC_START_I': 950272, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-7FFFD,-800CA,-8007A
-979D2,-979F2,-97A97
-7FFB8,-7FF70,-7FE63
-979A6,-97C83,-97979
-7FE65,-8008B,-7FF37
-97A3E,-97B57,-97A1E
-7FFBE,-80004,-7FF2E
-97A12,-97A41,-97961
-7FFF9,-7FFE0,-7FFAB
-9787A,-97AA7,-97B53
-7FF9C,-800CB,-7FF4F
-97952,-97A32,-97A22
-800BE,-7FEED,-800EA
-97994,-979A0,-97AD6
-7FFF6,-800E3,-80097
-97A74,-9798E,-97ACA
-7FE94,-80050,-8010C
-979E4,-97C20,-97A8F
-7FF12,-7FE83,-7FFC4
-97AD4,-97AC4,-97B39
-80026,-7FF8C,-80061
-9793F,-979AE,-977AE
-80238,-7FFFA,-80218
-97B16,-97AD3,-97B88
-801BC,-80202,-7FFAA
-97A96,-97B7B,-97CD1
-801FE,-800BB,-7FFD1
-97A09,-97B05,-97A7D
-7FF25,-80118,-7FFE5
-97BE0,-97A25,-97A1A
-7FF01,-7FF7C,-7FFFC
-97AC9,-97BCB,-979A1
-80087,-8002B,-800D5
-97A25,-97AB3,-97BD6
-7FF5D,-80012,-7FFB9
-9787E,-97815,-979C6
-7FEE3,-7FE76,-7FD73
-9797A,-97B3B,-9797B
-7FF8C,-8005E,-7FDFF
-97C57,-97B44,-97B6D
-80242,-7FFD8,-80045
-97800,-97AA2,-97979
-7FF9F,-7FE40,-7FFBA
-97B26,-979BD,-97B58
-801B2,-8006F,-8002C
-97BBA,-97B38,-97A15
-7FF6C,-7FFE9,-80037
-97B19,-979AE,-97AB3
-8006F,-7FFFE,-7FF24
-97A1F,-979C7,-979EA
-7FFD1,-7FDC4,-80030
-97942,-97A3D,-97BEC
-80007,-7FE0E,-7FC62
-978A3,-97825,-97829
-8094D,-80924,-80A47
-977E9,-974CE,-97697
-7FC8F,-7FB95,-7FADB
-97430,-97647,-97507
-7FB54,-7FD31,-7FBF8
-97454,-97579,-9757D
-7FB19,-7FB09,-7F8C7
-975FB,-974FB,-97669
-7F9EB,-7FA8E,-7FAEA
-97596,-9755D,-9762A
-7FBBE,-7FB76,-7FAFE
-97550,-975C5,-97454
-7FB8C,-7FB05,-7FB0D
-9763B,-9767D,-97582
-7FA46,-7FACC,-7FD11
-9746B,-97515,-975C9
-7F87B,-7FABF,-7F827
-97589,-973E2,-97557
-7F97B,-7FA33,-7FAC1
-9753A,-9760B,-974C8
-7FBC2,-7FAE1,-7F9DF
-9733A,-9742F,-9740E
-7F99C,-7FAA9,-7F965
-97590,-97405,-975A8
-7FA7F,-7F8F0,-7F9E4
-9766B,-973B1,-974A9
-7FCAF,-7FAAD,-7FA11
-973EE,-97607,-97325
-7F82C,-7F8FE,-7F8E6
-972C4,-972E7,-97435
-7F85E,-7FAE6,-7FAFA
-975A1,-97404,-97503
-7FB34,-7FB82,-7FA05
-976C2,-974F1,-97457
-7FC6D,-7FD60,-7FB0B
-974DC,-975D0,-97773
-7FC4D,-7FB52,-7FB3C
-975BB,-975E1,-97599
-7FC9C,-7FA63,-7FB03
-973BD,-975F8,-977BE
-7FA4A,-7FABF,-7FC1F
-977EA,-974E5,-97716
-7F9D0,-7FA06,-7F9E8
-975BB,-972F4,-97464
-7FB01,-7FA4B,-7FAEB
-976BD,-974F8,-9755D
-7F8DE,-7F896,-7F7D5
-97462,-97280,-97451
-7F8EC,-7F93B,-7F929
-9736C,-9751B,-97465
-7F8B0,-7FABF,-7F9E3
-9755F,-97465,-97418
-7F978,-7FA33,-7FA4D
-97371,-972F7,-974BC
-7FA38,-7F7EC,-7FA97
-973EC,-97515,-974E8
-7F990,-7FAA9,-7F8E0
-9731C,-9740C,-973BB
-7F994,-7FB46,-7F992
-97241,-97653,-97370
-7F7DE,-7F8DC,-7FA4E
-97417,-97689,-97634
-7F9B6,-7FA81,-7FADA
-9735F,-974D4,-97438
-7F81D,-7F89C,-7F558
-973D8,-97376,-97325
-7F84C,-7F7A8,-7F87C
-97267,-972DB,-973E3
-7F7E4,-7F89F,-7F83D
-9729D,-97325,-971FE
-7F832,-7F7E0,-7F5DF
-972DD,-9716A,-971D8
-7F7DB,-7F8D7,-7F709
-9729E,-972EB,-97209
-7F6E8,-7F763,-7F782
-97214,-9721A,-9731A
-7F602,-7F90E,-7F6B7
-972D9,-9716B,-971A8
-7F933,-7F887,-7F863
-9729B,-971F9,-971BC
-7F62E,-7F5A3,-7F611
-97329,-97343,-97223
-7F791,-7F6B1,-7F8A4
-973C2,-97439,-972C8
-7F6B5,-7F3E5,-7F7AF
-971CE,-97250,-9729C
-7F8A3,-7F8CC,-7F776
-9711E,-971D6,-97372
-7F66B,-7F64E,-7F687
-972B9,-970F3,-97105
-7F7C2,-7F82F,-7F806
-972A7,-96F48,-97137
-7F5C8,-7F716,-7F783
-9705D,-97031,-972A7
-7F6AB,-7F702,-7F5AE
-97223,-9715B,-9729D
-7F9BA,-7F827,-7F908
-97316,-972B0,-9719E
-7F6E7,-7F794,-7F690
-97323,-972FC,-97382
-7F800,-7F7DC,-7F830
-971A7,-97263,-9722F
-7F714,-7F8EE,-7F84D
-97312,-972CB,-972DE
-7F72B,-7F814,-7F8F6
-9720A,-9742A,-9722D
-7F850,-7F638,-7F8F2
-971C0,-9709A,-9711E
-7F805,-7F7D2,-7F854
-971F3,-970F1,-97349
-7F7D4,-7F8B2,-7F71B
-970DB,-970E7,-97270
-7F89B,-7F6BE,-7F48B
-971CF,-9740F,-97280
-7F7FF,-7F799,-7F748
-97151,-97240,-970F6
-7F783,-7F82F,-7F73C
-97293,-97234,-9723F
-7F4DA,-7F6D3,-7F706
-972BB,-972A0,-971F0
-7F7F1,-7F637,-7F7D0
-970FD,-971FF,-970A5
-7F6CA,-7F5C6,-7F788
-9727D,-97103,-9720D
-7F762,-7F67A,-7F7AF
-97025,-972A3,-9709E
-7F666,-7F74E,-7F6CF
-96FCA,-9700C,-97152
-8072A,-8074B,-8079E
-97209,-97313,-97260
-7F6FD,-7F886,-7F742
-97318,-973A9,-97171
-7F88E,-7F815,-7F8D5
-9735B,-97325,-972AC
-7F657,-7F831,-7F88F
-971CB,-97236,-97245
-7F7D5,-7F866,-7F7FB
-97213,-971ED,-972BB
-7F9C8,-7FA0F,-7F797
-97383,-97276,-97366
-7F85C,-7F7F8,-7F7ED
-97415,-97193,-97310
-7F83F,-7F67E,-7F77E
-972D9,-97347,-97356
-7F7BC,-7F66B,-7F862
-9719B,-971AC,-9714F
-7F948,-7F85F,-7F822
-9716A,-9715B,-97366
-7F798,-7F784,-7F5EA
-9727F,-9710B,-97137
-7F803,-7F7D3,-7F851
-9723E,-97070,-9737D
-7FA1D,-7F835,-7F6EC
-9712C,-97155,-9720B
-7F899,-7F7C7,-7F74D
-971C9,-97268,-971FD
-7F6AB,-7F5B9,-7F6FC
-96FD1,-97207,-97114
-7F692,-7F7BA,-7F848
-971B9,-97373,-970FA
-7FB26,-7F913,-7FA02
-97241,-973BB,-973BB
-7F94D,-7F7D8,-7F981
-972AD,-97518,-97374
-7F8B0,-7F977,-7F924
-972AA,-9725C,-9729B
-7F77E,-7F7D6,-7F844
-971E9,-972C4,-971F5
-7F715,-7F651,-7F85A
-97250,-97397,-9721E
-7F6EE,-7F898,-7F731
-9735B,-9735F,-973CD
-7F894,-7F80E,-7F6D3
-9724B,-972CF,-9723A
-7F822,-7F7B2,-7F8C7
-97323,-9718E,-972D2
-7F7B6,-7F76A,-7F7E6
-9732C,-9719D,-973E9
-7F8B0,-7F93C,-7F818
-973ED,-972B4,-97340
-7F4FE,-7F6CD,-7F507
-970B2,-97170,-9705A
-7F7E3,-7F539,-7F82B
-972CD,-97062,-97122
-7F6EA,-7F8AF,-7F79D
-970F8,-9714F,-97198
-7F6B8,-7F7EE,-7FA00
-97219,-971FB,-97360
-7F6E2,-7F6F6,-7F719
-97133,-97103,-97262
-7F811,-7F5E7,-7F541
-97067,-9715D,-97226
-7F490,-7F403,-7F1BF
-970AF,-96D79,-96D49
-7F422,-7F4B7,-7F5A7
-96FDE,-96F74,-970D1
-7F6FD,-7F434,-7F61D
-972BA,-970DE,-97214
-7F479,-7F588,-7F4D8
-96F6D,-96E00,-96FAC
-7F472,-7F54D,-7F3D8
-96ECA,-96F44,-96D88
-7F492,-7F537,-7F40F
-96F9A,-96F10,-96F31
-7F55A,-7F329,-7F496
-96E52,-96FAE,-96E53
-7F388,-7F20E,-7F4FD
-96E2A,-96E98,-96E5F
-7F3D9,-7F1FA,-7F3DC
-96E4B,-96EF3,-9705E
-7F4B4,-7F474,-7F38D
-96F22,-96F77,-96E64
-7F3D7,-7F4E3,-7F44D
-96F86,-96E3C,-96E9B
-7F57E,-7F41B,-7F486
-96F5A,-96EAC,-96FA8
-7F381,-7F43E,-7F2DF
-96C5A,-96E2D,-96DAA
-7F5AC,-7F3FA,-7F3EA
-96E49,-96ECD,-96ED7
-7F428,-7F2DC,-7F23E
-96F0E,-96E05,-96E5B
-7F3D5,-7F3DE,-7F43C
-96D44,-96E36,-96D4A
-7F612,-7F682,-7F517
