{'CALIB_RAW_DAC_START_I': 393216, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
81233,811F1,8116F
697CD,697AF,6986C
811DA,81266,81269
698E1,6975D,697AD
81217,8141F,81325
69788,69866,6975B
812EC,81342,81477
69B0C,696D0,699BC
8132C,81396,8122F
698E3,697BC,6983B
8135D,81354,814AC
699AC,69738,69845
812E7,813EE,8138A
6995F,69928,69947
813AA,81409,812F6
69985,69799,697CA
811DE,812DB,81333
69B3B,699DA,6984F
811E5,81194,81405
697B1,696AA,69735
81359,81200,81394
698CF,69A15,6974C
81495,813FC,813CA
6985D,69BD9,69AFD
816D6,815C4,814D8
69D1D,69BCC,69B12
8145F,8167B,81579
69C02,69C41,69BD0
813DB,81454,8154B
69B7C,69BBB,69AE6
813B1,81580,812A8
69B32,69A30,69AA1
814C5,81573,815C5
69B71,69AFE,69B4C
816CE,81649,8154D
69B43,699E5,69B22
81626,81632,817EC
699B1,69C59,69A94
81437,814F5,814CC
69B8C,69B1A,69964
816A4,81442,8146D
69A86,69AF5,69A6C
814A0,8148F,815A4
69D0C,69A5C,69A47
81694,81452,815BE
697AA,699D3,69A4E
81631,816D5,81531
69A50,69A66,69B11
81769,8156D,8176F
69C20,69B3B,69BF8
81784,8143A,81830
69BC4,69B18,69AFB
81679,8152E,81455
69A42,69AEB,69BD5
805BF,8057A,80544
69A1E,69BB3,699CF
815FC,813F4,8157C
69AA1,69C21,69AA8
813A6,8163A,816AC
69B67,69A92,69C2C
81649,81650,81729
69C6D,69C5B,69BB2
816AE,816A5,81688
69BFD,69C8E,69B91
817C4,815B0,81652
69C17,69C57,69BD9
81758,816FE,816C5
69A20,69C14,69B14
81820,8168D,81714
69DF2,69C8E,69C50
81690,8180F,81855
69E63,69D95,69D16
817FD,8160E,817BD
69DB9,69D37,69D55
8181C,818E1,81A33
69FF2,6A06F,69E56
816F8,8188F,818A2
69DD8,69E23,69D91
817CA,81928,81990
69E72,69EBB,69FD5
81715,81761,81596
69D71,69C8B,69E0F
81875,81891,819B5
69D96,69AC2,69E54
81776,81817,817F3
69DE8,69D07,69E4C
81704,818D1,818AE
69D48,69FFB,69E67
819B3,819A6,8187A
6A057,6A13E,6A0B3
818BF,81ADF,818FB
6A056,69F65,6A0D0
81819,819CB,81817
69F26,69E5F,6A07D
81A0C,81A19,81C14
69E85,6A0A7,6A092
818C5,81BC3,81AFC
69FBB,69F65,6A02F
81A1F,81B32,81A73
6A06F,6A00A,69EBD
81AB6,819DB,81995
6A02E,69FF9,69FD0
81C5B,81BE6,81CBF
6A0E9,6A189,69FA0
81B47,81A60,81A51
69F9B,6A12E,6A149
81B0A,81C99,81C10
6A0E0,6A008,6A0A3
81BA1,81C32,81D64
6A02C,6A139,6A025
81C3C,81C34,81B87
6A0CF,6A0DA,6A247
819F7,81C55,81AD3
69F4E,6A092,69DF2
81ADA,81B00,81A5B
6A25E,6A208,6A194
81BD9,81D77,81CD4
6A175,6A34C,6A412
81CC8,81D45,81CC8
69DA3,69EFA,69DFC
819F9,818BC,819F9
69D36,69E40,69E55
818E4,81952,818EF
69ECE,6A09D,69EAB
818AD,81B3B,81A73
69FE0,69F57,6A10C
81B38,818D5,819B5
69FA0,69ECC,69E3F
818A6,819BD,8192A
69E12,69FBC,6A103
819A3,818B7,81A19
69F8E,69F49,69FD6
819BD,81A02,819EF
6A213,6A125,6A170
81C85,81D0B,81A7B
69FBD,69F9F,69F30
81B2A,81CD9,81B14
6A112,69FC1,6A16E
81C87,81BCE,81AF7
6A02C,6A1C8,69EE7
81B21,81BD3,81B95
6A0A4,6A097,6A052
819E5,81B97,81A9B
6A087,6A3D7,6A176
81CC4,81BBA,81ADA
6A230,6A13D,69F9C
81B25,81CAF,81BAE
6A0B9,6A0CF,6A124
81DBE,81C91,81D0A
6A2F4,6A2C8,6A231
81A09,81C3F,81BDC
6A42C,6A177,6A116
81C36,81B02,81AFD
6A27D,6A1BE,6A1E2
81DC8,81C93,81BE2
6A183,69FD4,6A415
81BC2,81E19,81EFD
6A363,6A512,6A4D9
8207C,81D3B,81E8C
6A4D7,6A453,6A499
81CB1,81DDA,81F1F
6A385,6A245,6A29F
81D8B,81FAF,81E88
6A229,6A30C,6A386
81D0D,81E76,81D98
6A540,6A2C5,6A340
82145,81E50,81FCA
6A35D,6A30E,6A34C
81E43,8206A,81DF2
6A34E,6A4B0,6A24A
81F13,81E07,81E61
6A265,6A44C,6A1BD
81DF3,81C87,81E56
6A3AB,6A4B9,6A2B5
81CB4,81C63,81C2B
6A273,6A2A0,6A3FE
81D26,81D41,81D81
6A33E,6A3DE,6A433
81D3E,81D26,81C07
6A25C,6A479,6A41F
81E2E,8206D,81EBC
6A29C,6A453,6A320
82931,82C6E,82A3A
66E9B,66D0F,66E12
7E920,7E824,7E768
66F82,66BEC,66F2B
7E7D2,7E8A9,7E991
66D8A,66D95,66E5B
7E9A6,7E7D7,7E6E4
66D04,66C5C,66DB2
7E816,7E71A,7E724
66CE4,66EE1,66DAB
7E6E5,7E79C,7E862
66DB7,66ACA,66E32
7E80D,7E8A6,7E7CB
66D81,66DA3,66E1C
7E863,7E867,7E82F
66F4D,66CCE,66DDF
7EACF,7E9ED,7EA04
66EB2,66E9B,66EE2
7E971,7EA04,7E858
