{'CALIB_RAW_DAC_START_I': 655360, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
ACBE8,AC85E,AC9DB
C3FF8,C3EC2,C3F31
AC4CE,AC3E8,AC2CB
C3FE1,C3F2D,C3E28
AC955,AC877,AC648
C3FF9,C40B0,C4086
AC553,AC573,AC592
C409F,C4045,C41A9
AC634,AC788,AC631
C4045,C4212,C4077
AC621,AC623,AC61A
C4122,C411D,C3F1D
AC6EC,AC984,AC6E3
C4138,C3EA6,C41FF
AC7D3,AC6C1,AC6C1
C3F8F,C4067,C417E
AC657,AC71D,AC5C8
C413C,C41A7,C3F62
AC74E,AC693,AC6C5
C4114,C415A,C3ECC
AC573,AC622,AC5D3
C4089,C4098,C416E
AC673,AC563,AC5B7
C40BE,C4189,C3F92
AC5E0,AC423,AC496
C3F5F,C3FFF,C3E55
AC6A6,AC617,AC5A6
C3FCD,C423B,C3FD1
AC60A,AC5A4,AC65C
C3F4E,C4106,C3E9C
AC43D,AC4CA,AC558
C41B0,C3F6F,C411A
AC478,AC4EC,AC601
C3F63,C3F0F,C4090
AC520,AC38F,AC3B6
C3D5E,C3E7C,C3F49
AC17E,AC20F,AC27F
C3BF1,C3B39,C3A78
AC04C,AC174,AC2ED
C3B25,C3A9A,C3A37
ABF7C,ABEBF,ABEF7
C3BF9,C3AFF,C3C2D
AC18B,AC1D8,AC1FE
C3BC5,C3C9E,C3A97
AC0D8,AC0AE,ABFC1
C3ADC,C3B83,C3AE0
AC064,AC17F,AC19D
C3B1A,C3D17,C3BA0
AC18E,AC0AE,AC2E4
C3BFA,C3D0C,C3C7E
AC1A8,ABF43,AC0F1
C3C2B,C3C0F,C3C32
ABFCF,ABF86,AC084
C3B2B,C3C40,C3A2D
AC086,AC12A,AC0CE
C3B00,C3A88,C3DE6
AC1DD,AC23B,AC33C
C399E,C3B2A,C3A11
AC000,ABFDA,AC026
C3B43,C39D4,C3A7C
ABDAC,AC0B1,ABF51
C39AD,C3856,C3A6E
ABF0D,AC194,ABFD9
C3C9C,C3AC4,C39D6
AC047,AC01C,ABFD4
C38A8,C3A14,C3B7D
ABF5C,ABEE2,ABF6B
C3D31,C3BD1,C3A0C
AC2E7,AC161,AC104
C3D8A,C3D21,C3CAA
AC215,AC1E9,AC12C
C3C39,C3B75,C3D39
AC0AC,AC261,AC1C4
C3C8D,C3D60,C3CEB
AC0FE,AC12D,AC08A
C3D7E,C3EC0,C3E0C
AC2D9,AC1EA,AC09B
C3C1B,C3C0D,C3AED
ABFEC,AC02B,AC1DE
C3B92,C3BA0,C3BB4
AC1CF,AC047,AC0E5
