{'CALIB_RAW_DAC_START_I': 819200, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-7C2EB,-7C3BC,-7C521
-6495C,-64A91,-64945
-7C1A4,-7C336,-7C421
-64A08,-6498D,-64A0F
-7C5AD,-7C4E6,-7C5D5
-64B6A,-64C27,-64C18
-7C4EE,-7C5E0,-7C419
-64ACB,-649FC,-64B88
-7C581,-7C439,-7C4CB
-64B95,-64ADB,-64B34
-7C632,-7C599,-7C3F5
-649F4,-64A8E,-649A8
-7C3E2,-7C578,-7C564
-64AB5,-64A6E,-64A91
-7C465,-7C520,-7C42A
-64A40,-6484E,-64993
-7C529,-7C40E,-7C29E
-64A63,-64A29,-647A1
-7C39B,-7C27F,-7C2BE
-64810,-6488C,-6462E
-7C3DB,-7C3BC,-7C4EC
-64A2D,-648CD,-649A8
-7C1E9,-7C204,-7C2BA
-648F7,-6461E,-6494E
-7C360,-7C3AE,-7C3B4
-64834,-6463B,-648A4
-7C1E4,-7C41A,-7C263
-64750,-648D7,-64729
-7C2AA,-7C39D,-7C15E
-6484D,-646D5,-649B5
-7C225,-7C281,-7C177
-647FA,-647C5,-647ED
-7C2C6,-7C2BF,-7C1ED
-64804,-64729,-6481D
-7C21C,-7C486,-7C2C4
-647DF,-646D2,-646F9
-7C15D,-7C040,-7C0B4
-6461C,-6469D,-6474B
-7C170,-7C0C7,-7C35D
-64775,-64895,-64708
-7C06F,-7C1A8,-7C159
-646C2,-646B5,-64659
-7C16C,-7C34B,-7C0BC
-646EC,-64740,-648AC
-7C0F3,-7C260,-7BE7C
-6460C,-6468E,-646A8
-7C0E5,-7C0F5,-7BF5A
-647A4,-6453E,-646B1
-7C124,-7C29D,-7C1A2
-645E8,-64714,-64591
-7C1B2,-7C230,-7C03B
-64434,-64412,-6452D
-7C307,-7C04E,-7C111
-64769,-6467F,-6457F
-7C00A,-7BE86,-7C0A5
-6452C,-6448D,-64770
-7C039,-7BF87,-7C059
-64682,-645BC,-64671
-7C0B6,-7BEBA,-7BEEE
-646AA,-645F4,-645EC
-7BEB7,-7C0DB,-7BFD4
-646EA,-64571,-6448C
-7BFC8,-7BFAA,-7BF8F
-64644,-64624,-64486
-7C135,-7BE91,-7C018
-643B4,-64470,-64590
-7BF8D,-7BF9D,-7BF8D
-645B1,-64766,-64559
-7C1A4,-7C216,-7C07A
-64857,-6466E,-648CD
-7BFF7,-7BFC7,-7C228
-647BB,-64647,-64515
-7C106,-7C096,-7BFFC
-64639,-6465F,-64474
-7BFED,-7C157,-7C0F0
-64470,-644F5,-64644
-7C19B,-7C150,-7C11F
-646D9,-646F2,-647B2
-7C09A,-7C1D5,-7C1A9
-6460F,-6457E,-643E7
-7C081,-7C18C,-7C1A8
-6462A,-645B2,-646EF
-7BE3F,-7C2C4,-7C1C6
-645DC,-64704,-644E9
-7C0A1,-7C12A,-7C249
-64806,-64753,-645A9
-7C0E9,-7C3AE,-7C322
-646EB,-6473B,-6479F
-7C0FB,-7C227,-7C2E0
-64871,-64904,-646E4
-7C290,-7C1E5,-7C173
-6470B,-646F5,-646CC
-7C127,-7C39D,-7C13F
-6483D,-646B2,-645B9
-7C00D,-7C15C,-7C111
-645C9,-64528,-645D7
-7C126,-7C0D4,-7C09D
-6470A,-646E0,-6452D
-7BF3F,-7C0FF,-7C119
-64D8D,-64FF8,-65042
-7BDBA,-7BC38,-7BDCA
-64202,-64499,-642CB
-7BD25,-7BE7C,-7BD5E
-642A2,-64141,-6414B
-7BE0D,-7BCB8,-7BE47
-6434C,-64277,-6440A
-7BA86,-7BCE7,-7BC4F
-641CF,-64065,-64140
-7BB37,-7BAEA,-7BBC3
-64035,-6429F,-641F5
-7BDAD,-7BCCE,-7BA8C
-641EA,-64321,-64150
-7BC0F,-7BC7F,-7BA95
-641E5,-64121,-641AA
-7BAA6,-7BB71,-7BBB3
-64164,-64033,-63E57
-7BC0D,-7BCE8,-7BD75
-64190,-64183,-63FD6
-7BB6A,-7BB25,-7BC38
-63E6C,-63F80,-641D9
-7BB2E,-7BDA9,-7BAC5
-64057,-64051,-64178
-7BC24,-7BB04,-7BAB1
-63FFF,-641C8,-64241
-7BB24,-7BCAC,-7BA62
-64251,-63F6E,-6402B
-7B9BA,-7B991,-7BB54
-640CA,-6413F,-640C6
-7BA2B,-7BA9F,-7BA85
-6400B,-63F94,-641C4
-7BAE6,-7B9E9,-7BADE
-64113,-64131,-640BC
-7BCCF,-7BDA9,-7BB41
-64123,-6414E,-6407B
-7BD3A,-7BA99,-7BC1B
-642C2,-6425C,-64244
-7BBE5,-7BB8D,-7BCA7
-641E3,-6416B,-64156
-7BE51,-7BBDD,-7BCB6
-64348,-641B9,-6412D
-7BB63,-7BBF5,-7BC7C
-641CE,-641E5,-640D6
-7BA99,-7BCCF,-7BC94
-64302,-64115,-64327
-7BB9A,-7BC77,-7BC19
-63F42,-640A4,-64309
-7BB27,-7BBC4,-7BB31
-64058,-63F80,-6409A
-7BD53,-7BB5B,-7BCC3
-643C6,-641CA,-64296
-7BD8D,-7BC96,-7BB7D
-64227,-64276,-64259
-7BD82,-7BCDF,-7BE75
-641D5,-641BD,-642CC
-7BB37,-7BB71,-7BB3A
-6415A,-641DF,-63F8E
-7BAA4,-7BCA1,-7BC39
-641BA,-6412E,-64102
-7BAE7,-7BBCD,-7BB52
-641A6,-63F7E,-64051
-7BBC3,-7BBE6,-7BBCA
-64273,-6414C,-6425B
-7B9C0,-7BAD0,-7BA90
-63F21,-63EAB,-63FB8
-7BAA3,-7B8E8,-7BAF8
-63FAE,-63DCB,-63D2B
-7B97D,-7BB00,-7BC04
-63FF6,-63E6A,-64019
-7B97F,-7BA21,-7BA39
-63D88,-63DA9,-63CF7
-7B987,-7B9AF,-7B820
-63F13,-63EEC,-63FDC
-7BA7D,-7BAF6,-7BA35
-64022,-63FD6,-63EE1
-7BB4F,-7B9F4,-7BAB6
-64168,-63F16,-63EA0
-7BAD7,-7B9BC,-7B86F
-63EB9,-63E6E,-63E9F
-7B933,-7BA30,-7B936
-63EF6,-63F2D,-63FAB
-7BB5C,-7BA49,-7BB82
-63F80,-63EEF,-63F72
-7B9A7,-7BBDA,-7B9A6
-63E37,-63F60,-6403E
-7B894,-7B9F9,-7B8CB
-63EFB,-64191,-63FE2
-7B7C0,-7B925,-7B941
-64055,-63F55,-63E65
-7B88B,-7B886,-7B9C7
-63F2F,-63E4D,-63DBB
-7BA40,-7B955,-7B84C
-64060,-63EFC,-63F65
-7B995,-7B7D4,-7B8F0
-63F63,-63EB8,-63F2F
-7B9B0,-7B995,-7B87B
-6404A,-63E99,-64179
-7B965,-7BA01,-7BA6C
-63F5F,-63FCD,-63F3B
-7BAE2,-7B9C4,-7BC77
-6411F,-63F67,-63E81
-7B977,-7BB69,-7B8E9
-63F74,-64091,-640D2
-7BAEA,-7BB56,-7BC06
-64005,-64080,-6414B
-7BAE9,-7BB04,-7B984
-63E04,-63FAD,-63CAF
-7BA86,-7B9E9,-7BA4E
-63E74,-63E90,-63FC9
-7BA84,-7B990,-7B9AD
-63EFE,-63F2F,-64151
-7BA92,-7B9DB,-7B967
-640DB,-63D65,-63E04
-7BB45,-7B91D,-7BAE3
-63FC1,-63EF7,-63F44
-7BB4E,-7BB7A,-7BD6F
-63F73,-63FEA,-63F5F
-7BA5F,-7BA4A,-7BA67
-63E96,-63FDF,-63FD2
-7B8C4,-7BA92,-7BAB4
-64114,-64111,-64088
-7BA4D,-7BA36,-7BA1A
-63F7D,-63E5B,-63EB7
-7B96D,-7BA00,-7B9A8
-63E73,-63F5A,-6400F
-7B950,-7B8A3,-7B8BC
-63F8D,-63F78,-63DA9
-7BA12,-7BA2D,-7BB15
-6522C,-6533B,-651B3
-7BC58,-7BBAE,-7BC41
-643BB,-64112,-6415C
-7BAAB,-7BA06,-7BA7D
-63E34,-63F61,-6403A
-7B8ED,-7BB8F,-7BA4C
-640CD,-63EA0,-63F5F
-7BAC7,-7BB0D,-7BAB8
-64245,-640F3,-64088
-7BA83,-7BBE7,-7B9DC
-64094,-64091,-63F5D
-7BC4C,-7BBED,-7BAFF
-64076,-63FEB,-64095
-7BA50,-7BB2F,-7B94E
-63FE7,-64013,-63F12
-7B9FB,-7BA09,-7B909
-63F06,-63EA1,-63E87
-7BAD0,-7BCAB,-7BC1F
-640B3,-64057,-640DD
-7BB92,-7BCBF,-7BB2E
-643B2,-64211,-640EA
-7BAB9,-7BA60,-7BC41
-64238,-64019,-64134
-7BBF5,-7BB56,-7BA4E
-6412C,-6414A,-64173
-7BADE,-7BB33,-7BC3B
-64041,-642A8,-64059
-7BAFA,-7BAB0,-7BA97
-63F91,-64154,-63EFC
