{'CALIB_RAW_DAC_START_I': 720896, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-5BA64,-5B87A,-5B7D1
-43EB7,-43E3D,-43E1C
-5B897,-5B92F,-5B944
-43D06,-43CD0,-43DC4
-5B7B3,-5B85B,-5B6AA
-43D0D,-43EF0,-43B56
-5B8BE,-5B9BC,-5B7F3
-43D15,-43E58,-43DEA
-5B777,-5B994,-5B73E
-43C2F,-43DD2,-43D92
-5B82F,-5B898,-5B7CB
-43C7E,-43C32,-43D41
-5B875,-5B947,-5B7EC
-43BBE,-43BB6,-43B8C
-5B881,-5B625,-5B770
-43B7D,-43B67,-43B7B
-5B5ED,-5B5D9,-5B6F7
-43CC8,-43C14,-43BBE
-5B730,-5B6CC,-5B6E0
-43C43,-43AB9,-43BDE
-5B63A,-5B463,-5B676
-43B96,-43A92,-43B16
-5B626,-5B4D1,-5B373
-439E1,-43B8D,-43B80
-5B4EC,-5B63A,-5B5FF
-43D9E,-43B77,-43B2A
-5B56E,-5B552,-5B69B
-43A4F,-439BC,-43BB0
-5B474,-5B5E8,-5B67C
-43BBA,-439CB,-43AB2
-5B995,-5B7E7,-5B8F3
-43F17,-43D45,-43DEF
-5B708,-5B87A,-5B7BC
-43BBB,-43C80,-43DE3
-5B7F9,-5B96D,-5B859
-43CAC,-43CC3,-43E48
-5B9AE,-5B91A,-5B892
-43C6D,-43E12,-43C2B
-5B809,-5B8A1,-5B74C
-43E48,-43E67,-43F46
-5B98C,-5B89A,-5B90C
-43D60,-43E5D,-43D8B
-5B69D,-5B930,-5B96E
-43E6E,-43F0E,-43D43
-5B8B1,-5B915,-5B86A
-43C10,-43CA8,-43E3E
-5B69D,-5B7DC,-5B7B1
-43C7E,-43FCB,-43E93
-5B890,-5B627,-5B7D8
-43D07,-43BFD,-43E3B
-5B789,-5B904,-5B797
-43C5B,-43E24,-43B36
-5B75C,-5B680,-5B790
-43E9D,-43D89,-43EE0
-5B7AF,-5B6B0,-5B901
-43D9E,-43BF0,-43CE0
-5B6B2,-5B8C3,-5B602
-43C26,-43D35,-43E32
-5B8B2,-5B845,-5B7E1
-43E79,-43C57,-43BB5
-5B61F,-5B58E,-5B54F
-43A80,-43B5C,-43C73
-5B561,-5B67A,-5B5CB
-43C02,-43E2D,-43BF2
-5B4D5,-5B589,-5B564
-43C7A,-43C5C,-43B27
-5B431,-5B70C,-5B723
-43A88,-43966,-43B35
-5B459,-5B5D7,-5B616
-43AB0,-439E2,-43A12
-5B5B8,-5B505,-5B767
-43C93,-43A69,-438CA
-5B3FB,-5B48B,-5B5C5
-43A34,-439FC,-43A12
-5B5A6,-5B4A7,-5B486
-43C9C,-43B89,-43B87
-5B5AC,-5B4DA,-5B563
-439CA,-43853,-439CE
-5B406,-5B500,-5B4C9
-43AC2,-43B31,-438CE
-5B3A3,-5B55D,-5B3D3
-43830,-439A6,-4388D
-5B489,-5B4AC,-5B365
-43907,-43854,-437C6
-5B49D,-5B478,-5B209
-4378B,-43735,-4388A
-5B17C,-5B4D0,-5B31C
-43906,-437F9,-43779
-5B2BC,-5B23E,-5B48C
-4390D,-43890,-43851
-5B2B9,-5B2C6,-5B343
-4387B,-43664,-436B0
-5B3E6,-5B269,-5B257
-45514,-4546F,-45462
-5B2B5,-5B4AB,-5B21A
-437B2,-438F5,-43767
-5B1CF,-5B17A,-5B331
-435F4,-43751,-43809
-5B1A7,-5B1C8,-5B110
-436A1,-438D9,-43959
-5B141,-5B04A,-5B237
-43490,-434B3,-43878
-5B299,-5B18D,-5B245
-4384D,-436E3,-436ED
-5B12C,-5B0DC,-5B0C8
-436AD,-4358E,-434DA
-5B1E5,-5B282,-5B10A
-435AF,-43649,-435EE
-5B09C,-5B15B,-5B146
-4365B,-433BB,-43585
-5B008,-5B072,-5B171
-4340D,-43641,-437DB
-5B03C,-5B29D,-5AFD1
-43584,-434E9,-436EE
-5B07F,-5B0EA,-5B1EE
-43672,-43478,-43647
-5B13E,-5B0F5,-5B1C2
-43571,-43618,-43520
-5B260,-5B1BA,-5B132
-436CF,-43688,-435BA
-5AF14,-5AED2,-5B0EF
-435CC,-434A2,-435A3
