{'CALIB_RAW_DAC_START_I': 131072, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-19D9F8,-19DA5B,-19DAB3
-1860E1,-185FA5,-185F4B
-19D94A,-19DD00,-19DA75
-185FCA,-18605D,-185E05
-19DB7E,-19D9B3,-19D91A
-186003,-185F95,-18600E
-19DACA,-19DA97,-19DA89
-185F79,-185EB5,-185FF6
-19DB0A,-19DA25,-19DAEA
-186065,-185ED1,-185F0C
-19DC63,-19DB0F,-19DA20
-185FA8,-185FD1,-18618B
-19D998,-19DAD9,-19DA0A
-1861A2,-1860E9,-18621D
-19DC24,-19DBA3,-19DAB1
-18611A,-186140,-18609F
-19DC56,-19DB5A,-19DAF0
-1861E8,-1861EC,-186207
-19DC10,-19DC72,-19DA2D
-18611A,-1860BC,-18615A
-19DBAC,-19DBA7,-19DD02
-18608C,-1860AE,-18606F
-19DB1A,-19DC43,-19DE57
-1862F4,-185F20,-186035
-19D86B,-19D807,-19D6B9
-185E80,-185EB2,-185E27
-19D713,-19D89B,-19D72F
-185EBD,-185F0D,-18609D
-19D939,-19D8D9,-19DA62
-1860EE,-18601B,-1861D4
-19DAC4,-19D9B2,-19DA75
-185F38,-18609D,-186012
-19DAE2,-19DA57,-19D970
-186078,-1860D1,-185F29
-19DBB9,-19DB17,-19DA82
-18612F,-18615A,-185F2F
-19DBD5,-19DD23,-19DBD5
-1861B2,-186203,-1860C5
-19DB49,-19DB3F,-19DBB3
-185E4F,-185F80,-185EC0
-19DA6B,-19D892,-19D9DB
-1860F7,-185E4C,-186127
-19DCB8,-19DAC0,-19DB60
-185FEE,-18612E,-186118
-19DB77,-19DCDB,-19DBF2
-1861DB,-186100,-1861C3
-19DACC,-19DAD2,-19DCB7
-18603E,-185F86,-185F8A
-19DCB1,-19DA55,-19DB00
-1861D1,-1862F1,-186049
-19DC88,-19DC84,-19D9C3
-186171,-186401,-18633C
-19DC92,-19DC17,-19DB79
-1862BD,-185F86,-186115
-19DAEE,-19DC4C,-19DC71
-186193,-186376,-186395
-19DE4C,-19DF15,-19DF1E
-186471,-1864BB,-186332
-19DED0,-19DE26,-19DE9E
-1862F7,-18610B,-1863E9
-19DDBD,-19DD60,-19DD83
-186395,-1862FA,-186543
-19DD75,-19DF14,-19DE9B
-1863DC,-18635B,-18638D
-19DD0D,-19DEF4,-19DE27
-1864CA,-1863B0,-1863C2
-19DE92,-19DE58,-19DF3C
-18641A,-1865CF,-186652
-19E0B0,-19E0B2,-19E029
-186610,-186579,-1866F6
-19E046,-19E1D1,-19DFC0
-18657E,-186447,-186335
-19E017,-19E05D,-19DEB2
-1866C8,-186682,-18653C
-19E00A,-19E122,-19E182
-186683,-1865F9,-1866B0
-19DE23,-19DFDF,-19E2D8
-186704,-1865E8,-186820
-19E067,-19E0FA,-19E218
-1865D1,-1866F4,-186833
-19E0C9,-19DF3C,-19DF5F
-18657E,-1865E0,-186472
-19E211,-19DFBE,-19E17C
-186797,-1866D0,-1865B6
-19E0D0,-19E181,-19E0CD
-1867AE,-1867D2,-186722
-19E181,-19E13E,-19E233
-186789,-1865C1,-18668E
-19DD94,-19DF14,-19DF46
-186507,-1864E8,-186605
-19DE83,-19DE8E,-19E0CF
-1865B6,-18644E,-1864CA
-19E05E,-19E017,-19DFCC
-186816,-186634,-1865E4
-19DED8,-19DF9F,-19E036
-1866A9,-1866B9,-18643A
-19DFB2,-19DF1D,-19DF83
-1866CE,-18654E,-186580
-19DFEC,-19E086,-19E06C
-186799,-1865DA,-1865F3
-19DF88,-19E3B9,-19E1CD
-18662D,-186903,-186807
-19E0DA,-19DF64,-19E222
-186457,-186425,-186527
-19DFAC,-19E112,-19E0C8
-186835,-1865F9,-186646
-19E2D8,-19E03F,-19DFC7
-18655C,-18670B,-186790
-19E0F6,-19E06F,-19E025
-1866C4,-1868F1,-18670B
-19E095,-19E0DF,-19E0B4
-186601,-186777,-1868FE
-19E1CF,-19E250,-19E24D
-18666F,-18648E,-18659B
-19E2E5,-19E0FE,-19E088
-186625,-18667D,-18660B
-19E08E,-19E220,-19E137
-1866E3,-18664E,-186817
-19E1C1,-19E292,-19E30E
-186E19,-186C36,-186B3B
-19DB27,-19DB96,-19DB39
-186345,-186336,-18622F
-19DB8A,-19DBEF,-19DC82
-1862D4,-18617A,-1862CB
-19DB20,-19DBDE,-19DA7E
-18611E,-18627F,-1862D4
-19DDAA,-19DE09,-19DE1B
-1861EB,-186296,-18635F
-19DDFC,-19DCB0,-19DC03
-186222,-1861FA,-18631D
-19DBB5,-19DC53,-19DDE2
-1862F1,-1861E3,-186448
-19DCC1,-19DE83,-19DDCC
-1863C5,-186220,-1861A2
-19DDD4,-19DE33,-19DEA5
-186213,-1860F3,-18628E
-19DBFD,-19DC23,-19DACA
-1863F7,-1863CF,-186482
-19DD13,-19DADE,-19DD70
-1863CB,-1864F9,-18645C
-19DD94,-19DC95,-19DBA7
-1863A8,-1861EB,-186440
-19DD03,-19DD9F,-19DFA2
-18639D,-186479,-186347
-19DDBB,-19DD66,-19DE41
-18646D,-18638A,-186487
-19DFD2,-19DE42,-19DE32
-1864F6,-1862FF,-186451
-19DF15,-19DE10,-19DFA3
-1863B3,-18643C,-186405
-19DD09,-19DEA1,-19E0D4
-186554,-186538,-1863CC
-19DC2A,-19DBCF,-19DC63
-18626D,-1862DF,-1860C9
-19DC8E,-19DCA6,-19DD96
-186348,-1861E0,-1861AC
-19DE32,-19DCC1,-19DDD9
-186346,-18626B,-1863CA
-19DD40,-19DC9E,-19DDB7
-186264,-186275,-186175
-19DDBE,-19DD36,-19DDD0
-1863C2,-186481,-18641C
-19DF5F,-19DFD4,-19DF70
-1865C9,-186494,-18657C
-19DE90,-19DF53,-19DC05
-186347,-186442,-1864BB
