{'CALIB_RAW_DAC_START_I': 327680, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
A85F4,A86F8,A8693
90BE1,90BC3,90B00
A86BD,A860D,A86ED
90D0B,90D68,90C5F
A8680,A869E,A8740
90A7F,90B83,90DDF
A85D4,A8717,A859F
90C93,90DF7,90CF3
A8696,A87C6,A87C2
90DB1,90D21,90D4E
A868D,A8677,A88FA
90B09,90BEE,90B5A
A8700,A8757,A86A3
90D0C,90DB3,90E2E
A89B8,A8855,A8899
90CCB,90CC7,90D61
A86EA,A8720,A89AD
90DB5,90DB1,90F7C
A8910,A882E,A8829
90936,90B85,908F2
A867B,A84A2,A8603
90A1A,90BCB,90952
A8566,A844F,A86EB
908BA,90A0E,90C13
A85EE,A8679,A8681
90D35,90A0F,90AA8
A83E7,A8648,A86E4
90AC7,90A80,909CF
A8422,A8545,A8582
90C67,90AA3,90D11
A8643,A85BB,A85C1
90AD4,90AD3,90AFF
A8685,A8635,A859E
90B0A,90B25,9096F
A8526,A8603,A858C
90C27,90C57,90B18
A84AC,A85EB,A8536
90F0C,90C22,90D30
A86B1,A8753,A8807
90A27,90C2F,90CDE
A874C,A88A1,A86D3
90CE1,90A60,90C59
A87EE,A87D1,A870F
909DE,90DC8,90BAC
A86EE,A8784,A86EB
90D37,90C7F,90B56
A85B3,A886C,A8681
90CF3,90E64,90DA8
A87A9,A87A5,A881E
90D36,90D09,90C0D
A8643,A857B,A882A
90D55,90E56,90D8F
A87D1,A8810,A8936
90F80,90FDE,90DF1
A87CD,A8917,A89AD
90E31,90EF5,90E9D
A882C,A8A2A,A882E
90FEE,90F6B,910AF
A898D,A892F,A8ABF
90E87,9104A,9101D
A89DF,A8874,A891B
90FBD,90E54,90EFE
A87E5,A86A0,A8864
90E91,90EB2,90D0B
A8A02,A885D,A89C8
90F34,9108F,90F33
A8CBF,A8A32,A898E
910AB,9115A,9101C
A893E,A88B9,A8B32
91052,90E05,90F9F
A8AC1,A8C38,A8A5B
90F7E,91288,91078
A8B33,A8A26,A8AA5
9104F,910D0,911A5
A8A7D,A8B47,A8C69
91136,91159,9120E
A8ACC,A8D17,A8CD7
9110F,91008,90E7C
A8AB6,A8ABF,A89FB
9106B,90F68,91095
A888B,A89E2,A8AA7
90F76,91037,911A5
A7002,A6F6A,A6ECB
9117E,910C8,90F7C
A8DC1,A8C82,A8D36
910EB,911A9,9113C
A8C7B,A8CC4,A8B27
913DA,911F5,912E0
A8C85,A8C92,A8BE7
9128F,91330,9116E
A8C44,A8CEF,A8E4C
91157,91286,91169
A8C1F,A8DB5,A8D6C
9123E,91393,912C4
A8C63,A8CD0,A8D24
90FED,911D6,910C2
A8CB2,A8C4C,A8B6C
913AE,9118B,91017
A8B4E,A8C5F,A8C48
91064,911A5,9122C
A8D1B,A8BD3,A8C97
911C0,912FA,91134
A8C37,A8B87,A8B91
911C9,91267,912FD
A8D20,A8B14,A8D46
912D0,9132C,91252
A8F3A,A8F5B,A8EB9
9135F,91187,91232
A8CE1,A8CE8,A8C09
9135D,911F1,911BB
A8F32,A8E62,A8ECF
9129E,91347,91349
A8D0B,A8C97,A8D1D
91235,91304,913F2
A8CC3,A8D00,A8EEF
914F2,915B5,911D6
A8D99,A8E8D,A8DD9
91478,913B0,913D1
A8E2F,A8DCB,A90DC
914CC,91540,9132B
A8DC7,A8E76,A8E97
91396,91312,9135E
A8D17,A8EF8,A8EA0
914AB,914CC,913CD
A8E9B,A8D79,A8F1E
91568,91524,914B7
A8FDC,A8DDC,A9036
9142F,91506,914E6
A9024,A8F47,A8DBF
91462,9145A,91510
A8F98,A8F6A,A8E5D
91232,9148B,913F4
A8E40,A8E84,A902D
914D1,9142D,914F0
A9022,A9027,A8FF2
9155D,9142E,91642
A8FC9,A8EF4,A8FB7
91565,913BF,914A9
A9029,A9102,A90A3
916CC,915C5,916EC
A9202,A8EA2,A9023
9158A,9155D,914BA
A8F72,A90E1,A90F9
915FE,91642,91724
A912D,A9253,A91D8
917E9,91588,91549
A9012,A90CE,A91BA
913D8,912A4,912E7
A8C60,A8D33,A8C5D
9133E,912E4,9128A
A8D84,A8EB2,A8DBE
911DC,91291,91345
A8CD4,A8BEC,A8C9B
91382,912EA,91218
A8C8F,A8D9A,A8E39
9139F,91329,912F6
A8D56,A8DC9,A8FA9
913B8,91349,9141A
A8E83,A9088,A8F11
91567,91419,915D1
A8EEA,A8E2D,A8E73
9134B,9148B,91523
A8F39,A909F,A8E29
91473,91379,91343
A8E4E,A8E8C,A8FDD
91456,91398,91482
A8E29,A908D,A901B
91550,912D8,91318
A8F13,A8DD9,A8FB8
914A3,912D4,91409
A8EC0,A8E04,A8EAB
915D5,913EB,91463
A8EDC,A8F24,A9000
914C9,912DB,91554
A8F65,A8EB5,A8F70
91403,91496,914B5
A8FD2,A8FEB,A90EC
914D8,9155E,914CD
A8DB0,A8FA1,A903D
9177C,91600,91685
A9050,A909E,A8F78
91653,9165A,914AC
A8F8D,A9081,A8FB2
91583,91506,91365
A8F79,A906A,A8F1A
91536,91549,91654
A9009,A9112,A918F
91535,915B6,914A2
A9025,A910E,A9232
91786,915B0,91493
A900C,A90F1,A8FAF
91610,917BD,9173F
A9221,A933A,A91E6
91829,91879,9182B
A91E9,A9333,A948C
919D2,91904,9189D
A921C,A92B4,A91A1
91865,9187F,9198B
A92D8,A9372,A928F
9197E,9190B,91B8D
A927C,A9222,A9246
91933,918B6,91986
A9391,A941B,A941A
918A8,91869,918AE
