{'CALIB_RAW_DAC_START_I': 1015808, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-8DD09,-8DD1B,-8DBC8
-A5771,-A56DF,-A579E
-8DC7B,-8DAA6,-8DB6A
-A55C4,-A5665,-A56F5
-8DB3B,-8D93F,-8DD00
-A5671,-A5605,-A57EA
-8DC8F,-8DBB6,-8DC02
-A57CA,-A5739,-A5703
-8DA88,-8DC67,-8DB43
-A5516,-A562D,-A544F
-8DC42,-8DC79,-8DC7A
-A5570,-A54DE,-A564B
-8DCDD,-8DC06,-8DB5E
-A5675,-A5656,-A5608
-8DB7E,-8DB7E,-8DB7A
-A5855,-A5806,-A56E8
-8DE49,-8DCFD,-8DBC4
-A56F2,-A58D0,-A5872
-8DD52,-8DC0F,-8DC85
-A5864,-A58C9,-A5788
-8DD7A,-8DD62,-8DD88
-A5801,-A58DF,-A57D2
-8DC88,-8DAD8,-8DB0A
-A55E1,-A569C,-A55F0
-8DB34,-8DE88,-8DBE9
-A585A,-A5792,-A57AB
-8DC68,-8DDBD,-8DD31
-A587A,-A5762,-A5848
-8DE3A,-8DDC8,-8DEFD
-A58F2,-A58BD,-A5806
-8E75D,-8E703,-8E646
-A54BE,-A546B,-A54FD
-8D89D,-8D98B,-8DAD9
-A52E6,-A5435,-A554C
-8D8FA,-8D864,-8DB06
-A51FC,-A54FC,-A54AC
-8D991,-8D899,-8DA7D
-A5350,-A52CE,-A5529
-8D7C8,-8D8A8,-8D83E
-A5370,-A52B0,-A539C
-8D883,-8D878,-8D9D2
-A5298,-A52A1,-A5200
-8D8C6,-8D849,-8D968
-A5260,-A527E,-A52DB
-8D79F,-8D769,-8D80F
-A539F,-A513E,-A52DE
-8D89C,-8D7D0,-8D74B
-A5566,-A51FC,-A5313
-8D8D4,-8D967,-8D89D
-A51F5,-A522A,-A522C
-8D9D6,-8D6BA,-8D758
-A52EF,-A51C7,-A5213
-8D783,-8D75F,-8D81F
-A5335,-A529E,-A516F
-8D75D,-8D702,-8D64B
-A519C,-A513D,-A50F1
-8D6C5,-8D78D,-8D731
-A514D,-A51DA,-A5190
-8D605,-8D875,-8D997
-A511D,-A51B8,-A5089
-8D72C,-8D5D8,-8D704
-A522A,-A509E,-A5156
-8D9C7,-8DA0B,-8D917
-A5408,-A53A5,-A5231
-8D915,-8D8D7,-8D8B1
-A5228,-A5339,-A5369
-8D8F4,-8D7DF,-8DA52
-A5374,-A53F9,-A5274
-8D820,-8DA10,-8D7DF
-A54E7,-A533E,-A523E
-8DB45,-8DA97,-8D993
-A54BB,-A536D,-A53DD
-8D8E9,-8D845,-8DA1E
-A53A6,-A53F3,-A53EB
-8D931,-8D795,-8D853
-A51A7,-A54DB,-A5259
-8D7D7,-8D7C4,-8D989
-A52C9,-A52CB,-A5371
-8D897,-8D976,-8DA06
-A54D1,-A53C0,-A5429
-8DA93,-8D944,-8DAFE
-A5441,-A53F7,-A53CD
-8D87E,-8DA49,-8D815
-A52EC,-A5571,-A51B0
-8DA15,-8D8BE,-8D6E1
-A5292,-A5443,-A51CF
-8D8D4,-8D91F,-8D88B
-A537E,-A5219,-A548F
-8D74A,-8D913,-8D921
-A5473,-A53FF,-A5273
-8D767,-8D83F,-8D7FD
-A51A2,-A512B,-A5208
-8D76E,-8D8E1,-8D79C
-A541F,-A53E5,-A5410
-8D5F7,-8D6C9,-8D551
-A4F75,-A5045,-A52CD
-8D7EE,-8D5E0,-8D76B
-A4FEA,-A5073,-A51DE
-8D768,-8D5C7,-8D64C
-A5322,-A5217,-A5212
-8D748,-8D5E2,-8D581
-A50DE,-A512D,-A5047
-8D687,-8D70B,-8D503
-A4F9D,-A4F73,-A4F27
-8D743,-8D67D,-8D5FC
-A510E,-A50E4,-A50B2
-8D5C2,-8D58A,-8D48B
-A4FCD,-A506F,-A5077
-8D710,-8D7C4,-8D519
-A4F07,-A5068,-A516A
-8D65D,-8D5B9,-8D5A5
-A510B,-A4F0B,-A4FF2
-8D680,-8D4E6,-8D6FE
-A4E00,-A4ECD,-A50D4
-8D89A,-8D7FA,-8D5B8
-A4F8E,-A4F01,-A4E44
-8D320,-8D740,-8D78D
-A5115,-A4EBE,-A4FF3
-8D5DA,-8D431,-8D57A
-A5100,-A5058,-A4FE7
-8D533,-8D5DC,-8D7E0
-A503F,-A4FF6,-A501E
-8D46C,-8D65F,-8D547
-A5137,-A4E1D,-A4FF8
-8D3AD,-8D413,-8D60C
-A5016,-A4F16,-A4FFC
-8D9A7,-8D890,-8D7D2
-A5248,-A51AE,-A50FF
-8D74B,-8D89A,-8D7DA
-A51AF,-A5260,-A4F86
-8D7A5,-8D737,-8D622
-A5148,-A5180,-A5268
