{'CALIB_RAW_DAC_START_I': 950272, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-CCDC9,-CCB9D,-CCE82
-E4689,-E4884,-E479C
-CCCB4,-CCE06,-CCD77
-E47D3,-E464A,-E4866
-CCCE8,-CCD89,-CCCAF
-E47F4,-E489D,-E4972
-CCE3A,-CCDBE,-CCC39
-E44D0,-E4649,-E47A5
-CCCA2,-CCC62,-CCD11
-E480E,-E4827,-E45FD
-CCB9E,-CCAB8,-CC967
-E4572,-E46A8,-E45EC
-CCD0A,-CCCB8,-CCBD0
-E4694,-E47AD,-E46F5
-CCB76,-CCD94,-CCCAB
-E4729,-E479B,-E471C
-CCD77,-CCE62,-CCDA5
-E46F3,-E47C2,-E47F9
-CCE03,-CCDBA,-CCC7C
-E4635,-E467C,-E474D
-CCBC0,-CCB72,-CCD05
-E47EA,-E45F6,-E4789
-CCC6A,-CCACA,-CCDFC
-E4698,-E45FB,-E48BC
-CCC23,-CCDCC,-CCBF3
-E469F,-E4807,-E44AF
-CCBF9,-CCE09,-CCECD
-E4946,-E4955,-E49C6
-CCF65,-CCDB5,-CCFE1
-E4A51,-E498C,-E4AC7
-CCCEA,-CD0BC,-CCEB1
-E49A7,-E4955,-E4967
-CCE95,-CCFF7,-CCE93
-E494A,-E4B20,-E4980
-CCD1C,-CCEDF,-CCD48
-E48E2,-E4542,-E4836
-CCEE0,-CCF2B,-CCED1
-E488A,-E4709,-E4838
-CCF96,-CCF54,-CCCEF
-E48AA,-E4869,-E4509
-CCE5B,-CCE3C,-CCECD
-E48A7,-E4956,-E49D9
-CCD64,-CCE27,-CD05C
-E47AA,-E48DF,-E4A32
-CCFCE,-CCE16,-CCD58
-E4872,-E487B,-E4A5A
-CCE72,-CCF5B,-CCDD2
-E47FD,-E4930,-E47BF
-CCDCB,-CCD16,-CCC86
-E4799,-E4845,-E4865
-CCE6C,-CCE6F,-CCC8B
-E47D5,-E47C9,-E481F
-CCDF9,-CCC50,-CCD73
-E460B,-E472B,-E4761
-CCBD0,-CCB36,-CCBF2
-E481C,-E49D7,-E470B
-CCD6D,-CCCC0,-CCC0B
-E483D,-E482D,-E482A
-CCE3F,-CCCC9,-CCEBD
-E468C,-E4731,-E4755
-CCC77,-CCCE3,-CCB3F
-E46A8,-E45B5,-E4696
-CCAAF,-CCC49,-CCB86
-E46D3,-E450D,-E46A2
-CCBFE,-CCC8E,-CCB1C
-E45BB,-E4441,-E4627
-CCABE,-CCB08,-CC961
-E4695,-E43D2,-E4620
-CCA70,-CCB08,-CCBD8
-E46CF,-E4701,-E4551
-CCB77,-CCB30,-CCA68
-E45C1,-E43F3,-E44B0
-CCBA5,-CCB0C,-CCBC5
-E4363,-E4664,-E4630
-CCB14,-CC94C,-CC8F2
-E44F5,-E4556,-E4502
-CC934,-CC99B,-CC985
-E43BA,-E4226,-E438C
-CCA43,-CC865,-CCA48
-E4568,-E441F,-E432B
-CC9FC,-CC9E2,-CCABC
-E4475,-E462A,-E4604
-CC848,-CC9B5,-CCB5C
-E43D6,-E44CF,-E457E
-CC9AA,-CCB54,-CCC7D
-E43DB,-E45AA,-E44B2
-CCA80,-CC91F,-CCA1D
-E43B6,-E44C4,-E441D
-CC974,-CC8F1,-CC94C
-E43CA,-E41F3,-E4402
-CDA6D,-CD898,-CD915
-E4518,-E430E,-E446A
-CC8E7,-CCADB,-CC9F2
-E4348,-E43EB,-E434D
-CC899,-CC945,-CCA80
-E4371,-E459F,-E44C2
-CC931,-CCAB6,-CC8B2
-E42DC,-E4434,-E44F2
-CC82A,-CC9CE,-CCABE
-E438C,-E44CA,-E42D5
-CCADE,-CCA7B,-CCA7D
-E4422,-E4504,-E42AF
-CC811,-CC8DB,-CC85A
-E4358,-E43D8,-E448A
-CC9F9,-CCA50,-CC8F5
-E4366,-E438A,-E42C0
-CC7D7,-CC7B0,-CC792
-E428F,-E4216,-E43E5
-CC8E7,-CC898,-CCA6D
-E4241,-E4456,-E41BF
-CC77C,-CC6BC,-CC7BC
-E40F5,-E4059,-E4233
-CCA1C,-CC827,-CC7D6
-E4244,-E41CE,-E4478
-CC8B1,-CC772,-CC746
-E4272,-E42B4,-E4254
-CC8D9,-CC743,-CC67F
-E418E,-E4473,-E4248
-CC59A,-CC64E,-CC6F2
-E4158,-E4306,-E4332
-CC8CC,-CC728,-CC726
-E4088,-E4309,-E42E8
-CC82E,-CC688,-CC744
-E3FEF,-E4131,-E416D
-CC63D,-CC73B,-CC6FE
-E4027,-E4276,-E41AB
-CC3CF,-CC7AD,-CC59A
-E3FFA,-E4028,-E4054
-CC59D,-CC610,-CC4D8
-E407D,-E3F3E,-E4156
-CC60D,-CC793,-CC62F
-E3F97,-E3F28,-E3EE3
-CC4DD,-CC276,-CC38F
-E3D9A,-E3F01,-E3FB3
-CC447,-CC421,-CC3E5
-E3FBF,-E3F5E,-E3F96
-CC530,-CC5C3,-CC43B
-E3F91,-E3F8C,-E3E7F
-CC40A,-CC2A4,-CC19D
-E3FE3,-E3FC5,-E3DCC
-CC47E,-CC45C,-CC2F0
-E3E3F,-E3F56,-E3F2C
-CC5A0,-CC3E2,-CC535
-E3F18,-E403D,-E404C
-CC5BE,-CC50C,-CC2FE
-E3E46,-E3FCF,-E3E74
-CC3B2,-CC4C5,-CC306
-E3DFE,-E3F7B,-E3E55
-CC4B9,-CC3EF,-CC3AB
-E3D52,-E3F99,-E3D75
-CC399,-CC2CB,-CC30D
-E3D1D,-E407F,-E3D6D
-CC431,-CC579,-CC3CA
-E3E9C,-E3D8E,-E3D6A
-CC535,-CC505,-CC288
-E4136,-E403F,-E4243
-CC83A,-CC6AB,-CC3CE
-E40CD,-E424C,-E4067
-CC5AD,-CC541,-CC665
-E4081,-E4241,-E3FEF
-CC6AF,-CC6CB,-CC5E2
-E41CB,-E4052,-E3FC6
-CC4F9,-CC3C2,-CC5B5
