{'CALIB_RAW_DAC_START_I': 0, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
13E247,13E1C9,13E0A8
155DEA,155C51,155AE4
13E1D8,13E041,13E2D8
155D61,155B17,155A31
13E209,13E26A,13E16A
155B87,155C42,155C00
13E370,13E08E,13E01C
155EF6,155EA3,155D7E
13E2F3,13E258,13E04D
155BB6,155D72,155BA5
13E0B1,13E36D,13E109
155EAB,155E46,155CBF
13E2B7,13E37F,13E2C7
155C61,155C34,155D0B
13E2DC,13E2D5,13E276
155E4F,155E25,155BAA
13E242,13E2FB,13E2C2
155B4F,1559E3,155C65
13E14A,13E283,13E1EE
155CD7,155DC5,155E48
13E2CA,13E29A,13E253
155D86,155C73,155D30
13E2B2,13E261,13E296
155AB2,155AA9,155A71
13DE10,13DDE3,13DC54
155758,15575C,155742
13DDF8,13DCD6,13DD89
15593A,15578B,155701
13DCAE,13DB9F,13DD6D
1556FF,1558D4,1557F6
13DE35,13DDAD,13DEB7
1558C0,1556F8,155834
13DCF0,13DD01,13DF06
15583A,155865,15583C
13DE23,13DD13,13DCC3
1558A8,15572B,1559F2
13DF47,13DD50,13DD8A
1557C3,15582C,155951
13DDD3,13DD2A,13DD49
15598B,1558D9,15588D
13DD59,13DCBF,13DC05
1556C3,1557F7,155678
13DFC8,13DEF5,13DD79
155A4B,1557AD,15599E
13DD94,13DDB8,13DD02
1557ED,15593B,155AF8
13DE27,13DBD5,13DE45
15585D,1558DF,15572E
13DD0D,13DDCC,13DD7E
1557C4,1557A3,15573D
13DE53,13DCBE,13DD9C
1558BC,1558D4,15585B
13DD13,13DDC9,13DE6A
1558A8,15571F,1557AD
13DD0F,13DD71,13DE92
155799,155A65,155B21
13DE51,13DED4,13DE85
1557B1,15581D,1558C7
13DECA,13DD4A,13DFFC
155B46,1558E8,15578D
13DFF3,13DF42,13DCE9
155945,1557CB,1559B6
13DEC1,13DEC6,13DE25
155AD5,155AD8,15586F
13E044,13DD3E,13DFC0
1559F1,155A77,155ADF
13E04C,13DF6B,13E019
15599D,155856,1559B9
13DF00,13DF56,13E023
155A88,15598C,15596B
13E045,13DF27,13DE6E
155AAD,155A2A,1558CB
13E029,13DD93,13DF3D
15599C,1559D7,155901
13DF1C,13DE04,13DEA1
155964,155BB3,155A18
13E091,13E0FA,13DEFF
1556B8,1558CB,155874
13DE00,13DE25,13E04A
155A22,155B72,1558C8
13E09F,13E088,13E139
1559D4,155931,155AE4
13DEB8,13DFF7,13DF13
155AD6,15585D,155AAC
13DEFB,13E0A5,13DF2A
1558FE,15579A,155AC8
13E106,13E086,13E1A9
155C1E,155916,155A27
13DF18,13DE76,13E252
155A2E,155AC9,155A0C
13E103,13DE35,13E046
1559E0,155A59,155AF0
13DFE0,13E141,13DF16
155ABB,155BA7,155B9A
13DFC0,13E0DC,13E0A9
155A4D,1559F5,155AF3
13E0F3,13E0D2,13DF23
155A46,1559D3,155AF3
13E0FB,13E16F,13DF6F
155A8D,15595B,155ABC
13E0B6,13E1AB,13E026
155871,155C95,155B7E
13DEAE,13E0E6,13DFC6
155B34,155C7D,155DD2
13E299,13E138,13E1AD
155BBA,155A2E,155A3E
13E1B9,13E0E3,13DF46
155AD7,155B6A,155967
13E0EC,13E15F,13E1A8
1558FF,155B5B,155ACF
13E0B2,13DFAB,13E0B4
155B2B,155BCF,155937
13E02C,13E080,13E050
1559E2,155A36,155BF4
13DFB3,13DF1C,13E12E
155C44,155B7A,155C7B
13E26C,13DFDD,13E175
155B30,155B75,155A0A
13E157,13E039,13DE67
155B50,155DA7,155BE5
13E14F,13E158,13E274
155B76,155B58,155B68
13E16E,13E05D,13E14B
155BEC,1559F8,155CE5
13DECA,13E24D,13E029
155A94,1559E9,155A66
13E201,13E0AC,13DF2E
155AC3,155CB9,155A42
13E1EF,13E1C0,13E044
155CD0,155B1D,155BC0
13E0C5,13E0C7,13DF78
1559C6,155BFF,155B0A
13E087,13DFF5,13E1AE
155A66,155A96,1559E7
13E21A,13E1DD,13E15F
155C2C,155E06,155E6A
13E0D2,13E1AE,13E25A
155C31,155993,155B7D
13E123,13E03C,13DFCF
155B6F,1559D5,155B51
13E1E0,13E2AC,13E091
155C27,155C29,155D0F
