{'CALIB_RAW_DAC_START_I': 294912, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
A2B9E,A2B53,A2B38
BA581,BA71B,BA5A4
A2BEA,A2D53,A2A69
BA64A,BA826,BA683
A2C8C,A2E98,A2BDB
BA66C,BA650,BA6AD
A2BBB,A2BF3,A2B54
BA60A,BA82A,BA649
A2D38,A2CE8,A2F19
BA7F5,BA78D,BA5F0
A2C30,A2D50,A2B9B
BA60D,BA68E,BA62E
A2D9F,A2DB5,A2C6B
BA6E0,BA6C7,BA77C
A2C39,A2C0E,A2D2C
BA8E6,BA698,BA750
A2DDF,A2F12,A2CEA
BA888,BA8AA,BA872
A2DDD,A2F30,A2CF0
BA885,BA655,BA811
A2D08,A2DB9,A2EDB
BA8BD,BA9A8,BA7FF
A2D08,A2BEA,A2C67
BA880,BA95E,BA841
A2CF7,A2E79,A2EA7
BA738,BA6E0,BA85E
A2E0D,A2F29,A2F58
BAAA4,BA7FF,BAA6D
A2FAC,A2EA9,A2FCD
BAA83,BAB50,BAB24
A30EC,A2D05,A3066
BAA86,BAC24,BA93A
A2FB8,A2EBD,A2F36
BAA83,BAAAD,BA937
A2F8A,A2F46,A2F6F
BA9E7,BA956,BA9A7
A310C,A3043,A2E8E
BABFE,BA923,BAACC
A303E,A2FDB,A2F8D
BA954,BAA01,BA99C
A2E47,A2F5D,A3134
BAA4C,BAAA7,BABDA
A3137,A2FA1,A2EA7
BA9D8,BAA26,BAADC
A323E,A30AD,A300B
BAAC8,BACCF,BA953
A3230,A31FC,A31DD
BAC71,BABEC,BAB93
A3119,A32F5,A302A
BAB2B,BA96E,BAD8E
A31EC,A31CF,A3098
BAB42,BAE7E,BACD5
A3184,A2FF5,A31BD
BABA7,BAC6D,BAC52
A30EF,A3053,A3261
BA9BF,BACC0,BAAE4
A33F3,A32A3,A33B1
B9C89,B9BDB,B9CE1
A3220,A3169,A310D
BAB78,BAC97,BAD3A
A3261,A319E,A30C5
BAC4B,BAD79,BACA5
A31BA,A32CC,A30B9
BAD92,BABBD,BACAF
A34B6,A31BD,A338A
BAF1D,BAC99,BAD90
A32DF,A3330,A3401
BACAE,BAC8B,BAE5D
A34BA,A30A9,A3325
BAC3C,BAD9F,BACA4
A32E8,A356A,A324D
BAB97,BAD0E,BAB52
A34A1,A31EE,A323A
BB033,BB06A,BAE33
A3446,A3372,A347A
BADFE,BB065,BAF29
A3407,A3411,A3263
BAF14,BAE62,BADCD
A341C,A332E,A324E
BADA8,BACD1,BAD6E
A334E,A32F4,A316E
BAC94,BAD1F,BAD84
A33F1,A3208,A3295
BB017,BAD59,BAD59
A3346,A3466,A33AF
BAEFC,BAD9F,BACC0
A349C,A329E,A32B8
BACB8,BACFD,BAEB1
A33D8,A334B,A322A
BAE38,BADD6,BAED7
A35DD,A3434,A346A
BAED9,BAE20,BAFF6
A34A4,A3566,A3425
BAFC1,BAECD,BAE41
A342C,A35F3,A3558
BB095,BAE3F,BAF40
A3527,A334E,A35A7
BB085,BB151,BB0FE
A3594,A3552,A3678
BB0A9,BB141,BB081
A363B,A33A0,A3562
BB362,BB009,BB134
A3713,A3805,A37AE
BB19F,BB0B7,BB2CB
A35C3,A36B8,A3480
BB434,BB34A,BB32C
A377A,A37A5,A385B
BAFAA,BB2F9,BB2B1
A384C,A35B7,A35D2
BB11D,BB302,BB132
A3887,A3886,A3745
BB3FF,BB199,BB3F6
A37B5,A38B2,A364D
BB2F0,BB175,BB271
A3A2A,A36F5,A3863
BB1D8,BB283,BB226
A3917,A3A0F,A36F7
BAFA5,BB220,BB340
A364D,A3972,A392F
BB206,BB26D,BB28D
A38EA,A375B,A379B
BB282,BB21F,BB19C
