{'CALIB_RAW_DAC_START_I': 851968, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
12F074,12EFF0,12F078
117891,117577,117629
12F221,12F1D8,12EF45
117751,1175CF,117736
12F20E,12F0F8,12F199
11774A,11783D,117714
12F32E,12F1EF,12F115
1177CE,1176A0,117647
12F2D1,12EF6A,12F026
1175E9,1176D9,11783D
12E2E8,12E30D,12E200
117E82,118082,117ECF
12FA01,12F7E2,12F89A
117DE8,117F8F,117EE4
12F908,12FA9F,12F9A2
117FD0,117FE3,117DD6
12F90C,12FB0F,12F9D2
117E1E,117FB6,117F0C
12F80C,12F822,12F8AA
118020,117F84,118282
12F9EE,12FAD5,12FA9D
1181DE,1180C0,117F1D
12FAA4,12F94A,12FA12
117F53,1180E9,118034
12F95D,12FB0E,12FB8C
117F2B,117F9C,11810F
12F914,12FB4E,12FAA8
1180C8,117F49,117DA2
12F788,12F7A7,12FA31
117F41,117FCC,117FFF
12F8AC,12F8BD,12F7CF
117FFE,117FC9,1180A8
12F8F6,12F894,12F867
117EC8,117EEC,117E13
12FA67,12F822,12FAEE
117F46,117F0D,117FA9
12FA21,12FA2C,12FB9B
117E29,117E49,117FEF
12F829,12F9CA,12FA44
11803B,117E92,117FE5
12F7E6,12FA4E,12F8D9
117EF1,117F52,117E98
12F96F,12F878,12F7D7
117E56,117D7A,117EDA
12F990,12FA41,12F8D1
117FBC,117F05,117FBA
12F783,12F8B3,12F8F0
117DC4,117CD7,117EB5
12F95B,12FADF,12F782
117E73,117EA6,117CF7
12F7FF,12F733,12F992
117D4B,117EB1,117EFA
12F85F,12FAB0,12F81B
117EC1,117F40,117EC0
12F97E,12FB6B,12FB75
117D93,117FB7,117EC1
12F86B,12F9CB,12FA1A
117E57,117E1F,117E18
12F8EF,12F7EF,12FA45
117D38,117D29,117B3B
12F552,12F743,12F723
117C3F,117C5D,117D26
12F6CC,12F72E,12F6D1
117BA5,117D34,117C37
12F6C6,12F7C1,12F7F2
117C46,117C88,117B16
12F6C3,12F5AC,12F7C6
117E62,117D73,117D4B
12F741,12F8CC,12F78F
117D63,117DF1,117A83
12F7E7,12FA08,12F7F6
117E5B,117CB8,117DB1
12F916,12F8D4,12F7A4
117EA0,117DA9,117D0C
12F832,12F80D,12F7B7
117D3D,117DFB,117C4F
12F592,12F5F9,12F809
117CC7,117D5F,117C13
12F610,12F671,12F82C
117D30,117A85,117D6D
12F6D6,12F74A,12F69B
117D6F,117E2B,117C8F
12F5CA,12F796,12F6D9
117E2E,117CD3,117C72
12F6C0,12F692,12F73D
117C20,117AFD,117B8D
12F652,12F801,12F77B
117D75,117B83,117B6B
12F825,12F68F,12F7B9
117C93,117D71,117BC5
12F74E,12F9C1,12FAB1
117D14,117CE8,117DE9
12F658,12F6CA,12F645
117CC1,117B21,117B36
12F5E4,12F635,12F58C
117CA4,117B00,117BC3
12F536,12F6DA,12F78B
117CBA,117D57,117C23
12F5D1,12F81A,12F662
117CC1,117B7A,117D86
12F740,12F63F,12F780
117A93,117B33,117B8D
12F752,12F81D,12F749
117AD7,117B87,117BA8
12F630,12F490,12F692
117A5C,117BB6,117AA3
12F4BF,12F4F1,12F643
117BA9,117A2C,117B8E
12F58C,12F65F,12F694
117AA5,117A28,117B89
12F5ED,12F522,12F5DA
1179F4,117C6F,117C2E
12F5C0,12F681,12F712
117B8E,117C07,117CC0
12F6AD,12F631,12F601
117B38,117C79,117C20
12F422,12F5B6,12F50C
117C89,117B53,117B0C
12F700,12F54F,12F756
117CEC,117CDE,117BC2
12F6D0,12F5EA,12F48A
117B66,117ADA,117AFD
12F546,12F6A4,12F802
117BE9,117AF1,117A1F
12F4CA,12F70D,12F5F0
117B09,117BDE,117A79
12F4E4,12F510,12F4F6
117A25,117C61,117C3D
12F60F,12F63A,12F607
117CB7,117A99,117B2F
12F519,12F570,12F45C
117BDE,117B69,117AF4
12F68A,12F5C1,12F4BF
117C21,117D94,117DCA
12F625,12F77F,12F659
117CA4,117F30,117AA2
12F6AA,12F4E8,12F5FD
117AF6,117B9F,117AD6
12ED83,12ED63,12EC49
118064,1180FA,11800D
12FA45,12F91B,12F9B0
117D83,117FB6,117CDE
12FB17,12FA71,12F95F
117E95,117EE7,117E6E
12F9F8,12F848,12FA34
117F8C,118038,117F8B
12F9E6,12FB32,12FB26
117F04,117FF3,118022
12F9A1,12F9F7,12F8BB
118146,118112,117FC7
12FA5A,12FB0E,12FAAC
118020,117FD5,118044
12F9D6,12F99B,12FA2F
11802C,117FF6,117E0D
12FAC4,12F826,12FB20
117F40,117EFD,117F44
12F975,12F907,12F98B
117EB6,117DAD,117EEA
12F93D,12F908,12F9C4
118037,117ED8,117DC0
12FA52,12F97F,12F920
117E50,117FBB,117D1E
12F8EE,12F8A7,12FB16
117F3F,11812B,118008
12F8E2,12F9DD,12FA6C
117FED,117F21,117EE6
12F79E,12FA41,12FB74
117FBF,11801E,117EB7
12F9AA,12F851,12FB51
118030,117FC7,117FB3
12F825,12F7BF,12F6E0
117C4D,117EB4,117F64
12F8CE,12F969,12F85C
117EF6,117F01,118139
12F8A3,12F7A0,12F98C
118023,117EEF,117EA3
12FA9D,12F98B,12FBC0
117F95,117F1C,117EF1
12FA04,12FA83,12FA03
118001,117FAE,117E93
