{'CALIB_RAW_DAC_START_I': 884736, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-BE64E,-BE4B2,-BE74B
-A6A7B,-A6D29,-A6B9D
-BE588,-BE6B2,-BE5A4
-A6CCF,-A6B6B,-A6A8F
-BE57A,-BE4A7,-BE4E8
-A6B8D,-A6B51,-A6BBB
-BE608,-BE756,-BE610
-A6A44,-A68ED,-A69F9
-BE4FC,-BE4FF,-BE3F8
-A6C2F,-A6A40,-A6AE1
-BE3B3,-BE547,-BE4CA
-A6878,-A678F,-A69BF
-BE379,-BE51B,-BE4D1
-A6981,-A6ACC,-A6AC1
-BE566,-BE3B9,-BE3FD
-A6ACD,-A6861,-A6919
-BE326,-BE405,-BE350
-A681B,-A6917,-A68F0
-BE3CF,-BE247,-BE3F5
-A68A7,-A6964,-A69E0
-BE1ED,-BE41C,-BE354
-A6949,-A68FD,-A6911
-BE452,-BE3FE,-BE34C
-A67F9,-A6859,-A68A8
-BE360,-BE41A,-BE34A
-A69C1,-A691D,-A695E
-BE368,-BE49C,-BE228
-A67E0,-A689A,-A6921
-BE423,-BE33D,-BE2AB
-A68F9,-A6824,-A6826
-BE261,-BE224,-BE344
-A6851,-A68ED,-A69EB
-BE406,-BE246,-BE306
-A676C,-A6849,-A66BD
-BE290,-BE1A1,-BE0E4
-A67B9,-A68F3,-A67A7
-BE699,-BE420,-BE4AC
-A6AA5,-A6B18,-A6ADE
-BE66A,-BE66E,-BE79F
-A6BC7,-A6CB2,-A6BE5
-BE4DF,-BE581,-BE3AD
-A6C21,-A6AB0,-A6AF7
-BE4CF,-BE413,-BE50B
-A682B,-A6AED,-A6A13
-BE512,-BE49D,-BE4BE
-A6BC3,-A6BE1,-A6992
-BE471,-BE3CC,-BE3A9
-A6B32,-A6AFA,-A67A6
-BE538,-BE454,-BE2F9
-A6A02,-A69C4,-A6AB0
-BE33F,-BE407,-BE475
-A698E,-A6826,-A687D
-BE36B,-BE337,-BE4A7
-A693A,-A69F0,-A6A6B
-BE610,-BE2F0,-BE3DE
-A6AD2,-A69CE,-A6B56
-BE466,-BE32B,-BE563
-A6A0B,-A69BD,-A6A66
-BE4B9,-BE3E0,-BE292
-A6973,-A68EC,-A6877
-BE529,-BE5BF,-BE4D2
-A6955,-A6A1F,-A6925
-BE45F,-BE366,-BE3CA
-A6A50,-A6733,-A6956
-BE45B,-BE4B2,-BE498
-A699D,-A695E,-A6A35
-BE568,-BE30E,-BE47B
-A695A,-A68B4,-A699F
-BE112,-BE396,-BE0A2
-A672F,-A67D1,-A66D7
-BE305,-BE195,-BE1DF
-A6956,-A6764,-A685D
-BE2E7,-BE113,-BE1E9
-A67CB,-A6747,-A67DD
-BE30C,-BE28A,-BE130
-A678E,-A66DB,-A6578
-BE259,-BE109,-BE0C8
-A66E8,-A6717,-A68A8
-BE131,-BE0A8,-BE052
-A65A6,-A67CD,-A6744
-BDF5A,-BDFBD,-BE145
-A6439,-A66A7,-A6547
-BE09B,-BE0F0,-BDFF3
-A6673,-A64BE,-A659A
-BE0D1,-BE015,-BE162
-A67C3,-A6696,-A64E1
-BDF14,-BDF1F,-BE020
-A67A9,-A6597,-A63BB
-BDE66,-BDFA8,-BE0BA
-A6759,-A6674,-A64EB
-BE12E,-BE070,-BE233
-A6648,-A65D6,-A65DD
-BE0DE,-BE143,-BDEB2
-A668E,-A66C1,-A6794
-BDFFA,-BDF8D,-BE0D9
-A672F,-A6596,-A6654
-BE036,-BE0DF,-BDF10
-A6589,-A65A5,-A6587
-BE075,-BE028,-BE020
-A7343,-A744F,-A7443
-BDE38,-BDDAB,-BDF35
-A6555,-A6502,-A662B
-BE0A7,-BDF6A,-BE130
-A6572,-A656C,-A648A
-BE1E8,-BE0C6,-BE145
-A64F3,-A65EB,-A6562
-BDF64,-BE15E,-BE0FB
-A6553,-A64FD,-A660D
-BDFB5,-BE0BC,-BE086
-A655E,-A665F,-A641A
-BDFCF,-BDFF8,-BE0C4
-A633C,-A64EB,-A63D1
-BDF22,-BDF5E,-BE05C
-A651B,-A6510,-A66AC
-BDDBF,-BDF85,-BDEDE
-A6383,-A641E,-A63A5
-BE014,-BE0D5,-BE11D
-A663A,-A65A6,-A6514
-BDF7F,-BDF9A,-BDEEA
-A6503,-A63B2,-A64B3
-BDFB8,-BDFBC,-BDFF0
-A669C,-A642E,-A654B
-BE041,-BDF76,-BDFED
-A65CF,-A6409,-A6565
-BDECA,-BDE5A,-BDE44
-A6328,-A6313,-A6465
-BDD6E,-BDD37,-BDD3E
-A622A,-A6452,-A6386
-BDD46,-BDDB8,-BDE18
-A6418,-A6437,-A64FD
-BDCA0,-BDE29,-BDF19
-A639B,-A63BA,-A64FD
-BDEED,-BDB69,-BDE48
-A6240,-A612F,-A61EC
-BDC9D,-BDC5C,-BDCE3
-A61C8,-A629C,-A6275
-BDD15,-BDC6E,-BDBF6
-A6359,-A622C,-A6385
-BDD60,-BDE6D,-BDDDA
-A6198,-A5FE4,-A6206
-BDC3B,-BDB8E,-BDC6D
-A62A0,-A623A,-A60C4
-BDC79,-BDD82,-BDC66
-A6050,-A5F03,-A6011
-BDD00,-BDAFA,-BDA63
-A628E,-A61D8,-A6108
-BDB7C,-BDB26,-BDC0E
-A5EA6,-A5FFC,-A5FEE
-BDB6C,-BDB74,-BDAE8
-A621B,-A61FF,-A6018
-BDA3F,-BD994,-BDB22
-A5EDF,-A5F40,-A600E
-BD9DA,-BDA3E,-BD83A
-A5FC5,-A606B,-A5E6D
-BD9D0,-BDB8A,-BDB13
-A6056,-A5E8D,-A5D1D
-BD914,-BDA10,-BDAEB
-A5E06,-A5EDD,-A5FC9
-BD9F3,-BDB45,-BDAA8
-A5E57,-A5E3D,-A5E7B
-BD8A0,-BDBA6,-BD931
-A5E97,-A5EE0,-A5DFD
-BD8A5,-BDA17,-BD9E5
-A5C98,-A5FF3,-A5D75
-BDB07,-BDB39,-BDA23
-A62F6,-A61FF,-A6158
-BDCE7,-BDC3E,-BDEA7
-A6169,-A622E,-A627F
-BDB88,-BDA52,-BDE8E
-A6204,-A6021,-A61D7
-BDC4D,-BDBAB,-BDCA2
-A6280,-A62FB,-A6092
-BDCE3,-BDBCC,-BDD9E
-A6104,-A626E,-A61E2
-BDC7A,-BDDAB,-BDBEE
-A62D5,-A6194,-A6207
