{'CALIB_RAW_DAC_START_I': 65536, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
135F17,135D5A,135FA0
11E3ED,11E2C6,11E26B
135C2E,135D25,135DCB
11E4D7,11E3B5,11E50E
135F57,135DE9,136024
11E552,11E5E5,11E565
1360D0,13611C,135F27
11E564,11E405,11E54F
135FD0,136197,136056
11E5C2,11E620,11E6C9
135F97,136030,135F81
11E5FA,11E61A,11E4D1
1360F6,135FF7,135EE7
11E2EB,11E49C,11E49C
1360DB,136046,135F08
11E5DD,11E4A4,11E597
135EEF,135EAD,136037
11E423,11E4C6,11E4DF
135F54,135C5F,135CF0
11E4EE,11E322,11E46E
135D1E,135EE5,135D72
11E3A1,11E2C4,11E360
135F28,135E65,135FBF
11E4A0,11E5B6,11E466
135E36,135EA7,135E2F
11E3BC,11E427,11E3C8
135F9D,136177,135E46
11E425,11E2C3,11E4B3
135E0E,135EC2,135F39
11E28D,11E2F7,11E3E5
135EBE,135EF3,135DA5
11E3A9,11E402,11E30D
135D20,135F7E,135D71
11E464,11E4EB,11E342
136073,13603D,135F68
11E39C,11E400,11E448
136063,13618B,135F33
11E5F5,11E5F4,11E6EB
13535D,135424,13540D
11EB2D,11E9D3,11E989
13646B,1365EC,13654C
11E82A,11EA95,11EAC8
1364ED,1366D7,136581
11EB0F,11EC29,11EBA6
136656,1365B5,1367B6
11ED5F,11EC3F,11EB84
136787,136833,13650F
11EE91,11EB43,11EBAA
136620,1366AD,13664A
11EA74,11EBF7,11ECF4
1365C2,136677,1365FC
11EB0F,11EB82,11EC77
1364F0,136678,1365C0
11EC28,11EAFD,11EC55
13698E,1368DC,13682F
11EB4E,11ED4D,11EAD5
13655D,1366FF,13662C
11EC0A,11EC1C,11EB2B
136620,136646,136500
11EC05,11EA1D,11EBED
1364F8,1362AB,13666B
11EB68,11E9E2,11EC2B
1366E3,136756,13670D
11EC88,11EBE8,11EBF8
13677A,136721,136717
11EB2F,11EA92,11ED1C
1366E8,136583,136754
11EC95,11EB60,11EDB8
136A0B,1367FE,136761
11ED7E,11EC9A,11ECBB
136773,1366D4,1366F6
11ED6E,11EDEB,11EB87
13680A,13671A,136840
11EAA2,11EC1D,11EAFB
136726,13684B,1367C4
11EDE4,11ED78,11EA3A
136719,1367CF,13688B
11ED2F,11EC75,11EB73
1367C6,136754,1366D1
11EEE6,11EC5E,11ED85
136746,1367EB,136628
11EDDB,11EF15,11EC25
1367AA,13667F,13673A
11ECD3,11EB23,11ED22
13683B,136652,136752
11ED93,11EE30,11EF16
136920,136848,136A7D
11EE7B,11EBC4,11EDF1
136781,13671E,136664
11ECDB,11ED7A,11EDF1
13664F,1366A7,13642C
11EC26,11ED83,11EC49
1365AC,136727,13670C
11EE04,11EC2C,11EBF4
136658,1368E2,136745
11ED7F,11ECA9,11EE08
136765,136868,136954
11ECB1,11EE4C,11EDE3
1367E6,1367C2,13676F
11EE3E,11ED71,11EDEB
1367F8,136822,136825
11EE5A,11EF17,11EF6F
13697A,1369CB,136704
11ED4B,11EE21,11ECF3
13657C,136799,1366D8
11ED19,11ED84,11EB56
13676E,1366CA,13662C
11EDE6,11EBBB,11EEE8
13661B,136677,136788
11EDF9,11ECB1,11ED6F
1368CD,136A73,13675E
