{'CALIB_RAW_DAC_START_I': 294912, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
AC579,AC4E0,AC374
C3DC9,C3F05,C3FC7
AC4BB,AC6D1,AC52B
C3F06,C3FCB,C3FA5
AC5EB,AC582,AC44A
C3F1A,C3F15,C3E43
AC53C,AC6AC,AC62C
C40EB,C3FE8,C3F5F
AC676,AC6CB,AC52E
C408C,C3E83,C3FD5
AC4EA,AC57C,AC3FC
C3E74,C3DCD,C3DE0
AC4A4,AC62E,AC4A2
C40EF,C3E44,C3EF1
AC698,AC404,AC65E
C3F2B,C3FCA,C3E6F
AC4A2,AC484,AC337
C3EE7,C40BF,C3E73
AC484,AC566,AC532
C4278,C3F16,C3FD3
AC68A,AC4F5,AC68B
C40BA,C41AE,C41F0
AC4ED,AC626,AC5C6
C3FAF,C40CA,C3FE9
AC611,AC489,AC3DA
C3FB2,C403B,C4009
AC761,AC677,AC611
C3E79,C40B3,C4083
AC5F8,AC496,AC555
C3F04,C3FE3,C3ED3
AC5A9,AC3BE,AC44F
C3FD6,C3F08,C3F4F
AC4B9,AC5A9,AC4D5
C4042,C3EEA,C4015
AC544,AC53A,AC52A
C40FE,C3F56,C3FBA
AC58F,AC4F6,AC610
C3F85,C3FB5,C4022
AC5B6,AC556,AC5D4
C3FBE,C3FD5,C41D6
AC6AE,AC764,AC61C
C40CB,C3FB0,C4101
AC57F,AC719,AC4DC
C3F46,C4106,C3E71
AC3D1,AC765,AC3EF
C3D3B,C41DE,C4236
AC660,AC684,AC7FF
C4099,C428F,C3FFA
AC902,AC5CF,AC604
C408F,C4058,C413B
AC605,AC747,AC6AB
C429A,C4031,C417D
AC890,AC6E7,AC7B6
C431D,C41ED,C411A
AC785,AC697,AC73A
C41A2,C4303,C42F3
AC81D,AC5C0,AC54D
C41F5,C4246,C3F05
AC669,AC716,AC63B
C405E,C4067,C3F08
AC726,AC5E4,AC37A
C3FFF,C4010,C4236
AC681,AC58E,AC5B9
C4073,C3FA1,C415A
AC5C5,AC6BB,AC6E0
C408C,C4165,C4170
