{'CALIB_RAW_DAC_START_I': 360448, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
7BD1B,7BE3B,7BDCE
93694,937D4,937ED
7BCA3,7BCB3,7BF45
938B8,938FD,9386E
7BE8E,7BE7B,7BE66
936DE,93885,93959
7BE3C,7BD90,7BF5D
938E6,9387C,939CC
7BE6E,7C080,7BE82
93961,938BD,93836
7BEEC,7BF93,7BF89
9395D,93955,93A39
7BEE3,7BF2F,7C000
938DB,93905,93B06
7C101,7BF36,7BE4A
939D8,9396C,93B40
7C003,7C09D,7C00C
939D4,939FC,93937
7BFA8,7BFE3,7BF1F
93ADD,93A0C,9382C
7BFD3,7BF8A,7BFF3
93A60,9396D,93A0F
7C1FE,7BF5E,7C0EE
93B2A,93A4E,93977
7BE0A,7BE25,7BE7C
937C0,9372D,93755
7BC03,7BCC9,7BDAB
937FD,93697,93713
7BD31,7BDBD,7BF22
935C7,936C2,93738
7BBED,7BABC,7BC0A
937C3,937A5,936E6
7BAE8,7BD06,7BCDE
93868,93A09,938F0
7BEB1,7BC8B,7BBEA
9386E,9365F,9379E
7BC95,7BCB9,7BD3E
938E3,93749,936E3
7BEDA,7BDCE,7BBDD
93B14,93AC8,939E1
7BB59,7BD00,7BCE2
937E1,935F0,93728
7BD57,7BD88,7BBEA
93817,93832,93946
7BE0A,7BD7C,7BCBA
9379B,9375B,937B1
7BF35,7BD7D,7BE48
93A1B,93898,9392E
7BE33,7BF49,7C02B
9393F,93981,9378A
7C206,7C097,7BE20
939DF,9394B,93809
7BF23,7C00C,7BECA
93ACD,938D6,9395D
7C06D,7BF1C,7C084
93882,937B1,9393A
7C074,7C11A,7BCFF
93945,93ADA,93A51
7BED6,7C0E6,7BF2C
93C34,93AE3,93B21
7C0A1,7BE9A,7BF64
93A5E,93C83,9397B
7C27A,7C09E,7C120
93BCA,93AAA,938E2
7BFF2,7C00E,7C172
939C7,93B18,939AF
7C033,7C135,7C055
93CAA,93B03,93B39
7C17B,7C0FD,7C05D
939C2,93C04,939FB
7C0A8,7C03E,7C06B
93BA2,939D5,93C18
7C195,7C17F,7C160
93B30,93B91,93D1D
7C17B,7C276,7C29C
93CA1,93B61,93B9B
7C0DF,7C038,7BFAF
93A84,93AB7,93BA1
7C03D,7BFC9,7BF80
93BD0,93B95,93B21
7C274,7C07F,7C242
93D16,93D88,93CC6
7C20F,7C19A,7C11A
93C1D,93DDE,93DCE
7C2C1,7C12A,7C1F0
93D96,93BF7,93BDE
7C278,7C3A2,7C3FF
92DC9,92DE4,92D50
7C321,7C2F2,7C1F4
93CB7,93D71,93CFE
7C196,7C44A,7C233
93D15,93F67,93CF6
7C432,7C3C1,7C349
93DB3,93DEF,93E5C
7C408,7C6BE,7C2A4
93E19,93D7B,93E5E
7C334,7C655,7C508
93C7F,93CAF,93CBF
7C38B,7C489,7C3BF
93E27,93EB1,93DE0
7C1E4,7C3BD,7C128
93E04,93F4E,93C82
7C547,7C509,7C56B
93DFF,93ED5,93E26
7C4B0,7C3A6,7C2E7
93DD2,93EC0,93CE7
7C2CC,7C51D,7C2CB
93BE3,93ED9,93E31
7C270,7C39D,7C3AB
93E43,93DED,93E83
7C525,7C448,7C1CE
93E9C,93D1D,93C61
7C3AA,7C3EB,7C39F
93D61,93DDB,93E08
7C466,7C3F0,7C556
93E81,93EC7,94112
7C40E,7C501,7C3CB
93F9A,94031,93DC1
7C28C,7C464,7C434
93D9F,93C60,93FA0
7C599,7C567,7C4BB
93E90,93E8A,93F8C
7C546,7C532,7C620
93F12,93EC4,94029
7C53A,7C5A2,7C614
93DFF,93EC6,93ED0
7C2B0,7C386,7C538
941A8,9407F,94049
7C650,7C5E1,7C3F4
93EFF,94092,93F84
7C660,7C6F2,7C7BA
940AA,94159,941B9
7C642,7C5FD,7C7DC
940B4,93FDD,940DD
7C668,7C900,7C84D
9428E,94110,941BE
7C60D,7C69A,7C6DF
94154,93F10,942E8
7C782,7C5A4,7C7DC
94213,94228,94248
7C848,7C740,7C6D1
942F1,942A5,94321
7C87B,7C808,7C734
9429D,942F8,942CD
7C625,7C655,7C7A2
9415A,940FF,94152
7C99D,7C68E,7C7A6
940F6,9416E,9415C
7C76C,7C752,7C6DC
9423F,94312,9423E
7C694,7C645,7C833
94215,94319,94185
7C517,7C38A,7C357
9406D,93E05,93D26
7C5B2,7C5AC,7C4E3
94035,940D8,94001
7C54B,7C429,7C3CE
9407B,93E2C,94032
7C46A,7C493,7C58E
93EAA,9414C,93FFC
7C4B0,7C4E1,7C56C
93FDC,93E31,93FA3
7C44E,7C640,7C596
93DD8,94382,940D8
7C788,7C59C,7C3D8
93E96,9407A,94081
7C525,7C5E6,7C57A
94126,9434C,94142
7C692,7C783,7C544
93F81,940E4,93F60
7C577,7C679,7C67D
941A7,94193,93F7C
7C6B8,7C7B6,7C680
9429F,9420D,94222
7C62B,7C6CB,7C898
9418E,941AC,94213
7C6C2,7C8E7,7C6D3
94295,941C8,94417
7C54E,7C848,7C799
94242,9427D,941FF
7C519,7C7B3,7C70F
940C1,94177,940D9
7C82D,7C701,7C749
9414C,943C9,94355
7C844,7C9B4,7C8CD
94254,94156,942F7
7CA3A,7C861,7CA74
94371,942BC,9424E
7C99C,7C90D,7C95E
94329,9426A,9435A
7C8DF,7C976,7CA19
942FF,943AD,943F6
7C94C,7C9DF,7C91F
9444B,9434B,94541
7C991,7C9E6,7C9FC
943F2,94503,943EB
7C90A,7C7C8,7C758
9433A,9444E,944FD
7C818,7C7DB,7C7FC
9451D,94480,94451
7C9A3,7C913,7CB0A
94264,942B2,9432C
7C95E,7C91C,7C9C1
943C4,9442D,94309
7CA9D,7CA93,7C8CA
944BA,943DC,943E6
7C77A,7CAB1,7CB6E
94640,9445C,945AA
7C91E,7CB8F,7CA8F
945AE,94238,9442F
7C8F9,7CA86,7CB65
944AE,94573,944E9
7CAA1,7C9C1,7C9C3
944C8,94499,944B1
7CACA,7CB8D,7CB79
927E1,92911,9290D
7C971,7C97F,7CB36
944B0,94675,944EA
7CB98,7CA22,7CB35
94540,94676,94475
7C9CC,7CB80,7CC1C
9449E,945B9,94582
7C9AE,7C8F9,7C8A5
9452A,9455C,945E0
7C9A3,7CAED,7CA60
943FD,94522,944DF
7CC11,7CBC3,7CCD6
945B1,945D7,945AD
7CC69,7CBDA,7CC2A
94699,9464A,94741
7CB74,7CBF0,7CBAB
946CC,9479D,94995
7CC94,7CC8E,7CC21
945C9,9473B,947B9
7CB9D,7CD05,7CE09
9486A,946EB,945B3
7CC69,7CC7B,7CC3B
94779,946C4,943FB
7CBC0,7CAE9,7CD0F
94483,94661,94743
7CCC4,7CD79,7CB20
947C4,94538,9468A
7CC21,7CD1D,7CC92
945F6,945D6,94701
7CC70,7CCF4,7CC86
9478B,947AA,947C5
7CD6F,7CD53,7CD1E
94697,94852,946FF
7CCD6,7CC37,7CC8C
9477C,94817,94691
7CBC5,7CD4C,7CE43
947AC,948E6,94743
7CDE7,7CD4D,7CEE5
94870,94639,948E9
7CD09,7CE0D,7CCB7
9468A,9494E,94A18
7CE1F,7CEEC,7CEA1
9471B,948D2,94893
7CDBC,7CCD1,7CEF4
949F2,94B35,94C53
7CF51,7CED5,7CF7F
949F5,949F2,94AE4
