{'CALIB_RAW_DAC_START_I': 491520, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
4A4A8,4A4C5,4A3E0
61D75,61EE2,61CF9
4A4D0,4A201,4A224
61FF2,61D7D,6201E
4A3D8,4A3CD,4A368
61C93,61DC8,61BC0
4A4BC,4A3C5,4A19E
61DCB,61FC4,61FFB
4A357,4A371,4A33F
61E06,61D67,61CCE
4A33F,4A20F,4A286
61E1E,61D7F,61C53
4A35B,4A389,4A295
61CCB,61E8A,62072
4A4D0,4A430,4A376
61FA6,61DEE,61E55
4A4EB,4A30F,4A399
61D61,61D3A,61D88
4A360,4A4D0,4A4BA
61F04,61EF5,61D66
4A54F,4A48E,4A42D
61E91,61CAD,61F59
4A462,4A5F4,4A44C
61E47,61F28,61F07
4A4BD,4A4C6,4A4DC
61E25,61F5A,61DC4
4A335,4A424,4A2DB
6206F,61D0D,61EF3
4A4AA,4A487,4A475
62015,61EFD,61EF3
4A607,4A53A,4A3E2
620D9,62069,61FCC
4A4DF,4A6ED,4A2EC
61F8E,6201C,61F8C
4A43B,4A58B,4A48A
62041,62114,6214B
4A500,4A546,4A694
61EE6,61FA1,61EBC
4A49A,4A67A,4A450
61F34,61F5D,62049
4A601,4A5C8,4A4B9
61F60,61F6C,6211F
4A57F,4A5A3,4A691
61F02,61DF5,61F29
4A4D6,4A602,4A479
61FA9,61FDF,62119
4A586,4A674,4A429
61FA3,620A5,620ED
4A66A,4A5E3,4A4EF
62022,61F36,6216B
4A4F8,4A5AF,4A763
60B45,60E1C,60B2E
4A351,4A589,4A1F3
61B6E,61BE9,61A6E
4A38D,4A3A1,4A4B8
61C99,61AD9,61CA1
4A1C1,4A1AC,4A1B3
61DFB,61D92,61CF3
4A44D,4A353,4A39E
61BB9,61F6C,61EEE
4A2F1,4A38C,4A2C6
61CE2,61CBC,61D5E
4A398,4A4BB,4A41B
6201B,61ED3,61F10
4A419,4A0CE,4A495
61E5C,61CDB,61C68
4A48D,4A458,4A3D6
61EB9,61F2A,61E0F
4A2F5,4A1E2,4A261
61D52,61D6F,61E36
4A4AF,4A49F,4A473
61DDE,61D3B,61E05
4A55D,4A51C,4A681
61DA3,61D26,61D2A
4A4FA,4A2AA,4A37B
61EDC,61FE8,61CFF
4A33C,4A524,4A4A3
61EB9,61D8E,61CC8
4A6E5,4A4FA,4A368
61FAF,61E82,620A9
4A4C2,4A4C6,4A555
61DFF,61E32,61FAD
4A590,4A506,4A27F
61D88,61EE8,61F40
4A409,4A575,4A657
61F0A,61E0A,61F98
4A557,4A2F7,4A2E8
61E79,61FED,61F8E
4A578,4A524,4A530
61F4C,62048,62116
4A5D4,4A5C6,4A43F
61FAB,62061,62073
4A693,4A55E,4A423
620BF,620E9,61FE1
4A555,4A6CB,4A5AA
622A5,62169,61F98
4A744,4A749,4A56A
6206A,620A1,62038
4A4AD,4A622,4A52C
62106,620E0,6215B
4A702,4A481,4A6A7
61FB4,6216B,61F0A
4A49B,4A378,4A33C
61FD2,62089,61FD1
4A441,4A56B,4A3EC
61F01,61DF5,61E56
4A4E6,4A459,4A3A3
61DE1,6213D,61F9D
4A3B0,4A4A9,4A645
61F62,61EB6,62018
4A662,4A6B3,4A6C0
61FCA,61FEA,62117
4A58F,4A4FF,4A48B
62069,61F08,61FC6
4A4BB,4A5D8,4A47D
61FF0,61EEE,61D87
4A556,4A497,4A495
61E0B,61EA6,61F13
4A689,4A533,4A5B1
61F4A,61F4E,61F49
4A33E,4A336,4A553
6201B,61DCD,61F08
4A4F5,4A468,4A64A
61F44,61EFB,61F8C
4A5BB,4A438,4A3CF
61F75,6201C,620AA
4A674,4A3FC,4A581
61FC5,62024,61EA1
4A5EF,4A549,4A5C5
61F4F,61DF5,61F01
4A6DD,4A78C,4A53E
62138,62151,62225
4A6AE,4A642,4A704
6208C,61FA1,61F06
4A584,4A731,4A5CD
62224,62147,62121
4A557,4A5A2,4A514
620B0,61FC7,61F36
4A59A,4A53D,4A6FE
620BE,62073,621CE
4A737,4A67D,4A6DB
6213A,62002,6219E
4A957,4A5AF,4A6F0
62224,62033,62288
4A63A,4A6B3,4A7D8
