{'CALIB_RAW_DAC_START_I': 327680, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-14A2F,-14A3A,-14A0A
3004,3100,3091
-14A6D,-147CC,-14999
327F,2FFC,3176
-149FA,-14A80,-14899
3095,3129,30C9
-149CA,-14908,-14933
313F,3156,30FC
-149F1,-149C9,-149CF
30B9,3174,30D2
-147F9,-1488D,-14922
3142,2F74,2F9A
-14B4D,-149D1,-14A4A
304E,3175,3349
-14847,-14AFA,-1470B
30F3,367A,3559
-14537,-14702,-1474E
32C8,33FA,32FA
-144F5,-14615,-14811
33AA,3320,333A
-145C1,-146B2,-147D7
3376,33E5,3199
-1468E,-1480B,-145D3
3437,336F,3391
-14823,-14712,-14716
338F,3387,34BE
-1466D,-14738,-14802
331B,3385,32C0
-145E9,-1452F,-147AB
324C,338E,356A
-1469C,-14732,-1481C
32F6,34D7,34CD
-146D2,-145D4,-1472A
33C6,3252,31F9
-14788,-14887,-147D9
326E,331D,342E
-145A1,-147A7,-1470E
33A5,3339,321C
-1473E,-147EE,-14644
34FF,321A,3417
-147E0,-14738,-148A3
3134,327C,3168
-146FD,-147E9,-1470F
32EC,335E,31EE
-14780,-14728,-1489D
325F,3438,3181
-14636,-145FE,-147EE
3498,3121,3173
-147C2,-1471B,-1485B
3147,3194,31F5
-149B4,-147BC,-1488B
342F,3378,3228
-149CE,-1478A,-14A52
3168,3161,32C1
-14857,-14754,-148DB
34CF,3277,3570
-1467D,-1484F,-144B3
313E,31C7,323E
-14886,-149BD,-146B2
31C8,3341,34A8
-14701,-14570,-145AB
3322,3465,338F
-147DC,-147CF,-1476C
3003,343F,33B2
-14520,-1470D,-14742
32D6,31F3,3356
-1468E,-146BC,-148C0
315A,3438,32B4
-146E4,-14875,-146B0
3149,3369,31EB
-14617,-14770,-14943
3294,32AE,323A
-14941,-147AB,-14845
316A,3148,31E6
-14833,-1482A,-148DB
3256,3173,31F3
-14716,-14629,-147D0
314D,327E,31C4
-14905,-1479B,-146B2
1F42,2119,2014
-149FF,-14869,-14A54
2E97,2FB5,325B
-149B4,-14A37,-1496B
3069,2FA8,3215
-146AA,-147EA,-14B20
3104,3280,32A5
-14856,-14784,-148B4
3055,3158,30B1
-1473E,-147FD,-1485A
31E9,3278,3443
-1483C,-1488E,-147C3
3176,3374,3313
-14749,-14579,-14940
3394,33D0,332D
-14770,-144E9,-148F5
32A2,3468,349A
-14832,-1475E,-1473C
3382,32DF,330E
-14971,-14792,-1481F
33CA,332A,31B9
-145E9,-1477B,-1460F
3368,32C5,336A
-1467F,-14862,-14780
32AC,338A,3458
-1468F,-146AC,-14699
30D8,339C,3494
-14732,-1471F,-145BF
34F4,3102,3426
-1465B,-1483E,-1474E
349B,3323,33F7
-145D6,-1474F,-14621
329D,30F0,30E4
-14683,-14A1B,-147CD
309F,3018,30E6
-1488A,-146CA,-1481B
3004,3015,31A0
-147F8,-1494B,-14924
3130,2FB7,2FE3
-14917,-14845,-149A7
3112,309B,309F
-1483C,-14747,-148DE
30CA,322F,3356
-1479F,-14901,-148B7
2FF7,3161,30FF
-1494D,-1474D,-14864
31BB,31F9,33C7
-148EF,-1482C,-146A4
326A,3258,31E4
-14697,-148A0,-1498F
3179,31E9,3495
-145B0,-1483A,-14721
3230,3376,3133
-148B7,-14547,-148D2
32F0,3193,3157
-147C0,-1466C,-149EA
3026,32D9,32E6
-146F8,-14665,-146E5
3303,3537,3463
-146BD,-146A1,-144D1
32D2,3444,33EF
-14871,-146C0,-14830
318D,3410,3338
-1474B,-1476E,-14722
366F,3522,34EF
-1452E,-144A3,-14636
348F,3353,3529
-1448E,-14785,-146F4
3287,33A1,3428
-1437C,-1442F,-145EE
3460,3535,345C
-14623,-145D8,-1465B
34D1,35A8,3624
-144CC,-14523,-14588
3442,36A4,351F
-144BF,-1451D,-14427
352E,3592,34D7
-145C1,-145ED,-14727
347F,3441,36CF
-143E5,-144B6,-144D3
3566,345C,37AD
-143FF,-145E4,-147B7
3581,34D9,3378
-144B6,-14619,-145F5
3458,34A9,3438
-14634,-1458F,-145BF
363A,3520,34D5
-143B1,-14473,-1437C
3786,35A9,3393
-14359,-145DA,-144ED
3508,33E5,3541
-143A1,-143A6,-144FB
3790,35BA,3687
-14311,-1434A,-1445A
362D,3886,36E6
-14593,-143D8,-14380
3575,35A9,35EE
-14445,-14621,-14624
3474,34A8,348D
-14560,-145EB,-1451B
34FB,3476,35C6
-14412,-144CC,-1467B
343B,33BA,34E7
-14651,-14611,-14656
3512,3349,3502
-145E5,-14693,-146B9
33C4,33B7,357D
-14421,-1467C,-14665
3480,3617,346F
-14647,-1461E,-144E2
3622,349A,3543
-14473,-145DE,-144D8
3362,3345,3527
-145A1,-14595,-1459E
3484,33C8,34FA
-1447E,-1449A,-14507
31F3,347E,333B
-1471E,-14712,-14529
34EF,3466,34BF
-14706,-14522,-1469E
344A,3614,373D
-14560,-1458C,-14608
34AB,33E2,3682
-1450D,-1430C,-14370
380A,374F,3629
-1439B,-14425,-142D2
33F4,350F,36F9
-1449D,-141D1,-1454C
2DD6,2BD6,2EDA
-13FA7,-14070,-1418C
381B,39D9,3AA4
-13E6C,-13FC5,-1415C
39BB,3A6F,3BB2
-13DF9,-13FEA,-13EC7
39EC,3928,397E
-13EB1,-13EEE,-14009
3A7A,3B01,3980
-1400B,-140A1,-140F7
3D12,39D9,3843
-14025,-14033,-140E5
3AE4,3A84,3975
-14182,-1424F,-14149
386C,391B,3AE1
-13FE2,-14136,-14021
3A68,39D9,39F4
-13F8C,-14089,-14105
3984,3A53,3A94
