{'CALIB_RAW_DAC_START_I': 983040, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
22F8A4,22F831,22F78F
217D43,217C94,217B25
22F85E,22F9BA,22F818
217E93,217BBD,217D21
22F8CC,22F5C3,22F79A
217CA8,217DA8,217BFF
22F833,22F72A,22F673
217E5E,217E41,217E4A
22F918,22FA67,22FAE3
217E64,217EE1,217F70
22F95A,22F9D5,22F908
217EAA,217E5A,217D92
22F91B,22F958,22F850
217E54,217D20,217D98
22FA1F,22F9BF,22F8E6
217DFA,217DF7,217EE3
22F64C,22F8B4,22F79C
217E27,217EF3,217D7A
22F83F,22F8FF,22F818
217DC0,217E85,217EE5
22F6ED,22F7DF,22F7AC
217DD5,217DD6,217B63
22F80A,22F97D,22F7CB
217B52,217CB7,217E6F
22F8ED,22F758,22F721
217DFC,217CCC,217CB7
22F95C,22F78A,22F6DC
217D17,217BD1,217D59
22F763,22F7EF,22F77C
217BBE,217B5C,217D9B
22F565,22F721,22F746
217C6E,217C5C,217BE7
22F68B,22F585,22F6F5
217C24,217A82,217C34
22F730,22F65E,22F763
217D2A,217C46,217DD0
22F668,22F5A1,22F598
217D55,217D36,217B27
22F09A,22F14C,22F24B
218340,217FC5,21810D
22F996,22F9E4,22FCFD
218254,2180EE,218203
22FBC0,22FA0D,22FB05
21815F,218148,2181E4
22F999,22FA9D,22FAE1
217FB4,2181C8,217FF3
22FC0D,22F9C4,22FB52
218015,218042,217FC6
22FA0E,22F886,22F9A7
217FDE,217D3F,217E33
22F995,22FB3C,22F8F0
2180E0,218000,218149
22FAE9,22FBE6,22FA15
217FEF,217E6E,217F6A
22FA71,22F9A9,22F9EF
218124,217FD1,217FAE
22FA36,22F9F4,22FC69
2180BE,2180B0,217EF5
22F75B,22FAA8,22FA08
218178,217FDD,217F7A
22F87A,22F906,22FA7E
217FC4,217DAE,217E79
22FAD0,22FB07,22F953
218193,217FAC,21806D
22FA7F,22FA6C,22F6FC
217F52,217DFA,217D59
22F960,22F97A,22F8FA
217E64,218010,217E0B
22F8F2,22FA38,22F7AD
217F3B,217DE0,217E0A
22F99F,22F8A5,22F8A6
21832A,217FC2,2181F2
22FB15,22FC27,22FCDD
2181AA,218150,217FED
22FBE7,22FCCC,22FB91
218041,217FA3,217FFB
22FAE9,22FA4E,22FBAB
217FF2,217F66,217F8F
22F909,22F88F,22F9DD
21813C,217FB1,21813F
