{'CALIB_RAW_DAC_START_I': 950272, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
172EC8,173020,172FA9
18AA40,18A9DD,18A8A0
173016,172FC2,1730B2
18A9D4,18AA8D,18AA2C
172F23,172E08,172FC7
18AA4E,18A9ED,18A9F9
172DCF,172D8A,172DFD
189FD0,18A1E2,18A02C
173159,1732D3,173118
18ADBD,18AB94,18AD6D
173294,17323B,173240
18AC4C,18ADE7,18AE7A
17327C,17342B,1732F9
18AB0E,18AD5B,18AD8C
173340,173270,173234
18AB36,18AF4B,18AB74
173486,173525,17331A
18AE58,18AC54,18AD1D
1732B3,1730D4,173236
18AD6E,18AE62,18ADEC
173323,17324C,173321
18AA9E,18AC80,18ACA7
1733CF,17324B,17342F
18ADA3,18B038,18AFE3
1730B3,1731C8,173329
18AD4F,18AD29,18AD45
173348,17321A,173200
18ADD0,18AB98,18AAB4
173248,1731DA,1732FF
18AC6E,18ACBD,18ABC0
1731F9,173302,1733CB
18ACA4,18AC26,18AE3A
1733A3,17325B,173377
18AD05,18ACB9,18AB9B
17311A,173199,173243
18AD49,18AF9A,18AD56
1732F3,17329A,173241
18AC73,18AA28,18ABA8
1730F6,17322C,1731EB
18A9DF,18AB10,18AD71
1731AD,173239,173056
18AB2A,18AAFD,18AC26
1731F7,1731A3,172F27
18AABF,18ACB5,18ABB0
1733F3,173320,1731BF
18ABE6,18AD4C,18ABBB
