{'CALIB_RAW_DAC_START_I': 753664, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-6E3AD,-6E2A5,-6E2A1
-5664F,-566C8,-56767
-6E26D,-6E179,-6E2C4
-56895,-5669D,-566B7
-6E287,-6E16B,-6E13A
-567C5,-567A9,-5680C
-6DF30,-6E070,-6E20C
-56818,-56801,-567B9
-6E144,-6E2E2,-6E297
-56573,-565C0,-568CE
-6DFCE,-6E19F,-6E197
-568F2,-56780,-56867
-6E28F,-6E220,-6E101
-567AD,-5654C,-5662B
-6E0F4,-6DFF8,-6E36E
-566B6,-565F8,-56467
-6E018,-6E112,-6E320
-56638,-564C6,-566EE
-6E12A,-6DF84,-6E129
-5667D,-56899,-56838
-6E10E,-6E0F0,-6E0AA
-56496,-56618,-5645B
-6E001,-6E0F7,-6E18C
-56593,-565D7,-5674D
-6E058,-6E0D0,-6E365
-56487,-56726,-5645C
-6DF93,-6DF2B,-6E016
-5665A,-566C1,-566D9
-6E014,-6E0B1,-6DFF4
-56599,-562AE,-5652B
-6DEDB,-6DF78,-6E049
-565AA,-56465,-564B2
-6DEC1,-6DE75,-6E233
-56836,-566B1,-56673
-6E156,-6E15A,-6DFB6
-56875,-56705,-566BF
-6E215,-6DFF1,-6E108
-566F7,-56712,-56558
-6E050,-6E06E,-6DF4F
-56752,-56726,-56648
-6E064,-6E088,-6E297
-566D1,-565A9,-565EC
-6E1F6,-6E237,-6E198
-566C8,-56799,-5672B
-6DF91,-6DECC,-6E02F
-567AE,-5653F,-565A9
-6DFC9,-6DF77,-6E13C
-56536,-565CA,-56684
-6DFAF,-6E0DD,-6E168
-56639,-565CB,-565F9
-6E044,-6E06F,-6E0FB
-56738,-5679E,-56693
-6E183,-6E059,-6E2B7
-56836,-565C1,-56594
-6DF62,-6E15F,-6E1D9
-56720,-565D8,-564DE
-6DEE5,-6DEF9,-6E1E0
-56515,-566AA,-56577
-6DFDC,-6DEE6,-6E13E
-56564,-5664E,-5663F
-6E013,-6E08D,-6E055
-5658C,-56660,-56830
-6E056,-6E121,-6DFB0
-56751,-5659D,-56732
-6DF86,-6E11B,-6E051
-5780E,-577D9,-576D9
-6E151,-6E28A,-6E0EB
-569FA,-5661F,-56637
-6E3D3,-6E371,-6E249
-56816,-5660D,-56605
-6E279,-6E098,-6E118
-5690E,-567C2,-565CC
-6E1E2,-6E117,-6E121
-56898,-566DF,-567E3
-6E2ED,-6E2CC,-6E203
-5697E,-56725,-565B3
-6E04B,-6E261,-6E3E8
-567CF,-56839,-56889
-6E034,-6E0AA,-6E1E0
-567BC,-56777,-568BB
-6E0DE,-6E13D,-6E131
-564F6,-565E1,-565EC
-6E28E,-6E1FC,-6E27E
-567BF,-568D0,-56838
-6E290,-6E27A,-6E21E
-5681F,-56652,-56645
-6E1C3,-6E0A0,-6E220
-5670F,-56630,-567BE
-6E31B,-6E279,-6DEF8
-5663F,-5662F,-56505
-6E07B,-6E238,-6E0BF
-56568,-56699,-565C5
-6E20E,-6E004,-6DFE3
-56640,-5645F,-56534
-6E064,-6DFE7,-6E139
-565D2,-565EB,-56509
-6E004,-6E021,-6DE27
-5673A,-5669E,-564CB
-6E11F,-6E0C2,-6E1DA
-56887,-565ED,-565A2
-6DF70,-6E214,-6E26D
-567CF,-5665E,-564EE
-6E28E,-6E092,-6E12C
-567D3,-567B8,-5663D
-6E10C,-6E178,-6E243
-5667E,-56620,-56707
-6E095,-6E308,-6E110
-5677F,-56813,-56942
-6E131,-6E06D,-6E061
-56841,-56771,-566A3
-6E0E5,-6E250,-6E087
-566BB,-565E7,-565C3
