{'CALIB_RAW_DAC_START_I': 786432, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-6AE5D,-6ADE6,-6AF53
-82792,-829D7,-82791
-6AD1B,-6AE12,-6AE29
-82A1A,-82B2D,-82679
-6ADC6,-6AE41,-6AF97
-8273F,-828FB,-827B7
-6ADDA,-6ADB1,-6AE52
-82A53,-82837,-8289A
-6AE97,-6ADCB,-6AE23
-829D2,-82921,-8293D
-6AEF7,-6AE51,-6AD1C
-825F0,-826B6,-825B3
-6AEBD,-6AC4D,-6ABC0
-825C3,-8265D,-827E2
-6AB89,-6AC9B,-6AD2E
-824B7,-8270D,-8285C
-6ACB4,-6AC90,-6AD3A
-82826,-827CD,-82714
-6AD4F,-6AD96,-6ABF5
-8288D,-8291C,-8283E
-6AD31,-6ADDD,-6AD19
-826C9,-8272D,-82733
-6ACA1,-6AD4B,-6AB40
-8268E,-826A7,-82700
-6AD2A,-6A9F6,-6AB5B
-8280E,-825F0,-8252C
-6ABD9,-6AA9E,-6AC8C
-8268C,-82860,-82664
-6ACF5,-6AD29,-6AD0E
-82739,-82604,-825BE
-6ACA7,-6AC35,-6AC35
-826E3,-825C1,-826F7
-6AA10,-6ABDF,-6ABBA
-82549,-825BC,-823BD
-6AA7B,-6AAFC,-6AA92
-82527,-82544,-8252E
-6AB56,-6AACF,-6AA2E
-823A5,-8253C,-82521
-6A845,-6A950,-6A9A1
-8241D,-823A0,-82683
-6AB21,-6AADD,-6AAC7
-825B4,-825BF,-82494
-6AB42,-6AA2E,-6A99C
-8274B,-827B5,-82641
-6ACF6,-6AF2C,-6AE12
-827AD,-827AB,-828EC
-6AD74,-6AD86,-6AD33
-828C9,-826DE,-826DD
-6AE0D,-6AC34,-6ABA3
-827F5,-8291B,-829AC
-6AC8A,-6AB59,-6ABBB
-829B8,-8281B,-82863
-6AC5C,-6AE25,-6ADC6
-8286F,-8295F,-827E8
-6AC91,-6AD8B,-6ADD1
-826E8,-82715,-82AC0
-6AD38,-6ADE6,-6AD37
-826A3,-825D0,-82632
-6AB73,-6AB23,-6AD63
-82617,-825EC,-82620
-6AC37,-6AC00,-6AC6F
-826D7,-82531,-8256B
-6AC38,-6ABC9,-6AC08
-82719,-826AC,-825F5
-6AE32,-6AAED,-6AB1D
-8268B,-82757,-825AC
-6ABC0,-6AB98,-6A9D6
-826D5,-82650,-82581
-6ABE0,-6AB7C,-6AD2B
-8261F,-82699,-8258C
-6AB4A,-6A972,-6AAD3
-82534,-82639,-824B4
-6ACD2,-6AA74,-6ABBC
-825AA,-8258C,-8266E
-6AB23,-6AB44,-6AADD
-82476,-82618,-82402
-6AB68,-6A9CD,-6A9A4
-824DC,-8252B,-82775
-6AC62,-6AA91,-6AAC2
-82458,-824C7,-823F0
-6AB8A,-6AA43,-6AB2A
-8231B,-825AF,-82568
-6AA29,-6A8C9,-6A8E0
-82114,-823E0,-8246F
-6A7E0,-6A667,-6A985
-82617,-82370,-823DC
-6A9DA,-6A97F,-6AA8A
-8243E,-822C7,-82313
-6A9B4,-6A8D4,-6A8C7
-824D6,-82555,-824F7
-6A986,-6A919,-6AA47
-8252B,-8246C,-825E7
-6A899,-6A9C1,-6A9C6
-823FE,-82349,-8241A
-6AA77,-6A780,-6A7A9
-824C8,-8239B,-82341
-6A854,-6A84A,-6A8FB
-82319,-82389,-823EB
-6A9F0,-6A92C,-6A9A2
-82389,-82425,-82514
-6A91F,-6AB62,-6A8F9
-8224B,-82477,-82357
-6A835,-6A7A3,-6A605
-82357,-8222C,-8240C
-6A9B6,-6A692,-6A7D2
-82136,-822C6,-82335
-6C402,-6C64A,-6C3A3
-82233,-82273,-82205
-6A947,-6A87E,-6A858
-82256,-821D6,-823F9
-6A7F4,-6A77B,-6A767
-82290,-82327,-821AA
-6A867,-6A7CD,-6A787
-822A0,-8230A,-82444
-6A7B9,-6A865,-6A75F
-8215D,-82210,-822CE
-6A8AB,-6A778,-6A89F
-8218A,-82307,-82317
-6A705,-6A774,-6A789
-8210C,-8210E,-82272
-6A894,-6A7E5,-6A7AD
-82102,-822B3,-82347
-6A5A9,-6A5D8,-6A766
-8212F,-821AC,-8233F
-6A983,-6A88F,-6A756
-82286,-822E0,-82236
-6A6DE,-6A9FD,-6A815
-82247,-820D4,-82300
-6A649,-6A873,-6A7AE
-82222,-821DA,-822F7
-6A7E4,-6A745,-6A63E
-820EF,-82195,-821E7
-6A695,-6A670,-6A6A7
-820BD,-8206E,-82032
