{'CALIB_RAW_DAC_START_I': 655360, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-1BE11,-1BFB8,-1BDAC
-3379E,-338F6,-338AB
-1C060,-1BF7B,-1BEB7
-33702,-33868,-3381A
-1BF0E,-1BD3B,-1BCBD
-337DA,-3395C,-33787
-1BD74,-1BDC5,-1BE56
-338DC,-33982,-3384C
-1BD50,-1BBAD,-1BC96
-33923,-33846,-33812
-1BED0,-1BFE4,-1BD8B
-337DE,-33888,-33940
-1BC50,-1BD34,-1BB16
-33810,-33885,-33649
-1BF69,-1BD98,-1BDC0
-3376A,-336A6,-336CE
-1BD47,-1BCF8,-1BE01
-33550,-33841,-33644
-1BDDB,-1BC01,-1BD6D
-335EE,-3364F,-3370C
-1BB4C,-1BAD1,-1BC8D
-336D2,-3375C,-3363C
-1BD9B,-1BD9E,-1BCCE
-336C2,-335E7,-335CD
-1BB47,-1BB03,-1BAAB
-33782,-33564,-335EC
-1BC53,-1BCB1,-1BB76
-3372E,-3352D,-33637
-1BA02,-1BD6C,-1BCC8
-336A9,-33669,-3353D
-1BDEA,-1BA5F,-1BC1D
-33596,-334F8,-33525
-1BB9E,-1B96E,-1B9D5
-33707,-33692,-33712
-1BC0E,-1BA5B,-1BA48
-33597,-335A8,-3350B
-1BB4A,-1BB6A,-1BA3E
-33404,-3356C,-33444
-1B9D8,-1B9FB,-1B974
-335E3,-3345C,-33328
-1BB17,-1B940,-1B843
-334C8,-3348A,-333F9
-1B9DF,-1B9C0,-1B8F3
-333FA,-3333A,-332A5
-1B976,-1B995,-1BA70
-3339B,-332CA,-3357D
-1B85B,-1B81D,-1BAA3
-331ED,-3339E,-332F6
-1B84E,-1B8C0,-1B79E
-332C5,-331E0,-333F5
-1B810,-1B9A3,-1B950
-33486,-33364,-33334
-1B9C1,-1B82D,-1B804
-332E9,-331FE,-334F5
-1B8ED,-1BA79,-1B997
-33160,-3318F,-330DD
-1B91E,-1BA21,-1B92F
-336A7,-33736,-33667
-1BB81,-1BD0F,-1BAE1
-33580,-335DD,-335AB
