{'CALIB_RAW_DAC_START_I': 65536, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
12C857,12C68D,12C7CF
14420F,1444A2,14427F
12C8CE,12CA02,12C778
144138,144186,14410B
12C914,12CA73,12CBD0
1443C2,14448E,1445D8
12CA84,12C86B,12CAF2
144553,1442DB,14424B
12CD1A,12CA3A,12C861
144469,1444C3,144281
12CA7C,12CB34,12CA04
14460E,14440C,1444E8
12CBE9,12C9F0,12CA83
14448A,14443A,14446F
12CA66,12C910,12CA3C
1445D8,144470,14447B
12C99F,12C901,12CBE5
1444D6,144796,144654
12CCEF,12CBAF,12CC4B
144515,1444A7,1446C4
12CBC6,12CAF4,12C92E
144461,144515,1447B4
12CB71,12CD1D,12CB80
144678,1446FE,1447C7
12CAB1,12CB64,12CA3B
14453E,144436,1445B7
12CAA4,12CA58,12CA55
14462F,144514,1445A5
12CB73,12CC93,12CCFA
14459E,144445,1445A9
12CB26,12C946,12CAF4
144782,144537,14490B
12C982,12C9E3,12CB76
1445C2,14456E,144798
12CB4C,12CA9C,12CAC4
1444F2,1442FE,1443BD
12C8D8,12C7F6,12C809
14445F,144475,1444A0
12C874,12C8F5,12C85E
14474B,14433B,14459B
12C95A,12C96E,12C730
144270,14444E,1442F6
12C7DC,12C94D,12C8AD
14441A,144599,1443E1
12C871,12C959,12C7DA
14428D,144236,144195
12C7ED,12C914,12C928
1445E1,144245,1442E1
12CB8B,12CA94,12C8EB
14455C,144539,144574
12CBC9,12CAFC,12C951
14443A,144739,14437D
12C95A,12C992,12C9FC
1444D2,1444F7,144488
12CB2D,12CC3E,12CA0B
14448D,14462F,1443A1
12C9EA,12CA00,12CAEA
144659,144501,144371
12CB6F,12CA04,12C99E
1445E1,1445EB,1444FA
12CA07,12CD58,12C973
144426,144453,1444D8
12CB10,12C986,12C93B
144302,1445ED,1444DC
12CA87,12CA40,12C966
1443F8,144480,144609
12CB31,12CA8B,12CA63
144369,144455,144404
12CB89,12CBD9,12CAE5
144663,1445A9,14447B
12CAE6,12CB72,12CB45
14473A,144612,1446C4
12CBBE,12CDC3,12CD5E
1446E9,1446A7,144615
12CC1E,12CBBF,12CB76
144678,144628,144568
12CB81,12CAEF,12CC0C
1446C2,144730,1445A7
12CAE5,12CBF7,12CACB
144758,1446DC,144703
12CC11,12CBFB,12CBBD
14461F,14466D,144545
12CCA5,12CBC5,12C9DA
144819,1447EC,144833
12CC76,12CCBD,12CC74
1445DC,14474D,144731
12CCEA,12CF13,12CCF2
14472E,1447FA,14479C
12CCD8,12CB47,12CE7F
14473E,14466D,144637
12CF03,12CCD9,12CE06
144843,1446A8,144869
12CCDA,12CF21,12CDB8
14486F,144921,144750
12CCD1,12CD37,12D048
144840,144A0D,144989
12CF1C,12CEBE,12CDAA
14481A,14472C,14484B
12CE2C,12CDD8,12CD84
1437C1,14396F,143A62
12CE38,12CC67,12CDD8
1449A5,144994,144644
12CE80,12CBF4,12CD83
1447A0,144782,144843
12CE52,12CD5F,12CE8C
1446C5,144913,1448B1
12CE52,12CCA7,12CE67
144851,144833,1447BE
12CEF4,12CF25,12D003
144875,1449F1,1449C5
12CD1B,12CD2D,12D0C2
1448E0,144AF2,1447CB
12CFC3,12CE46,12CFAD
144AB9,144A12,144AD7
12CD9D,12D01E,12CF6F
144C35,144A42,144AC7
12D189,12CEF1,12D10A
144BAD,144A4C,144992
12D158,12CEBC,12CF5B
144A24,144BE0,1448A8
12D035,12D003,12D0D9
1449F0,1448FD,1449C7
12D073,12D100,12CF02
144A86,144B01,144BE6
12D0ED,12D0F8,12D02E
144A14,144BC1,144B83
12D160,12D155,12D10F
14499C,144B24,1449B7
12D036,12D2A9,12D175
144DD7,144D30,144B59
12D1FF,12D02D,12D182
144CAA,144CC3,144B88
12D22D,12D2A1,12D281
144BCE,144ED7,144CEF
12D3C3,12D2C9,12D3C7
144DFE,144D37,144DF6
12D1B5,12D10A,12D1B7
144CCE,144C41,144AED
12D23A,12D26C,12D1F6
144C4D,144D8C,144C35
12D22E,12D2AD,12D26C
144C3E,144CAD,144CCA
12D351,12D1EB,12D234
144DAD,144D03,144C8E
12D222,12D2CD,12D2A4
144C2C,144E61,144D14
12D3A7,12D2AA,12D3B7
144F44,144CE7,144FAE
12D41E,12D2C6,12D272
144F3C,144CAD,144D53
12D3CD,12D449,12D373
144F18,144FE8,144F59
12D289,12D3D2,12D10F
144C5D,144BB7,144E24
12D3EC,12D3B8,12D60B
144EEE,144E7D,144E69
12D482,12D44D,12D2D8
144ED1,144CC6,144C9C
12D557,12D495,12D19F
144E5C,144F75,144E40
12D1AF,12D420,12D383
144DCF,144E34,144CFB
12D4B3,12D70E,12D2AB
144EB9,144E6E,144E61
12D019,12D04D,12D22B
144A59,144A92,144AA3
12D0FA,12D065,12D086
144B8B,144AE0,144B7A
12D17C,12D171,12D314
144ABF,144C4B,144C6A
12D1FE,12D17E,12D09F
144BC6,144B25,144CD7
12D2CA,12D1AE,12D0E3
144DF7,144C60,144BF7
12D3F4,12D3DA,12D2A4
144E5A,144D2A,144E30
12D36F,12D244,12D3FA
144E0D,144F09,144D6C
12D266,12D3FC,12D077
144D04,144D95,144E36
12D2CD,12D18C,12D1EC
144D12,144C73,144C57
12D295,12D242,12D2B7
144CAD,144D1B,144B9C
12D140,12D0D7,12D385
144C55,144E5E,144D37
12D3F5,12D248,12D2EC
144D57,144D16,144CAC
12D30B,12D259,12D30F
144E6B,144ED0,144DE9
12D4D1,12D568,12D481
144DBB,144F8A,144EC2
12D1B7,12D289,12D305
144D31,144D18,144EEA
12D4B6,12D341,12D212
144DBA,144F1B,144D8D
12D56D,12D320,12D44F
144FF1,145072,145146
12D611,12D5ED,12D65D
144FDD,144EAE,14504A
12D3BF,12D586,12D3FC
144FE5,144FD9,145105
12D63A,12D594,12D53C
144E4F,1450FA,144FB5
12D577,12D520,12D603
144F9D,144F28,1450AF
12D5CB,12D4EF,12D575
145090,144F7F,145072
12D6D3,12D49A,12D6AF
144FDE,1450A8,145160
12D4E5,12D516,12D414
145316,14512C,1450DA
12D545,12D5DD,12D63F
1451E7,14501B,144FB8
12D77E,12D6E8,12D68B
144F90,144FB9,1451E8
12D546,12D71C,12D68F
1450E0,144F4B,145287
12D55F,12D761,12D699
145022,1451A5,1451C1
12D74E,12D7AA,12D6F1
144FBF,1450F4,145146
12D70D,12D70E,12D510
145181,144F89,1452BA
12D667,12D71E,12D6AA
145249,145155,1451FA
12D805,12D865,12D745
14375E,14352C,1434D6
12D68B,12D5E2,12D61D
1451ED,1451AB,145112
12D5F0,12D76E,12D80C
14511A,14542E,14535E
12D907,12D8FC,12D79A
145298,14536A,145231
12D6CA,12D7FB,12D8DE
145250,145163,14521A
12D901,12D7E2,12D9BF
145473,14516A,14535A
12D8F9,12D71A,12D84B
14534E,14510D,1453F6
12D8C5,12D7FD,12DA21
1450E1,145267,145263
12D762,12D6E4,12D7FC
1453FC,1454CF,1454E3
12D96A,12D913,12D8ED
1451E3,14527A,14535A
12D7EF,12D9FA,12D959
145315,145346,1452EA
12D909,12D8E1,12DA24
14530B,14528D,1452F5
12D8A5,12D770,12D8B5
1452B6,14532B,1452C6
12D8BB,12D766,12D8C7
1453AD,1452D0,1453A0
12DB74,12D77D,12D8A3
145282,145491,1454C2
12DA88,12D8C7,12D9B2
145498,1452AF,14547D
12DA6B,12D941,12D7AC
1454C7,145376,145490
12D937,12DA74,12DA11
145558,1454AC,145346
12D92C,12DACC,12DA8A
145637,145582,1454C1
12DB6C,12DD17,12DBA0
145856,1456C3,1455C8
12DBAC,12D98D,12DB6F
14573A,14560D,14579A
12DC64,12DCA0,12DC4E
145671,14562A,1455BF
12DB76,12DBEA,12DAB7
145612,14564C,14570D
12DAE7,12DB6D,12D926
145408,14566C,1454D3
12DBF1,12D9FE,12DA43
1456E9,1455C1,1457F4
12DC13,12DCB0,12DB01
145719,14565B,14587A
12DCE6,12DCD1,12DAA0
145501,1456DF,145772
12DC10,12DCB6,12DC0C
14564A,1457CD,145740
12DCA7,12DCBC,12DE00
145931,14575D,145656
12DC09,12DEC6,12DC67
1458DB,145748,1456FB
12DCEE,12DC5B,12DD93
14580F,14580F,1457F3
12DC95,12DD18,12DBF2
14572E,14579D,145818
12DE45,12DDD5,12DF1B
145713,145811,14576F
12D9BF,12DA68,12DA7C
1452EB,145525,14542F
12DB1D,12DA72,12DA54
14569B,145519,145627
12D9A7,12DB79,12DA1B
145573,14568C,145466
12D9A3,12DABD,12DA13
14558D,1454B0,14554C
12DC08,12DB33,12D943
145487,145444,145489
12DA68,12DB91,12DBD1
145504,145487,1454FF
12D956,12DAF6,12DA18
145501,145627,14549A
12D9E2,12DCD6,12DAE9
14557A,1456C5,145665
12DCF1,12DA44,12DB85
14549A,1456EE,1456B9
12DBA0,12DAC4,12DAF4
145779,145682,145632
12DC03,12DBC4,12DB65
1455B2,145573,1456AB
12D995,12DB8A,12DA5E
14581C,14559F,1455DC
12DA32,12DA4C,12DA75
