{'CALIB_RAW_DAC_START_I': 851968, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
1A1300,1A15B3,1A13C2
1898E6,189B09,18991D
1A130E,1A130A,1A1761
189C03,189A97,189A84
1A1288,1A14BC,1A146E
18944A,189761,189783
1A1132,1A11E9,1A1396
189669,189848,189954
1A11D4,1A1385,1A11AD
18991B,18994B,18969F
1A137D,1A11A7,1A11DE
1896D3,189909,18986B
1A123C,1A1132,1A108B
1897B2,189742,18972B
1A1260,1A106F,1A10D5
1895C5,1895D4,1896AE
1A12F5,1A11E5,1A12B6
1897B1,1897F0,1896A7
1A0F92,1A11F9,1A10FF
18967F,18963D,189776
1A1129,1A1034,1A0FE9
1893CF,1896BB,18945D
1A0FD9,1A0F90,1A10C2
1896FD,189626,189617
1A1106,1A1188,1A0F64
189762,189444,1893FE
1A0E4E,1A0DEC,1A0D99
1894F8,189575,1895E6
1A0E9C,1A0EFD,1A101C
189581,1897D2,1895B2
1A1058,1A10F0,1A0E3D
1894FE,189473,1894B0
1A0F25,1A11C2,1A0ED7
189496,1894B3,189523
1A0F2A,1A0FFC,1A113C
189650,189559,18951F
1A0F0B,1A0FD4,1A0F6A
1897EA,18966F,18974F
1A120D,1A11CE,1A10EE
189767,189704,1896D6
1A10F6,1A1209,1A1283
189701,189777,189662
1A0FCA,1A1027,1A11FB
1894C9,18972B,1895D8
1A0F3C,1A0FE9,1A1271
18965D,1895E1,18963A
1A0FBB,1A11DD,1A106C
18967B,18961F,189694
1A113C,1A0F5B,1A0F8A
1895E8,1896AF,18954A
1A1320,1A1041,1A11CD
189867,189642,1895E5
1A133C,1A11DF,1A113E
1898F2,189664,189617
1A1012,1A10DB,1A100D
1897B8,189724,18966A
1A0EDB,1A1161,1A1087
189607,1895B8,1896F5
1A0FDA,1A119E,1A128C
189612,189634,189557
1A11A2,1A0EC6,1A0E52
189671,189636,189689
1A100A,1A106C,1A0F89
18949A,18972F,189500
1A0F9D,1A10E4,1A0E87
1894E4,1893E1,1893B9
1A0F66,1A0D7B,1A0FED
18931D,189245,18954A
1A0998,1A09EC,1A0A38
189B75,189A33,189A16
1A13C4,1A14DA,1A1491
189C2D,189B6F,189A46
1A1679,1A154F,1A15A1
189AD4,189A16,189952
1A13AD,1A160C,1A152A
189A33,189A38,1899F6
1A1545,1A13DF,1A1268
189A4E,189BBF,189997
1A1571,1A13BA,1A143B
1899ED,18996F,18993A
1A124B,1A1303,1A1506
18994F,189A08,189800
1A11B0,1A13CA,1A149F
18995D,189965,189906
1A134B,1A16E8,1A161E
1898F1,189A34,189AF4
1A129B,1A14C6,1A156F
189A17,189A56,189836
1A1539,1A1363,1A14DB
189A95,1897BF,189961
1A133E,1A11C7,1A1221
18992C,189845,18973D
1A130F,1A1445,1A1250
1899EF,1898DD,189A1A
1A1374,1A14AB,1A135A
1896F0,1897E5,1897CF
1A1204,1A1438,1A13FE
1898DF,189AEC,1897C0
1A129A,1A13FF,1A1325
18988D,189842,189706
1A133A,1A13D8,1A139B
1899F8,1899B6,189B02
1A146F,1A162D,1A1528
189AB1,189941,189BCD
1A12AD,1A161A,1A15E8
189B5E,1899A9,189B21
1A1405,1A1370,1A1456
189A9E,189A39,189899
1A13A9,1A14E1,1A1616
189A12,1899AF,189ACB
1A1536,1A134F,1A13E0
189A48,189876,189925
1A1485,1A14B5,1A1501
189A4B,18978A,1899F1
1A1359,1A14B4,1A13CD
189997,1898B4,189946
1A149D,1A1686,1A1522
189935,1899C6,189A2C
1A146B,1A14A1,1A117A
18993B,1899A6,189977
1A172D,1A1370,1A13FB
1898C2,1898AF,1898C9
1A15B1,1A14B6,1A15CB
1899BA,18989A,1898AB
1A1502,1A141B,1A14EF
189AA7,189A54,189A47
1A1387,1A1527,1A136A
18990D,189A0C,1899EA
1A12FA,1A1375,1A1446
189A0E,1897FB,189814
1A1249,1A1351,1A139D
1898D8,189679,189892
1A12C0,1A13E5,1A1394
1895DD,189597,18955A
1A10BE,1A1016,1A0FC9
18970E,189583,1896DA
1A114D,1A1179,1A103D
1895D5,18966B,18933E
1A106C,1A1109,1A0F4D
189664,18963B,1896BC
1A10DF,1A0EB0,1A1172
189604,18948D,189541
1A0FB6,1A0EE8,1A0F6D
1894E6,189529,1894F1
1A0E5B,1A0F72,1A0FF2
1894E9,1894FD,189437
1A0D63,1A0D90,1A108F
1896B2,189467,1895FD
1A1088,1A0E81,1A1212
1894CE,1895BA,1893AD
1A0F44,1A0EB0,1A0E78
189628,1892D0,1894D9
1A0DC2,1A0FD8,1A0FC0
189595,18944E,1895B2
1A0EA4,1A10A7,1A0FCE
189470,1894B6,189429
1A0F02,1A0F47,1A0FF1
1894CB,1894BA,189606
1A0F5E,1A0E22,1A0F8E
1893F0,18937C,1893EE
1A0F03,1A0E6D,1A0F78
1894C9,189511,189430
1A1134,1A0F6B,1A1024
18957B,1894D2,189515
1A0E2D,1A0EDB,1A0C21
1895FA,1895AE,189592
1A0F88,1A118A,1A1109
18969D,1896EC,1895C5
1A1030,1A1206,1A0F23
18955F,189523,1894D4
1A0DA0,1A0F11,1A1016
189550,18941F,189649
1A112B,1A10DC,1A10D0
189712,1895E3,18963D
1A0F32,1A1042,1A0F5E
18938D,1894FC,1896D9
1A1033,1A0E8D,1A0F92
1894B8,189460,18945F
1A0E6C,1A0CB5,1A0D87
1893ED,18941A,18937B
1A0EFB,1A10E4,1A0E8F
1894D1,18945C,18957B
1A109A,1A0F95,1A0E36
1896BA,1893BD,1892AA
1A0F24,1A0F61,1A0EE4
18948E,1894E3,189276
1A0C49,1A0E0A,1A0E89
189424,1892B6,189425
1A0E60,1A0EA8,1A1002
18921A,189527,1892C9
1A0EBB,1A0FE3,1A0FA2
1893F3,18944D,1895C9
1A0D09,1A0E41,1A0CFD
189143,189520,18939D
1A0DBF,1A0DF6,1A0CFF
18944E,189410,18954A
1A03EF,1A02A4,1A036A
189670,1896B3,18971C
1A0FEA,1A1257,1A1237
1896A7,189859,18960B
1A0FC0,1A1206,1A1195
1896CF,1896D3,18977B
1A10F6,1A102B,1A10B9
1897B6,1897D9,1896D0
1A1324,1A11D7,1A1256
1896FF,1896A2,1897FD
1A0F0A,1A1259,1A0FD9
1897D6,1895E9,1896CC
1A0EE1,1A0FA5,1A0F67
1894F1,189347,18941B
1A0EBA,1A0F4F,1A104C
189467,1895B6,18956D
1A1151,1A12C1,1A1140
1895F4,1896E8,189606
1A116E,1A0F5F,1A10D2
189668,1894C6,1895CD
1A0F2C,1A11AE,1A0ED6
1894F5,1892C5,189552
1A0ED3,1A0DAA,1A0EFE
189458,18938D,18938C
1A0D30,1A0EDA,1A0E26
1892C8,1895B8,189367
1A0D08,1A0F27,1A0F74
1894FB,1894D4,189333
1A0F54,1A0F98,1A0EC5
189475,189454,18954C
1A0EC0,1A0FDE,1A0E92
1893C2,1893F2,189392
1A0E96,1A0F77,1A0DCD
189776,18958B,18982E
1A1141,1A1095,1A106E
1895F7,1894E4,1895DB
1A1083,1A1145,1A11C7
18967F,1894D2,189592
1A1075,1A0E63,1A1008
1895CF,189635,18943A
1A0F78,1A101C,1A1097
1893C8,189534,189529
1A0EAE,1A0E13,1A0E7F
189794,18957E,189654
1A0F52,1A1099,1A10C3
18973D,189664,1893A6
1A0E0F,1A0F8E,1A0F2C
189611,1893EB,1893AF
1A102A,1A0EE8,1A1049
189731,189306,18956D
1A1179,1A0DED,1A0D2F
1892F5,189577,18961F
1A0DD9,1A0F7A,1A0E81
18958C,18940A,189378
1A1042,1A0DA4,1A0E68
189658,18953A,189474
1A0F83,1A0E7A,1A1173
1895C7,18943C,189440
1A0E48,1A1080,1A0EF5
189541,18967A,189455
1A10BA,1A0ECD,1A0E64
189509,18942C,189635
1A0DF3,1A10FA,1A108C
189485,18974B,189410
1A0EB9,1A0E43,1A0DF9
1891BB,189327,189201
1A0C92,1A0CE7,1A0CB8
18926E,1890C7,1893AC
1A0CC5,1A0D64,1A0CD9
18932A,18909C,189036
1A0C32,1A0D2F,1A0BE9
1891B7,189198,189300
1A0D42,1A0BFE,1A0DBB
1892D5,18922F,189348
1A0C39,1A0C79,1A0B19
1891EE,189049,189299
1A0B65,1A0C83,1A0CBE
189254,189223,18920A
1A0B36,1A0AB8,1A0A9F
1890E9,1890CC,1890CA
1A0CE2,1A0B4C,1A0D4A
1892C6,1891AC,1891FA
1A0AE0,1A0D5A,1A0CDA
189315,1890E9,18917E
1A0B6B,1A0C81,1A0BB0
1891A3,1891FA,188F62
1A0BA4,1A0CE3,1A0B66
189204,1890F8,189093
1A08E8,1A0C23,1A0B9F
1890D3,188F6D,189168
1A0BC4,1A0B3D,1A0BBB
188F76,189012,189011
1A09C8,1A0A60,1A0CAC
189056,18904B,1890DB
1A0BC0,1A0997,1A0A03
189135,188E5F,189141
1A0B6F,1A0A33,1A0B58
189189,189218,189190
1A0C15,1A0988,1A0BAD
18915E,188FE1,189029
1A0AE2,1A0A99,1A0B8E
1891BB,189114,189128
1A0C2F,1A0B16,1A0B3A
189079,189020,1891DC
1A0ADB,1A0ACE,1A0886
1890A9,189079,189039
1A0A12,1A0AA7,1A09BD
18912A,18908F,189018
1A080E,1A0A01,1A0B5A
188FB5,188DCD,188E59
1A0958,1A088E,1A09B0
188F55,188E77,188DF9
1A0976,1A0BDA,1A0996
188E59,188E41,1890DD
1A0AD8,1A094F,1A092F
18908D,188FA7,18907A
1A0844,1A09F3,1A088D
188FA9,18902E,188ED3
1A0A95,1A08DC,1A0A5E
