{'CALIB_RAW_DAC_START_I': 524288, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
DEE,C64,D30
-16E2E,-16F2B,-16F00
BA1,D11,B2F
-16CA8,-16D81,-16E5A
B89,CA9,C69
-16D9C,-16E88,-16CA4
BB4,CC6,E44
-16BF5,-16BC5,-16DEC
CCE,E2D,DE1
-16D18,-16BEA,-16C96
C61,C54,D68
-16CDB,-16D37,-16CA2
B98,C12,B40
-16D6E,-16DF6,-16DEB
BD6,D14,CEB
-16DA3,-16EE4,-16E58
D69,D01,D26
-16CD5,-16DF5,-16DD3
D74,B4C,BC4
-16C7B,-16C92,-16DE0
DBB,D3F,B69
-16D87,-16DA6,-16D53
D50,DB4,C78
-16C43,-16C5D,-16DFE
C8E,B48,CF9
-16D2E,-16C9B,-16C0C
EE2,D05,A65
-16CD6,-16DE0,-16E5F
CDD,D71,D12
-16DCE,-16E7E,-16D41
D6C,CE6,D7C
-16D46,-16C6C,-16DC0
B5B,D67,BF2
-16E85,-16F67,-16DD4
BCA,C0B,BEF
-16E15,-16F77,-16E3E
C27,BC7,D77
-16E16,-16EC5,-16E3D
B39,D1A,A81
-16DFF,-16ED4,-17091
ACD,B39,B3D
-16DAB,-17035,-17126
A3C,931,9BC
-16FD2,-16C65,-16EE6
D17,B0F,BBA
-1714F,-17177,-17016
752,961,947
-16FA6,-171D0,-16FDF
79F,8B9,9FE
-1709E,-1705E,-1721A
8A9,A58,AF6
-1704E,-170A9,-16F8E
AF7,9D8,A36
-17088,-16EE6,-16FFD
A51,9F9,A42
-16FFF,-16FC0,-171A7
A7D,BBF,A46
-16F56,-16F1C,-16E77
B17,B08,C85
-16DDA,-16EC3,-16EBF
C59,C14,BD6
-16EF0,-17078,-16E17
9E2,97B,ADE
-16E5C,-16F19,-16E71
BA2,D2B,A9A
-16FC6,-17088,-16FA7
B04,A4A,A2C
-16DC1,-16F16,-16F58
B5C,BCD,A43
-170C1,-16E4F,-16DEA
BDF,AFC,A40
-16EC2,-16F0F,-16EC6
9E6,A61,B4C
-16F0B,-16D93,-16F61
8A7,AB5,ABB
-16F80,-16F12,-1714A
948,968,AFC
-16FAA,-16F5C,-17005
996,8BA,9EF
-170DC,-1707C,-1708C
9F7,89A,A19
-170CD,-1709E,-170D0
87D,7A2,8C2
-17041,-1708C,-16F52
B0F,9A2,94F
-16F9D,-1712E,-1703A
90E,994,C57
-16E30,-16F45,-16FE2
C16,AF3,AC4
-16F65,-1700C,-16FA2
85E,A6D,96B
-16CBC,-16F26,-1703F
ACB,C0C,B90
-170B4,-16FBA,-1702E
845,9D2,95F
-17190,-17143,-1702D
7A3,A62,AF7
-16FC2,-17085,-16F8A
9F9,96F,9A7
-17095,-16FF4,-170ED
9A7,B8A,98E
-16FE6,-171EC,-170AD
929,AF8,7F9
-17224,-1747A,-171F8
7D0,ABD,921
-171D2,-17147,-170D1
980,86C,989
-17168,-17354,-17297
-98,-260,-36
-16BFA,-16DDD,-16E06
B17,DC5,E1A
-16E11,-16CEC,-16B8B
D38,D0E,F23
-16BA4,-16CF2,-16DD1
B85,D36,F47
-16C27,-16D37,-16D91
B37,D8E,D70
-16CEF,-16DDB,-16DB2
C29,E2A,DBA
-16DA6,-16D36,-16E20
E4F,D00,A8F
-16DDD,-16D03,-16DC9
CBC,C34,D1A
-16C51,-16DB3,-16D92
D32,D3D,D4F
-16E8D,-16DDA,-16D03
B48,C1D,D0D
-16E01,-16D65,-16EA8
B19,BD5,C89
-16FB0,-16FF0,-16E4E
BF1,A29,BAD
-16E91,-16CD8,-16E86
DAB,C89,D95
-16E3C,-16E09,-16DF2
CCE,B99,BF8
-16DA8,-16BFD,-16DD1
D33,A40,B82
-16D2B,-16E2E,-16DE0
C11,CA8,BBA
-16E35,-17049,-16E4D
AD1,CD5,B90
-16DA5,-16D9D,-16EC4
C30,BE9,9DF
-16FA4,-17058,-16D7E
B4C,BC7,AE7
-16EBE,-17079,-16E7A
9F3,C1F,9BB
-16E05,-1700A,-17081
B84,BE6,C50
-16CDB,-17022,-16FCC
B10,D79,B1C
-16EA0,-16F0A,-16E88
B53,BEE,D5D
-16DBF,-16F00,-16E36
B8C,B5B,BE8
-16EDB,-16EEE,-17119
B7C,D4C,A16
-16F76,-171BA,-17097
B90,ADD,921
-17138,-16FCA,-1712E
A3A,93E,C08
-17206,-16EFC,-16DC0
B51,B66,B00
-1702A,-1700A,-1712E
AED,976,90E
-16F1A,-16F26,-16FD3
A8F,A72,B13
-16FB5,-16F92,-17039
C18,D14,B1E
-16F7D,-16F8E,-17018
A97,ACF,C0B
-1706E,-16FAB,-1707C
D57,BE4,B38
-16F8B,-17082,-17064
8B4,B8C,9E7
-16ED9,-17230,-170CE
AF6,906,9C5
-170CF,-17083,-17144
9F5,953,7D1
-17099,-17237,-170E1
962,930,A57
-17219,-171CE,-170BD
95E,964,904
-170EF,-170E8,-171A2
937,891,AC1
-170D3,-1709A,-17048
960,989,997
-16F21,-1732A,-17168
904,B10,9D2
-170BA,-172D4,-172BD
805,963,A1B
-170D2,-17217,-170C2
A23,711,94B
-171FC,-170D1,-171EE
8B0,781,8C8
-1703E,-171BC,-170D4
940,7EB,7A2
-17322,-17020,-1712C
781,8B7,6EA
-170F9,-1703E,-171A1
994,8EB,A6E
-16DF8,-17101,-16F18
A98,AD0,B33
-17128,-17036,-17099
8F9,91E,9A9
-1717D,-16FF9,-172DA
7EC,967,872
-1704A,-1714A,-17134
982,9C1,870
-1714A,-1711A,-17158
A86,867,A36
-171FF,-1717F,-17120
90D,AA1,93A
-17156,-171EF,-170C3
95A,7C7,83D
-170E9,-17270,-1714C
652,7EB,952
-170FC,-17078,-170DD
7E6,944,915
-17187,-17125,-17303
6FC,A51,8B5
-172AD,-17218,-170A2
7F4,84B,982
-17151,-17291,-171D1
7A2,895,8A8
-1709D,-16FF3,-17135
7A4,8E7,887
-1711A,-16F94,-16FC7
85C,912,99D
-170A8,-171A2,-1727D
81D,9A5,9B5
-17009,-1701E,-17176
95E,9D8,919
-171D9,-17056,-17161
7EE,8FD,7F0
-1738D,-1716F,-170A3
2CB7,2BB0,2B2D
-1663C,-16363,-1644A
13F0,16FD,15B9
-16592,-16508,-1654F
1537,1596,14B1
-16576,-1656F,-1654F
14AE,1474,15AA
-16400,-165A8,-16581
15EC,15BF,1508
-164D2,-16458,-1643D
1589,16D4,15E9
-16316,-16406,-16318
17FA,174A,16B1
-162E6,-16418,-162EB
1779,15BF,14F6
-165D1,-1652F,-164D4
1745,188C,1664
-1662C,-165E3,-1655A
1487,1435,14A9
-165CF,-164AB,-164D4
143E,1601,14AD
-165DD,-1660A,-166F4
14BF,1509,13C9
-16596,-1663E,-166F5
13DA,14AB,1374
-164FF,-1661D,-16545
139A,15E9,156B
-16469,-164C0,-1646D
15F8,1596,1692
-165A0,-16663,-1652E
13B8,168D,15E6
-163B7,-165FF,-1643E
1506,16B0,1519
-1648A,-16452,-16462
163A,16EB,15D7
-163C1,-1652D,-163DA
13D6,155E,17F6
-1648F,-1657B,-1658C
14BC,149A,1424
