{'CALIB_RAW_DAC_START_I': 65536, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-1AB032,-1AB121,-1AB16F
-1C29AD,-1C2A93,-1C2A4C
-1AB2A4,-1AB064,-1AB0F7
-1C2B8E,-1C2981,-1C2A0F
-1AB058,-1AB1A3,-1AB162
-1C2B51,-1C2AAE,-1C2B04
-1AAF49,-1AB08A,-1AAE65
-1C2A03,-1C2A6F,-1C2863
-1AB11A,-1AAFA0,-1AAFFA
-1C2AAB,-1C2B26,-1C2A51
-1AADFA,-1AAF56,-1AB02F
-1C2A1F,-1C29C0,-1C27B4
-1AB010,-1AAEBE,-1AB0AE
-1C2AAE,-1C2BD5,-1C2B01
-1AAFAA,-1AAF7F,-1AAFC9
-1C2C63,-1C2CAE,-1C2B63
-1AB11F,-1AAF4E,-1AB02D
-1C29F4,-1C2A2F,-1C297D
-1AB076,-1AB0A0,-1AB047
-1C2A8D,-1C29F4,-1C2AB9
-1AAFEF,-1AAF78,-1AAE90
-1C2A4F,-1C2A63,-1C2900
-1AB05A,-1AAE7F,-1AAE37
-1C2AF2,-1C28E7,-1C2AA3
-1AB1E6,-1AAF12,-1AAF67
-1C2A0F,-1C28A7,-1C2A86
-1AAF17,-1AAF72,-1AAD12
-1C2AC9,-1C2ABE,-1C2B2E
-1AB062,-1AB045,-1AAF8C
-1C2AA8,-1C2A8C,-1C296A
-1AAD5A,-1AAF55,-1AAF47
-1C2930,-1C29A2,-1C2C25
-1AB00F,-1AAFAC,-1AB1B5
-1C2AF5,-1C2B90,-1C2B5A
-1AB1C9,-1AB1EC,-1AAFBB
-1C2AFF,-1C2BC2,-1C2B7B
-1AB073,-1AB20C,-1AB033
-1C2ACE,-1C2B42,-1C2A03
-1AB173,-1AB0C8,-1AB0B6
-1C2A73,-1C2AF3,-1C2AD0
-1AAF5D,-1AB11E,-1AB08B
-1C2A2F,-1C2A82,-1C2B4D
-1AB08F,-1AAF35,-1AAF6B
-1C29F9,-1C29C9,-1C2C3A
-1AB13A,-1AB153,-1AB05E
-1C2BFD,-1C2C04,-1C2893
-1AAE89,-1AB07F,-1AAFDF
-1C293C,-1C2BC3,-1C2B93
-1AB1EB,-1AB2B2,-1AB2C0
-1C2C6F,-1C2BCB,-1C2A51
-1AB16B,-1AB129,-1AB220
-1C2CA3,-1C2B97,-1C2BFC
-1AB1D3,-1AB1B9,-1AB0E2
-1C2AE4,-1C2ABA,-1C29DE
-1AB11E,-1AB1E1,-1AAFBA
-1C2B76,-1C2850,-1C2BBC
-1AAEFB,-1AB051,-1AB1C6
-1C2B71,-1C2B4A,-1C2AC4
-1AB134,-1AB012,-1AB081
-1C2999,-1C2AFB,-1C2A53
-1AB291,-1AB2D6,-1AB1B6
-1C2D3D,-1C2BD1,-1C2C21
-1AB06A,-1AAFE5,-1AAF61
-1C2C47,-1C2C80,-1C2C54
-1AB08D,-1AB07C,-1AB17E
-1C2A60,-1C2C80,-1C2AF3
-1AB21C,-1AB06B,-1AB213
-1C2C78,-1C2D30,-1C2C93
-1AB36D,-1AB28C,-1AB06A
-1C2B2C,-1C2AED,-1C2B99
-1AB1E7,-1AB0C0,-1AB143
-1C2C10,-1C2BDC,-1C2B91
-1AB159,-1AB211,-1AAF36
-1C2BA3,-1C2BB0,-1C2CF9
-1AB112,-1AB051,-1AB1CE
-1C2B4D,-1C2CE4,-1C2DC2
-1AB279,-1AB1EE,-1AB272
-1C2D9C,-1C2DF4,-1C2C7F
-1AB265,-1AB18F,-1AB287
-1C2C51,-1C2C59,-1C2D26
-1AB2DE,-1AB2C4,-1AB1B4
-1C2B7D,-1C2CFD,-1C2C05
-1AB246,-1AB341,-1AB270
-1C2C3A,-1C2BBE,-1C2BAE
-1AB16F,-1AB214,-1AB2C1
-1C2D6C,-1C2BE7,-1C2CEB
-1AB3A4,-1AB337,-1AB2DF
-1C2CA2,-1C2D68,-1C2CB5
-1AB47B,-1AB0D2,-1AB288
-1C2B4E,-1C2B75,-1C2B6F
-1AB205,-1AB254,-1AB324
-1C2C89,-1C2D35,-1C2B9F
-1AB1DC,-1AB03D,-1AB1B2
-1C2BE1,-1C2C78,-1C2D8A
-1AB1FA,-1AB1AE,-1AB0EE
-1C2D88,-1C2C3F,-1C2D2F
-1AB310,-1AB21C,-1AB2D6
-1C2D86,-1C2E2C,-1C2C65
-1AB2CC,-1AB352,-1AB239
-1C2D59,-1C2BA1,-1C2C45
-1AB1FB,-1AB380,-1AB31F
-1C2C79,-1C3047,-1C2DA9
-1AB287,-1AB2A5,-1AB087
-1C2C82,-1C2BFE,-1C2CC4
-1AB3BE,-1AB290,-1AB314
