{'CALIB_RAW_DAC_START_I': 589824, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-337C1,-33562,-3363C
-4B253,-4B0BA,-4B10F
-336F8,-3352A,-3359C
-4B25F,-4B0F6,-4B114
-336CD,-33884,-336EC
-4B034,-4B24E,-4B104
-33558,-3354A,-336BF
-4B039,-4AFA5,-4ADDA
-33375,-335EA,-336D4
-4B087,-4B1B1,-4AFDF
-33694,-3350F,-334AD
-4AE5E,-4AF80,-4AF8F
-3346B,-3353D,-335D7
-4AF30,-4AFAA,-4AFCC
-33549,-33441,-333AB
-4AF51,-4AF2B,-4AF93
-334BC,-3347A,-33578
-4AF67,-4B143,-4B037
-33589,-33578,-3358C
-4AF0E,-4AE30,-4B013
-3352E,-334E0,-3337C
-4AF77,-4B198,-4AFBA
-33382,-33215,-333A7
-4ACD4,-4ACF0,-4ABB0
-3342E,-332E9,-33395
-4AF14,-4AEDA,-4ADFE
-3340E,-333FB,-3343E
-4AF70,-4AE18,-4ADA0
-33404,-333C5,-33247
-4AD0D,-4AE9E,-4AEBF
-334C3,-3350F,-33353
-4AEC3,-4AF51,-4AE3F
-3343C,-3340D,-334BB
-4AE7D,-4AFA6,-4AD6A
-333C7,-3329C,-333BE
-4AFAA,-4AD60,-4AEEE
-333F6,-333B3,-3345C
-4AE2C,-4AE39,-4AF8B
-331E7,-333E4,-334F3
-4AEED,-4AE5E,-4AEAD
-333E4,-332A2,-33362
-4AFAC,-4B01F,-4AEA2
-33389,-3364D,-333D8
-4AD18,-4AE8F,-4AE02
-33436,-334D9,-33231
-4AE94,-4AD3B,-4AE92
-33432,-334A2,-333EB
-4AEE7,-4AEB2,-4AF1D
-333C0,-3324D,-332C4
-4AEA1,-4B05C,-4AF30
-3347D,-33672,-333EC
-4AC84,-4AFA6,-4ACC6
-3357B,-33375,-332B7
-4AC62,-4ADBD,-4AD75
-335E9,-33452,-3348D
-4AEF4,-4B084,-4B014
-33422,-332C8,-33377
-4AE27,-4AEEA,-4AEA0
-33495,-3342F,-33457
-4AE98,-4AE23,-4B016
-3341D,-335A9,-3340D
-4ADCB,-4AF00,-4ADF0
-33372,-335AA,-3336F
-4AF4D,-4AE69,-4ADAB
-334FC,-3331A,-334EF
-4B017,-4AFBE,-4AE80
-33488,-334C2,-33430
-4AE27,-4AF70,-4AC49
-334AD,-3345C,-332C1
-4AF67,-4AF9B,-4AE53
-33268,-332A9,-332FF
-4AEDE,-4AC27,-4AEBD
-3348F,-33495,-33431
-4ACEF,-4AE74,-4AFCD
-33482,-33346,-332F0
-4AD11,-4AC15,-4ACBC
-333EA,-332BE,-3324A
-4AD85,-4AD00,-4AC77
-33026,-3326A,-332D7
-4AC8F,-4AE38,-4AEFE
-3321D,-33451,-33191
-4AB9B,-4AE4F,-4AC70
-3340A,-332E2,-33132
-4ABBC,-4AC82,-4AD69
-33277,-331BF,-33363
-4AD85,-4AE30,-4AC90
-346E3,-3452C,-34375
-4AE78,-4AE6A,-4B060
-3351C,-3357A,-333D6
-4AF3D,-4AC84,-4AE8E
-33401,-33476,-33545
-4AD11,-4ADA3,-4AE19
-334B0,-3346C,-33689
-4AE42,-4AFC1,-4ADD8
-334F1,-33559,-33454
-4AE5E,-4AED6,-4AD29
-3340A,-3359C,-33373
-4AEF9,-4AD96,-4B003
-3354B,-3341A,-33261
-4AE8C,-4AE85,-4ADE0
-3341B,-33421,-33390
-4AE2A,-4ADFA,-4AD36
-33204,-332D5,-332D9
-4ADE7,-4AD12,-4AFC2
-3338F,-33396,-33433
-4ACAE,-4ADB1,-4B014
-333A2,-333A9,-33382
-4ADB6,-4AD77,-4AD9D
-3337E,-33387,-33356
-4AEC1,-4AC91,-4ACD7
-333EC,-332C1,-33366
-4AF42,-4AD59,-4ADD2
-333B7,-333ED,-33237
