{'CALIB_RAW_DAC_START_I': 950272, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-97675,-976EA,-9768F
-7FAEE,-7FB76,-7FE85
-975F5,-97603,-9764A
-7FBB8,-7FCBC,-7FAA5
-9769E,-975B5,-97616
-7FC3F,-7FB41,-7FC19
-9772B,-97813,-97761
-7FC7B,-7FCA2,-7FC19
-976B3,-97508,-97665
-7FC58,-7F996,-7FB15
-9776F,-97822,-976B5
-7F93D,-7FB8A,-7FD07
-974CD,-9757C,-97755
-7FAED,-7FD35,-7FCCC
-976DF,-97709,-9771F
-7FB72,-7FBAF,-7FAB2
-975A6,-97635,-9763A
-7FCDC,-7FA5B,-7FBE9
-975CF,-9754E,-9758F
-7FC3D,-7FB17,-7FBF5
-97604,-974CE,-9766C
-7F9DA,-7FAD5,-7FA64
-974C3,-9765C,-976B7
-7FB2E,-7FBD7,-7FBC2
-97525,-974F5,-97528
-7FB20,-7FB97,-7FB1C
-975E7,-975D2,-974B3
-7FB5C,-7FCBB,-7F9E0
-97505,-97541,-97308
-7FA74,-7FB37,-7FABA
-9745B,-974C3,-977DF
-7FB9C,-7FB1B,-7F9D3
-975AC,-97632,-9752E
-7FA87,-7FAD0,-7FB5B
-9756F,-97560,-97746
-7FAC3,-7FA90,-7FB52
-97301,-974E4,-97642
-7FA7E,-7FAEB,-7FB79
-97542,-97592,-97550
-7FABE,-7FA35,-7FA9D
-9776E,-97519,-975F9
-7FB75,-7FA39,-7FA86
-973CD,-97343,-97626
-7FB2E,-7FA8A,-7F93A
-972FD,-9757F,-973ED
-7F8FB,-7FC10,-7F932
-97518,-9727A,-97476
-7FB9E,-7F7CF,-7FB77
-974F6,-97413,-97468
-7FA9B,-7FA8D,-7F9F5
-974CF,-97613,-97616
-7FD23,-7F90A,-7F9E4
-97422,-975A3,-974AC
-7FABD,-7FAA4,-7FB29
-9741F,-9753E,-976AD
-7FA72,-7F9D8,-7F910
-9757F,-973D7,-9741B
-7FB71,-7FB0D,-7FAE0
-974CB,-973E9,-9746D
-80F1E,-80CAF,-80CEA
-97687,-9743A,-97557
-7FAFB,-7FB03,-7FAB9
-974B9,-9764C,-97667
-7FD41,-7FD1F,-7FCDD
-97640,-97644,-9758C
-7FCDE,-7FCC4,-7FC38
-976E4,-97629,-9771C
-7FAD6,-7FC13,-7FD78
-97553,-977E6,-97724
-7FD65,-7FCE4,-7FD88
-977D8,-97729,-976A1
-7FB46,-7FCD8,-7FB40
-976D6,-975F9,-97775
-7FCEC,-7FD2F,-7FB96
-977FC,-97606,-9765E
-7FCBE,-7FB68,-7FB56
-97763,-9773A,-97736
-7FD2D,-7FC21,-7FAA1
-976D6,-977F1,-976FD
-7FE7E,-7FCCB,-7FBBC
-974FE,-976AB,-9778A
-7FC53,-7FBBF,-7FD50
-9754F,-978B7,-97685
-7FACE,-7FCD8,-7FBEE
-9767E,-97797,-975DF
-7FC9C,-7FC81,-7FBA0
-975AB,-97577,-978A1
-7FAF5,-7FA8A,-7FC8E
-975B2,-9765F,-97571
-7FA87,-7FB61,-7FAA4
-97486,-973F2,-9735F
-7FAE0,-7FBE5,-7F8F1
-973C2,-97569,-9751A
-7FC5A,-7FC2A,-7FBB8
-9758A,-975B3,-9764E
-7FB0F,-7FB35,-7FCBB
-97741,-97526,-974E9
-7FB0D,-7F9A5,-7FBFE
-976B2,-976F8,-976FD
-7FCD0,-7FBF4,-7FADA
-974D8,-9748F,-97603
-7FBB9,-7FACA,-7FBAE
-97725,-974A6,-9769E
-7F93A,-7FA4C,-7FA23
-97542,-9752F,-97662
-7FB7F,-7FAC4,-7FCC6
-976FC,-97669,-9763D
-7F962,-7FA10,-7F909
-9750B,-974B2,-9749F
-7FD0A,-7FB2F,-7FC48
-975A8,-97590,-97739
-7FAF4,-7FAD2,-7FC0A
-97716,-9765D,-974D8
-7FC84,-7FBE1,-7FC0C
-9773B,-977CC,-97765
-7FBC5,-7F9F0,-7FB8E
-9760C,-975B5,-974ED
-7FAF1,-7FB85,-7F9C2
-976DD,-9768A,-97685
-7FCA3,-7FC99,-7FCCF
-9741D,-973DE,-975DA
-7FA79,-7FCB5,-7FBCE
-975AB,-975C4,-976A4
-7FB8F,-7FD06,-7FBAD
-9757B,-975F8,-977FA
-7FC43,-7FC0A,-7FBD9
-975F5,-97549,-97464
-7F9C4,-7FA8F,-7FA81
-976C3,-974D3,-974D9
-7FC90,-7FAFE,-7FA6D
-97471,-97544,-9741F
-7FA68,-7F993,-7FB59
-974A3,-9743E,-9763A
-7FC34,-7FA66,-7FBBF
-97595,-975C0,-97351
-7F955,-7FAC7,-7FB77
-97745,-974EF,-974D0
-7FCDB,-7FAB8,-7FBBC
-97561,-97671,-97568
-7F961,-7F8C5,-7F7F2
-9752A,-9762C,-974DA
-7FB91,-7FBC5,-7F9CE
-97219,-97588,-97561
-7FBAD,-7FA3C,-7F94F
-97429,-973AF,-97499
-7F973,-7FA2B,-7F957
-9750E,-9772A,-9743E
-7F923,-7F9C3,-7F93F
-97488,-9744D,-973EE
-7FB64,-7F9DA,-7F982
-973EA,-97440,-97557
-7FA4C,-7F886,-7FAA1
-97562,-973EC,-975D1
-7FA23,-7FB22,-7F789
-9718C,-974B8,-97629
-7F872,-7F906,-7F93E
