{'CALIB_RAW_DAC_START_I': 557056, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
581CF,580EC,58227
407BB,4060B,4078A
58174,58192,580F2
40739,405EE,404CE
57EFF,580AF,58033
40592,40446,4045E
580B7,5816C,580D0
404D1,404E0,40656
58108,5820A,580EC
40719,40698,405A1
581A3,58218,58045
40764,4071C,406A6
57F81,57FA5,580C2
405B5,406A8,405F5
58268,583C9,583A8
40805,4062D,406F1
581FD,5812E,58264
40521,4080F,40755
57EC9,581D3,580B1
40576,40781,405D7
57F60,57FCE,5820C
40553,405EB,40578
581BE,58200,58074
406D6,40587,406DB
57EF5,580A5,58134
40774,407C4,40841
582B2,58239,582E7
4067D,40765,40679
57FCE,58096,57F28
406F3,40630,404EC
58004,57FBC,58062
403FF,40497,40296
57E42,57EF1,57FF4
40345,404BA,40597
57F57,57EB2,57DA8
403F8,403D5,40524
57CDF,57DA9,57D21
40398,40598,40219
57DB6,57F2A,57EF8
40394,4022E,402B2
57DE6,57C86,57E29
40626,402F5,402C2
57C32,57A6B,57DBA
40091,4029C,4022F
57D28,57CDE,57C3B
402DA,401E4,4030D
57D9C,57DD7,57E26
40341,403C5,40222
57D06,57F32,57E08
40209,40467,401BF
57C7F,57CEE,57C50
40286,4014F,400E2
57B80,57D71,57C70
4012C,4008A,400CA
57B88,57CAA,57B6A
400E6,40122,40149
57ADA,57BF6,57BAD
40287,402D6,402CD
57B85,57C19,57AE8
40022,40180,4013C
57CFC,57AC0,57B46
40157,4017A,400F0
57B94,57C68,57B43
4037F,4039A,40360
57DC0,57E23,57E67
4031A,40271,4022D
57E1C,57DB4,57ECF
40418,4022C,40394
57D5B,57D00,57DE6
40285,400CA,402D1
57D04,57C80,57C9B
402CC,40168,40260
57B8A,57C90,57E8E
40244,401BA,4026A
57E94,57D8C,57ADB
40058,3FFE6,400FC
57C31,57B41,57BD5
40332,40111,40066
57F89,57D1B,57C50
40168,4019B,401B6
57AC0,57C30,579B3
40297,40128,40087
57CF9,57BB4,57C21
4033C,40123,40134
57B3F,57AD1,57A11
401E4,400F9,402B6
57CFB,57BFF,57D14
401C5,402FA,400E2
57B88,57C41,57A90
40360,40143,40225
57B36,57B80,57CB6
3FFAA,3FFEE,40027
579E4,57985,57961
400A2,40162,3FFC0
57802,57831,57562
40787,40627,4057B
581FA,580FA,58172
40687,4075E,405CA
58148,5814A,58041
4070D,404EB,4053D
580C8,58155,57F7A
40504,40490,40669
5800C,58104,58275
404B6,405D8,40627
57F1D,57F2D,57F19
4039D,40422,405D7
57FAC,58084,58059
404D1,404AF,402F1
57FB3,57F38,57F94
40796,4053A,40452
5815E,580D1,58072
40664,40731,4069B
57FA1,58289,5811E
40607,40631,4042E
580CA,58087,58102
40495,40643,40629
57E86,57D64,57DFF
40635,40640,40400
58138,58118,5807F
405AC,40372,40360
57F49,57F82,5817D
403E0,405AE,40548
57E3E,57E33,57CF7
404DB,403D1,404B0
57EF2,57DC6,57F1E
4045E,403E9,400CF
57EEB,57FA6,57DF4
4059B,4065B,4053B
57F37,5804C,57EF0
4074F,40529,4061C
581AD,57F96,57DB5
405AD,4053A,40440
57FCA,58052,5808B
40495,404AF,40624
57FFA,57F67,57DB3
4047B,4040F,40425
57D5C,57E59,57CCF
40298,40451,4018C
57F1E,57D72,580A9
402F8,40441,4045B
57F2D,57E22,57E8B
40444,402E3,4030D
57DEB,57F20,58008
40587,402B9,403B0
57E8C,57BC9,57E33
403F0,404BD,4036E
57C49,57CCA,57BE8
4045E,401DE,4042E
57D72,57D31,57DDF
405D3,403B1,402DF
57CE5,57E2C,57CAC
40469,40601,404AD
57F1D,57FBA,57FE8
40538,40493,40329
57F49,57E9C,57E1C
403B9,4038C,40168
57D3D,57C4A,57DE6
40424,40302,402D6
57DC6,57B45,57E0E
40133,3FE52,3FF4A
57AA5,579A0,578E4
4021D,40095,40040
57A09,57A1F,57AF6
3FDE5,4013A,4004B
57992,579E7,579E5
4007C,400C3,3FE9F
57A40,57B58,57BDA
40019,4017F,40081
57B7D,57BE5,579C7
4015F,401BB,3FED5
57B35,57AF6,579E7
4005A,40050,3FEAE
57862,57B07,579C0
3FE3A,3FEE2,3FE32
57A35,57944,57B30
401BD,3FFB6,40059
5793E,5798A,579A8
400F0,3FF80,3FCC5
579E4,57880,5797D
3FFB7,3FFA4,3FDDF
579E2,5790F,57ABC
40029,3FE8E,3FE8E
57B40,5799B,57B87
3FEF8,3FF2D,4012B
579C6,579C2,57A21
3FD7D,3FFE5,3FCD0
57A14,57AE6,57A23
3FD2C,3FF62,3FE3A
57859,577F2,5783B
3FF63,400C6,3FE59
578C4,57AD5,5786E
4014E,40284,3FFF2
57AA5,57AA7,57CC6
400C3,40079,40151
579E2,57937,57AB5
40034,3FF6E,3FF8A
5793C,57A7E,57810
3FE1C,40069,3FFDB
57912,57959,57A2B
3FEF9,40133,40001
57988,579CD,57858
3FF18,4003E,3FE3C
579D3,57AAF,57978
3FE8D,3FEBC,3FEB4
579BE,57B4B,57A05
3FFCA,3FF43,3FEF2
57B2A,57AD8,57A32
40050,40242,400B2
57B27,577A3,57ABA
4005C,3FE75,40034
57912,57929,57920
3FFE2,400F5,40058
57A5F,57B68,57835
40071,3FDF7,3FDFD
577FE,57762,577FD
3FECB,3FFD8,3FE9F
579EB,578E5,57900
3FD10,3FE43,3FEEF
57B2B,578A5,579C8
3FF0B,3FE0F,3FC87
57702,578A4,577F4
3FE93,3FEB9,3FE91
5C261,5C45E,5C40A
41A63,41B2C,41A99
5943C,593DC,59513
419B2,41A0F,419EB
594AF,5966A,593FB
41C33,41971,41A43
595C6,592AB,59386
419C1,41AF1,419FD
593F0,593DB,59538
419C9,41A76,41C33
5933E,594BF,59523
419CA,41CD3,41AC5
5971D,5960C,59598
41A43,41AC2,41CD6
5957D,59676,5944F
41A55,41B4F,41B0F
595C5,59548,594E4
41954,419C0,417EC
59290,59261,5916C
41845,4185C,418BF
593F2,59308,59257
419EC,418F9,41A11
59176,5944A,5941E
4194A,41A67,418B9
59250,5925B,5929F
41873,418A7,41860
593EC,592A4,592AE
419F0,419CD,41723
5929A,594AB,592C0
41733,4170E,41976
5912B,592F3,592AE
41832,41755,4157D
5916F,591A4,59424
41AA3,41AA6,41A89
594F1,593F6,59568
419F8,41A80,41A81
592A8,59253,594F2
41941,41A20,41BBE
595DE,5945F,593E1
41B49,41992,41A0C
59694,59521,5937B
41A28,418E1,41966
5929B,59356,591FC
41A8B,418A6,417F1
591A4,5938B,59396
419FD,4194E,4197A
591D1,5904C,592E0
41979,419CF,4170B
592E0,594E8,592D7
41B1E,41A14,419DB
59260,594DC,5929B
41A1E,41A74,41A06
593D0,59447,5949C
41927,41AD9,41A37
593A3,5963A,59406
41930,418C0,419DD
5935A,593C7,5942B
41A2F,4185D,418B6
59383,59322,59466
419E9,41C69,4193E
593A7,593E8,5946B
41982,41A7A,41AD5
59504,593E5,59524
41A27,419CD,4188D
5916C,593DF,592FD
416E3,41698,41831
58FB0,58FE3,59183
4177B,4177D,4171A
590F7,591F6,59111
41673,415E3,41864
58FA5,5923C,590A4
41723,4159B,41779
59070,59037,5919B
417C5,415EB,41793
592F7,590AB,59114
41728,415F5,41638
59016,58FFD,591D2
