{'CALIB_RAW_DAC_START_I': 0, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
16AF57,16AFF7,16AF93
153580,153630,1534BE
16AF07,16B094,16B0B7
1536B8,153657,153686
16B0F2,16B02A,16B00F
1535B2,153476,153646
16B160,16AED4,16AF96
153607,1535EB,15361C
16AFA2,16B1C0,16B053
1536E1,1535A1,1533B8
16AE86,16B0BF,16B12F
153466,1533B8,1532A9
16AFC0,16ACBF,16AC6A
153472,15339D,153467
16AE7F,16ADFE,16AD74
1532B5,15350F,1534C8
16ACF5,16AD79,16AD44
1532F9,15320E,1533BB
16ADE9,16AD93,16AE05
15335B,15326F,1533B2
16AD38,16AD50,16AF04
153211,153400,1533F9
16AFD1,16AF42,16ACC5
153622,1531C7,153362
16AD3F,16AE0B,16AE3C
1531EB,153102,15338A
16B040,16B07F,16B0B5
15359C,15369D,153460
16ADEF,16AE17,16AD0C
153414,153287,153412
16AE4D,16AE9A,16AF15
153254,1534C7,1532E2
16AEA5,16AEA5,16AE8A
153592,153463,15343E
16AF52,16B088,16B06D
1534BE,1533F1,153319
16AEAC,16AD77,16AE90
153609,153562,1535BF
16AFC4,16B131,16AEF8
1534DF,15358B,1535C1
16B1D1,16B094,16B033
153684,153707,153486
16B130,16AED1,16AE6F
153516,1535C4,153771
16B0EF,16B1F5,16B007
153719,15380E,1535AA
16B0D1,16B009,16B285
15368E,15372D,1536C2
16B002,16B0FE,16B101
153839,1536D9,15366D
16B0C7,16B123,16B0F4
153876,15373B,15369A
16B35F,16B2CE,16B292
15376D,15362C,153610
16B0CB,16B218,16B047
1537CD,153714,1535AE
16B184,16B161,16B1A7
15391C,1537D3,153648
16B291,16B2C4,16B2EC
1537AD,1538C8,153767
16B29E,16B2E3,16B2B8
153A8B,153A0D,153A39
16B31D,16B417,16B3BB
1538DF,1538D6,153890
16B32F,16B215,16B4D8
15392F,1538BC,153836
16B37E,16B3E7,16B11C
1537E6,153968,153A56
16B3D4,16B2E6,16B415
153848,1538A1,153827
16B21A,16B306,16B323
1536B6,153A57,15389B
16B356,16B449,16B32C
15383C,1538FF,153A6F
169737,169789,169621
153891,1539B2,153958
16B456,16B404,16B654
153A86,153A08,153B83
16B33E,16B37C,16B303
15396D,1537FE,153A1F
16B1ED,16B417,16B4A1
1538D7,153AC7,1538E6
16B3A7,16B484,16B425
15389B,1539F4,153958
16B438,16B463,16B3F6
15387F,153ACC,153B8E
16B4EC,16B69C,16B336
153B77,1539E3,153AFE
16B518,16B505,16B458
153CA4,1539DD,1539E1
16B73E,16B769,16B540
153C64,153B14,153B83
16B60C,16B509,16B402
15394E,153940,15396B
16B473,16B55E,16B558
153B92,153DA3,153A9C
16B4ED,16B580,16B487
153D5D,153B18,153B71
16B46C,16B487,16B603
153A9D,153A6B,153B70
16B50A,16B5DB,16B6E4
153A13,153A08,153AB0
16B593,16B67C,16B55C
153ADF,153C77,1539CB
16B67C,16B5BB,16B565
153B7E,153B78,153CA7
16B6B1,16B586,16B809
153C4F,153DE1,153E02
16B77D,16B694,16B758
153C77,153D1F,153B58
16B617,16B85C,16B849
153E7F,153D6F,153BF3
16B791,16B73D,16B860
153CA6,153B92,153CC8
16B863,16B7CE,16B714
153CEA,153E48,153BB0
16B7D5,16B8F8,16B726
153D64,153E3C,153D0C
16B7D5,16B949,16B7D9
153E3D,153E8C,153F3A
16BA47,16B814,16B7E3
153C07,153C89,153DB5
16B85D,16B7E3,16B9C9
153D06,153F38,153E95
16B86E,16B8DB,16B821
153CD3,153E5B,153E6A
16B702,16B731,16B7A5
153E74,153E78,153DB0
16B90A,16B8AE,16B7A4
153CB2,153D3E,153D58
16B948,16B79E,16B80B
153E63,153E76,153DB3
16BAF2,16B80B,16B84E
153EC9,153D88,153E92
16B917,16BA18,16B7DA
153EF6,153DF5,153DE4
16B931,16B946,16B8E5
153D55,153DD0,153D89
16B739,16B8A0,16B89A
