{'CALIB_RAW_DAC_START_I': 917504, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 0, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-B9B61,-B9BD0,-B9B0D
-D15D6,-D16E9,-D1636
-B9C68,-B9C83,-B9A5A
-D169F,-D15AD,-D17E8
-B9C15,-B9B65,-B9A56
-D1577,-D159E,-D1752
-B9A0B,-B99E6,-B9B71
-D156B,-D14CE,-D1563
-B9A86,-B9B74,-B9CDB
-D161F,-D1486,-D1610
-B9C0A,-B9B3A,-B9B3D
-D1699,-D1617,-D1633
-B98BA,-B9A52,-B9A33
-D1699,-D14EE,-D162D
-B9A15,-B9AB3,-B9BB9
-D153E,-D162A,-D1681
-B9B92,-B9B0E,-B9AEB
-D153B,-D1547,-D14CD
-B9A01,-B9B49,-B9AB1
-D1396,-D1592,-D135B
-B9B72,-B9ABE,-B9AD0
-D15C4,-D159D,-D148F
-B9ADD,-B98AE,-B9A22
-D1441,-D1428,-D140B
-B9B99,-B999B,-B9A36
-D16B6,-D151A,-D14EE
-B9A89,-B9A49,-B9A39
-D1686,-D157E,-D144F
-B9BA4,-B9A5C,-B983B
-D1610,-D175D,-D1872
-B9B32,-B9C95,-B9C60
-D17BB,-D162F,-D160A
-B9C46,-B9CD0,-B9C37
-D1719,-D17C5,-D1840
-B9DF8,-B9E98,-B9E69
-D1789,-D1812,-D1992
-B9B5B,-B9C0F,-B9F7A
-D174D,-D19BC,-D1996
-B9FA8,-B9F85,-B9E97
-D193B,-D16EC,-D184D
-B9C28,-B9E3A,-B9EB5
-D1A21,-D16A2,-D1894
-B9D63,-B9D42,-B9DD1
-D1752,-D15B5,-D1782
-B9B00,-B9B66,-B9CB4
-D16D7,-D163D,-D1649
-B9D31,-B9C07,-B9DE4
-D166B,-D1803,-D17B7
-B9DD5,-B9BAD,-B9D16
-D15F7,-D15AD,-D16BF
-B9CA7,-B9C48,-B9E34
-D15C9,-D163E,-D1711
-B9B1A,-B9BCE,-B9BD7
-D1711,-D1783,-D1785
-B9C2B,-B9D1F,-B9C5C
-D1710,-D172C,-D1762
-B9A82,-B9C00,-B9BCF
-D16C7,-D16B0,-D171E
-B9AD1,-B9A6B,-B9B65
-D162F,-D17A4,-D1583
-B9C7E,-B9BE4,-B9CA5
-D1784,-D16ED,-D1515
-B9B71,-B9BC0,-B9938
-D1305,-D14ED,-D14A9
-B9CDA,-B99F4,-B9892
-D15A7,-D1584,-D1368
-B99C4,-B9930,-B9C86
-D1692,-D16D9,-D1472
-B9AA9,-B99DE,-B9AAA
-D147C,-D1327,-D1367
-B9B30,-B9A23,-B9947
-D130C,-D1528,-D15DE
-B98E1,-B990C,-B99EB
-D12FF,-D1574,-D1433
-B9C26,-B9929,-B99E6
-D15E5,-D149D,-D1572
-B9AEC,-B959C,-B97D1
-D13B1,-D14B5,-D15E4
-B99B9,-B98EE,-B9860
-D13F1,-D1311,-D135E
-B9898,-B98F0,-B98BE
-D1248,-D132E,-D13C7
-B99B8,-B99DD,-B9977
-D12C8,-D1176,-D11E2
-B97F1,-B96D9,-B9858
-D1357,-D12D3,-D11DB
-B9891,-B9897,-B9917
-D1131,-D13B6,-D1199
-B97A1,-B982C,-B9881
-D1156,-D136E,-D11F9
-B962A,-B9930,-B985F
-D1288,-D12EF,-D1383
