{'CALIB_RAW_DAC_START_I': 753664, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
BC96F,BC88D,BCA7B
D4407,D441C,D43C7
BC943,BC737,BCB18
D41D0,D431B,D433C
BC6F2,BC98A,BC952
D4278,D43C6,D4492
BC891,BC9A3,BC7EB
D448B,D44CF,D4516
BCA1D,BCA64,BC98E
D43F4,D4313,D4313
BCA16,BC97F,BC9F8
D4265,D433B,D42E1
BC7E3,BC6C5,BC8C2
D41FF,D3FFE,D42B6
BC967,BC723,BC8C4
D41D8,D4085,D4209
BC92C,BC869,BC83C
D425E,D434B,D427E
BC79F,BC819,BC998
D43FD,D4399,D43FA
BC869,BC8EC,BC7B8
D43A5,D4292,D42FE
BC7CC,BC826,BC945
D43A0,D44ED,D429A
BC7A3,BC617,BCAAC
D43F1,D43E3,D42F5
BC92A,BC85B,BC89F
D4405,D4337,D4394
BC988,BC9AB,BC800
D4245,D424E,D43C1
BC97E,BC93B,BC7E7
D42A6,D4392,D4436
BC7DE,BC81E,BC7B0
D439E,D43F0,D42F1
BC8E4,BCBCE,BC8D5
D4279,D4322,D42C4
BC8EA,BC838,BC9FF
D4375,D4227,D445E
BC9E3,BCA00,BC928
D436F,D4366,D43F2
BC90D,BC7EE,BC867
D4099,D4395,D4349
BC8CE,BC745,BC77F
D32FE,D3440,D3439
BD0FB,BD29F,BD2BC
D4C62,D4D4E,D4B16
BD3EE,BD3F7,BD31E
D4CE4,D4DAC,D4D72
BD1F5,BD379,BD248
D4CF6,D4C0A,D4A37
BD13E,BD149,BD304
D4D6B,D4CC4,D4EB7
BD181,BD207,BD4C1
D4D05,D4BD3,D4C1F
BD238,BD1FF,BD206
D4C45,D4CCD,D4CC2
BD213,BD228,BD327
D4C4F,D4D53,D4D77
BD52F,BD2D1,BD0F6
D4D34,D4D1B,D4D81
BD11A,BD283,BD1DC
D4B57,D4CAB,D4A30
BD0F1,BD2E6,BD258
D4C1D,D4C73,D4DBD
BD2E4,BD133,BD1A5
D4AB7,D4B5D,D4C54
BD1DB,BD1C9,BD0BD
D4B9F,D4C4A,D4ADA
BD1D6,BD0F0,BD015
D4C29,D49F9,D4A70
BD070,BD14D,BD0F2
D49E8,D4B3F,D4D0B
BD220,BD207,BD096
D4AB2,D4B4C,D4A94
BD062,BD024,BD0A6
D4AC3,D489F,D4BDD
BD1EC,BCEF2,BCEA4
D4BF5,D4A17,D4AF6
BD29D,BD0C0,BCF52
D4AF8,D4A48,D4C0A
BCFBD,BD013,BD07A
D4913,D4AB7,D4A03
BD117,BCFAE,BCFBB
D4ADA,D4C1E,D4C42
BCFD7,BD19D,BD22D
D4CB7,D4B58,D4C00
BD13B,BD061,BD2A5
D4BA4,D4B6C,D4DDE
BD100,BD1CB,BD0E7
D4BF2,D4B00,D4C1E
BD168,BD1C5,BD157
D4C85,D4E49,D4E15
BD0EB,BCF8E,BD32C
D4B60,D4B6D,D4BC1
BD0D6,BD000,BD317
D4CBC,D4B9A,D4B24
BD124,BD187,BD1C3
D4BB2,D4CBB,D4D23
BD388,BD12C,BD109
D4AFF,D4CD9,D4CA7
BD09C,BD251,BD333
D4A10,D4AB3,D4A47
BD239,BD048,BD1C6
D4C0A,D4BC4,D4B37
BCFA1,BCEBC,BCF38
D49F3,D48F4,D4A97
BD080,BCFF0,BD026
D4BB9,D4B91,D4A9D
BD16D,BCFEB,BCE6E
D49D3,D4B7C,D4A9F
BD0B3,BD055,BD0C5
D49F3,D4918,D4924
BD02E,BCEA8,BCE2E
D48A0,D4935,D4AA0
BD00B,BCF06,BCDFA
D4907,D4A0F,D485C
BCF79,BCEAB,BCE2B
D4A10,D49B4,D4982
BCDAC,BCDA4,BD00D
D4A6D,D4B49,D481A
BCF4A,BCDFF,BCE3F
D48F4,D48D1,D4B1A
BD1C0,BCEEA,BCE64
D4AEB,D49D8,D4AA7
BD185,BCF3F,BCED3
D499E,D495F,D47CA
BD0AA,BD030,BCE96
D4AFE,D4926,D4B7D
BCF25,BCF0E,BCF0D
D498A,D4AB7,D4989
BD07D,BCD12,BCE63
D49AB,D4A65,D4940
BD00A,BCE7E,BD0C2
D4928,D4A48,D4B38
BCFE6,BCD73,BCF91
D4B5B,D4B6A,D4BA0
BD0D3,BD01D,BCF69
D4B6C,D4B2D,D4904
BD13F,BD0AC,BCFA1
D4AF3,D4B4D,D498B
BCFA5,BCFE0,BCF06
D4B54,D4969,D4903
BD179,BCECA,BCF03
D4BC6,D49D9,D4A38
BCFFC,BCE54,BD056
D48E5,D4A31,D487B
BD0F4,BCEB8,BCFBE
D49F7,D49CE,D4924
BD123,BCFF0,BCFC0
D4955,D493F,D4BF9
BCE4E,BCF8A,BCDFB
