{'CALIB_RAW_DAC_START_I': 262144, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 4, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-F5718,-F571B,-F56CA
-10D2EB,-10D048,-10D2BB
-F57A8,-F57F6,-F5799
-10D229,-10D2F0,-10D224
-F5949,-F593B,-F5808
-10D337,-10D3B2,-10D389
-F58BA,-F5A2A,-F5929
-10D339,-10D2E2,-10D619
-F59E6,-F58C6,-F58F8
-10D2B2,-10D157,-10D2BC
-F5883,-F5899,-F59BE
-10D321,-10D3B9,-10D13F
-F5977,-F5944,-F57A9
-10D2E9,-10D2EE,-10D453
-F5A9F,-F5844,-F58C8
-10D19D,-10D2BC,-10D357
-F5AE2,-F58C9,-F5A38
-10D267,-10D56A,-10D58A
-F5869,-F596E,-F5A60
-10D404,-10D3B5,-10D4CA
-F5AF2,-F59C2,-F5B52
-10D491,-10D2A7,-10D35D
-F5B10,-F5A0D,-F5AA0
-10D423,-10D3C6,-10D326
-F59DC,-F597A,-F59F1
-10D377,-10D3F7,-10D4D6
-F5A6C,-F5B0C,-F5A16
-10D35D,-10D4F4,-10D4B1
-F5949,-F5A8F,-F5B68
-10D4E3,-10D664,-10D5BB
-F5D0C,-F5C23,-F59CF
-10D3FF,-10D473,-10D4F6
-F5B70,-F5A25,-F5BE5
-10D452,-10D65E,-10D623
-F5908,-F5A51,-F5BF7
-10D20C,-10D2D5,-10D4D5
-F5968,-F5A76,-F5821
-10D1AE,-10D16D,-10D04F
-F583B,-F589E,-F584D
-10D16B,-10D32C,-10D2B9
-F592D,-F59FE,-F59C3
-10D4D4,-10D591,-10D37C
-F5A4B,-F58F2,-F59E8
-10D447,-10D2D7,-10D4FB
-F5964,-F5B43,-F58CA
-10D4BF,-10D3F4,-10D323
-F5821,-F59BE,-F581F
-10D56D,-10D41F,-10D2D4
-F5A4A,-F5863,-F5A12
-10D533,-10D494,-10D479
-F58F4,-F58FC,-F5779
