{'CALIB_RAW_DAC_START_I': 851968, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-83087,-8307E,-83102
-6B59D,-6B5C0,-6B621
-832DF,-8304E,-8309E
-6B5AD,-6B79E,-6B64A
-8316E,-83205,-831D6
-6B7F9,-6B683,-6B79C
-82F65,-82ED6,-831A4
-6B673,-6B67B,-6B56B
-83100,-831B5,-8316D
-6B67B,-6B61E,-6B7BF
-831F7,-83034,-82F53
-6B5AB,-6B62C,-6B61B
-82E8D,-82EBE,-8300F
-6B615,-6B568,-6B6F7
-82FE5,-82FB0,-82FD3
-6BE74,-6C082,-6C05B
-82C89,-82BCC,-82CAD
-6B22E,-6B34C,-6B24F
-82C65,-82BA3,-82E19
-6B356,-6B264,-6B38C
-82CAB,-82D3C,-82A43
-6B2D9,-6B24C,-6B390
-82BF6,-82AEF,-82CDB
-6B16C,-6B3D7,-6B219
-82979,-82CF6,-82CA6
-6B233,-6B1BD,-6B09B
-82C8B,-82AB4,-82DF9
-6B29B,-6B103,-6B1C1
-82AA2,-82B21,-82A8E
-6B14A,-6B17D,-6B181
-82D5B,-82C8F,-82A1B
-6AEF4,-6B237,-6AFE0
-82AEF,-82C8D,-82C51
-6B2BB,-6B0C5,-6B3A5
-82A0F,-82C03,-82CC5
-6AF6A,-6B077,-6B2A7
-82BFC,-82B35,-82B9A
-6B08B,-6B228,-6B1B9
-82BC7,-82A44,-82B64
-6B010,-6B071,-6AEC9
-82CAB,-82B0C,-82BBA
-6B0F0,-6B255,-6B1B2
-82CD4,-82AE7,-82B98
-6AFFE,-6B06E,-6B0CB
-82BCC,-82B63,-82AA7
-6B013,-6B094,-6B1F1
-82A87,-82B6C,-82D8F
-6B151,-6B347,-6B0BF
-82CDB,-82D0C,-82D58
-6B421,-6B129,-6B234
-82CF8,-82E59,-82E29
-6B2B5,-6B2E2,-6B119
-82CE8,-82AA3,-82D82
-6B240,-6B2CB,-6B1CD
-82D0F,-82D72,-82BAA
-6B1A8,-6B168,-6B264
-82C8E,-82D4A,-82D97
-6B36E,-6B440,-6B5D3
-82E07,-82EBB,-82D0D
-6B3F1,-6B25B,-6B3C1
-82CEE,-82C1E,-82D66
-6B1E5,-6B11C,-6B309
-82B71,-82CF1,-82C30
-6B056,-6AFFE,-6B1F8
-82CA3,-82B94,-82C77
-6B1ED,-6B1DA,-6B2D3
-829FF,-82C1D,-82CC8
-6B25F,-6B24C,-6B226
-82B91,-82B4A,-82A70
-6B23D,-6B120,-6B007
-82B8D,-82A3E,-82C94
-6B2AF,-6B15D,-6B104
-82C84,-82C31,-82C7A
-6B437,-6B20F,-6B1B4
-82BFF,-82B7E,-82BBA
-6B08E,-6B1F1,-6B2BE
-82BB6,-82B30,-82D95
-6B079,-6B07B,-6B174
-82D99,-82B3D,-82B69
-6B163,-6AF4B,-6B08E
-82A51,-82B33,-82BC7
-6B132,-6B0B0,-6B156
-82B2F,-82A0C,-82A1B
-6AF92,-6AF2A,-6AFD9
-82B3C,-82AB4,-82A51
-6AF42,-6AD1E,-6AE2B
-82A13,-8296F,-829B5
-6ADD3,-6AE89,-6ACE6
-828C5,-82B66,-82930
-6AE97,-6AD56,-6ABF0
-82864,-82759,-827ED
-6AF43,-6ACF6,-6B02A
-8280E,-8287B,-8296B
-6AE76,-6AFC0,-6AEBD
-8289E,-828D2,-8271D
-6AEFE,-6AB92,-6AC9E
-82A52,-8290F,-829C7
-6AF8E,-6AFA3,-6B043
-8299A,-82992,-82975
-6B08D,-6ADD2,-6AEFE
-82816,-82909,-82912
-6AF36,-6B095,-6AF8A
-82963,-82A88,-82A1A
-6AE93,-6ACA7,-6AEA4
-827E8,-82ACA,-828EE
-6ADE8,-6AED3,-6AD19
-82935,-82A33,-82A8E
-6AF34,-6B02B,-6AE37
-82954,-82817,-82981
-6AEFF,-6AE7B,-6ACBD
-828DA,-82959,-82A5C
-6B1E5,-6ADF5,-6B14E
-82997,-82BED,-82B92
-6B0DD,-6B211,-6B158
-82BE1,-828D7,-82AC1
-6AEF0,-6B02B,-6B0A4
-82AFC,-82B2C,-82C1B
-6B03A,-6B158,-6AF44
-82BA6,-829E1,-82AFE
-6AFA4,-6B1E8,-6AE4E
-82A78,-82BDE,-82A57
-6AF47,-6AD44,-6B00B
-82866,-82956,-82A03
-6AF94,-6AE67,-6AE64
-82AFD,-8296A,-82885
-6AFD9,-6B0AE,-6AEA6
-8289D,-82AF0,-82A38
-6AEA1,-6AE48,-6AF3F
-82B51,-829CB,-82872
-6AE95,-6AE23,-6B096
-8284C,-82A36,-82AA2
-6AEE2,-6AE65,-6B04B
-82A37,-82853,-82AC9
-6AE2E,-6AF25,-6AE97
-829A3,-82ADB,-82A11
-6AF62,-6B004,-6AE95
-82A55,-82D06,-82A24
-6B004,-6B198,-6AF10
-82ABB,-82AD3,-82A36
-6ADD3,-6AF2B,-6AFD3
-82A31,-8293F,-82920
-6AE52,-6AEFE,-6AE9C
-829C7,-8288B,-82871
-6BED8,-6C0EB,-6C00F
-82ABB,-82A5C,-82ABE
-6B0A0,-6AFAD,-6AF02
-8296E,-82BEA,-82C58
-6B158,-6AFA8,-6B06D
-82C42,-82BAC,-82BFE
-6B0F9,-6B159,-6B0CD
-82BEB,-82B0A,-82AD2
-6B138,-6B144,-6AF46
-82B03,-82B38,-829F8
-6B201,-6AF58,-6B027
-82A75,-82C56,-82B0E
-6B02E,-6B0D5,-6B09D
-82B56,-82AC0,-82C1F
-6AFDA,-6AF69,-6ADE7
-8289D,-82996,-82A28
-6AD1E,-6AE0F,-6AEE9
-828A6,-82B9F,-8296B
-6AEA7,-6AE22,-6ADD0
-82A72,-82938,-829E7
-6AE40,-6AE50,-6AE5E
-8291B,-82855,-82835
-6AE8F,-6AF0D,-6AF5E
-8297D,-8284E,-82B06
-6AE52,-6B056,-6AF8E
