{'CALIB_RAW_DAC_START_I': 655360, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 8, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-41337,-4145E,-413A9
-58C73,-58E48,-58CD4
-41359,-41141,-4116A
-58E96,-58DFF,-58D2D
-41330,-4125D,-412E6
-58C77,-58BE1,-58B94
-412FB,-4140A,-414AB
-58DA9,-58E53,-58DE2
-41453,-412E7,-41122
-58E2E,-58CCD,-58F69
-425C0,-423C6,-4259E
-58DBE,-58E3C,-58F57
-4158A,-4152C,-41406
-58BA0,-58D48,-58EFF
-4110B,-41317,-41314
-58D64,-58E27,-58D7B
-41429,-4134C,-413B9
-58C5E,-58B52,-58D28
-41223,-41279,-411EB
-58EDC,-58DF5,-58D5C
-4135D,-412F6,-41365
-58DB6,-58D5E,-58E5C
-413A2,-41306,-41518
-58EB5,-58E31,-58ED5
-41437,-41318,-41473
-58EA4,-58F01,-58E72
-413D6,-413E8,-41397
-58D78,-58E3A,-58CCA
-411C3,-41257,-412DE
-58E5E,-58E2E,-5902E
-4133B,-41376,-41268
-58B7F,-58D8F,-58A92
-41375,-413D4,-41575
-58D6A,-58E52,-58EA2
-4159E,-41373,-41302
-58E9A,-58E0F,-58DB3
-41304,-412EA,-413B8
-58D8F,-58D4E,-58FDA
-41466,-414B2,-41242
-58DCA,-58BCC,-58E05
-4137A,-412C8,-413BF
-58E74,-58EB9,-58E8B
-41524,-41301,-4141F
-58E08,-58F05,-58E89
-41471,-412D4,-413C1
-58E22,-58F87,-58E3A
-414E5,-4156A,-4144D
-58EA7,-58F37,-58F43
-413BE,-4136B,-4131C
-58D50,-58CAE,-58D8A
-412E5,-41169,-41377
-58DF4,-58ECA,-58D65
-41463,-41514,-4126F
-58CCB,-58DAE,-58F63
-4131B,-41560,-41625
-58E97,-58F7B,-58FC5
-4143D,-415DB,-4141E
-58F03,-58E39,-58DE1
-4132B,-41378,-41484
-58E1D,-58DC2,-58DEA
-41380,-411F1,-4143F
-58D8C,-58C15,-58D7D
-412DB,-410DE,-412FC
-58C67,-58D8A,-58E81
-413AC,-414BB,-412D8
-58D2D,-58D33,-58DFD
-412A1,-412CE,-4143E
-58D61,-58C70,-58D25
