{'CALIB_RAW_DAC_START_I': 0, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-1E7E14,-1E7FFD,-1E7F88
-1FF7AF,-1FFA0E,-1FF971
-1E7E8D,-1E7DB2,-1E7FC9
-1FF8FB,-1FFA3C,-1FF995
-1E7EE9,-1E8032,-1E7F6A
-1FFBB2,-1FF960,-1FF916
-1E7E18,-1E7F0A,-1E7E4B
-1FFACB,-1FF9C2,-1FF7F3
-1E7D9B,-1E7E79,-1E7E62
-1FF872,-1FFADA,-1FF896
-1E7F9C,-1E7C19,-1E7E3D
-1FF99F,-1FF7DC,-1FF80E
-1E7D15,-1E7D0D,-1E7D19
-1FF8EF,-1FF983,-1FF7BE
-1E88DA,-1E861C,-1E8695
-1FF526,-1FF4FA,-1FF42D
-1E7B55,-1E7B09,-1E7A60
-1FF35D,-1FF503,-1FF39D
-1E781C,-1E7946,-1E7B83
-1FF76E,-1FF611,-1FF3D1
-1E7B9C,-1E7BC9,-1E78D5
-1FF59A,-1FF475,-1FF546
-1E7A83,-1E7A4D,-1E7B45
-1FF252,-1FF5A4,-1FF658
-1E7A46,-1E7B82,-1E7AB1
-1FF5BD,-1FF445,-1FF4B6
-1E79B4,-1E78B6,-1E792F
-1FF59C,-1FF2DA,-1FF63F
-1E7AF3,-1E7C1F,-1E7A8E
-1FF5A9,-1FF54D,-1FF3FC
-1E7A9C,-1E7AC1,-1E7988
-1FF646,-1FF742,-1FF58B
-1E7C0E,-1E7AA5,-1E7B52
-1FF6CE,-1FF7A0,-1FF5F3
-1E7AC9,-1E7C59,-1E7C17
-1FF514,-1FF448,-1FF442
-1E7D77,-1E7D89,-1E7A27
-1FF5E9,-1FF5E4,-1FF618
-1E7C8C,-1E7AB4,-1E7C2E
-1FF4DF,-1FF5E1,-1FF6D9
-1E7C32,-1E7BD5,-1E7DB1
-1FF628,-1FF411,-1FF586
-1E7B8E,-1E7C7B,-1E7C3C
-1FF6FB,-1FF796,-1FF608
-1E7D7A,-1E7AFC,-1E7B31
-1FF5EA,-1FF69E,-1FF59A
-1E7D15,-1E7CBD,-1E7BF7
-1FF62F,-1FF622,-1FF660
-1E7D62,-1E7B0A,-1E7B14
-1FF69D,-1FF531,-1FF777
-1E7DA6,-1E7BCA,-1E7CDE
-1FF6EE,-1FF84E,-1FF736
-1E7ADF,-1E7D2E,-1E7C9D
-1FF5AC,-1FF723,-1FF7B1
-1E7BA9,-1E7B54,-1E7C6D
-1FF5EB,-1FF65B,-1FF516
-1E7B56,-1E7C4C,-1E7BE2
-1FF5A5,-1FF4A8,-1FF658
-1E7B7A,-1E7A6E,-1E7C79
-1FF65D,-1FF706,-1FF614
-1E7C54,-1E7AD1,-1E7A8B
-1FF5AE,-1FF531,-1FF49A
-1E7B8C,-1E7A16,-1E7B9B
-1FF71E,-1FF8A7,-1FF7E5
-1E7BEC,-1E7C3F,-1E7D82
-1FF77A,-1FF8B7,-1FF69D
-1E7DDB,-1E7BAA,-1E7CC2
-1FF72D,-1FF81E,-1FF68E
-1E7D50,-1E7DB1,-1E7C9F
-1FF59D,-1FF7DA,-1FF69E
-1E7BBC,-1E7D7C,-1E7CDA
-1FF7F1,-1FF7E2,-1FF65D
-1E7C8B,-1E79C0,-1E79C8
-1FF76B,-1FF82A,-1FF781
-1E7B66,-1E7DC5,-1E7B06
-1FF73A,-1FF704,-1FF60C
-1E7D98,-1E7CE8,-1E7CCD
-1FF7F7,-1FF80D,-1FF764
-1E7AF4,-1E7C1C,-1E7C5D
-1FF9FE,-1FF949,-1FF76D
-1E7E33,-1E7ECF,-1E7BD2
-1FF66F,-1FF6CF,-1FF6C6
-1E7CF8,-1E7CAF,-1E7C2A
-1FF89C,-1FF8FB,-1FF709
-1E7CFE,-1E7FEA,-1E7DA3
-1FF7CB,-1FF6ED,-1FF8C4
-1E7CAA,-1E7CAE,-1E7C52
-1FF6ED,-1FF757,-1FF88B
