{'CALIB_RAW_DAC_START_I': 393216, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
7B975,7B8A0,7B969
93045,9318C,93253
7B987,7B8B4,7B75F
933CA,9328D,93438
7B79C,7B91E,7BA4E
93236,93338,93475
7B8D2,7B801,7B957
933C3,93360,93350
7BAAF,7B908,7BA8A
9323F,9325B,932A5
7B7B9,7B8A5,7B956
93364,934A4,933FD
7B873,7BA46,7B95F
9334F,9334D,932F5
7B974,7B9AE,7B809
93166,932E4,932D4
7B8BD,7B851,7B8E7
9317E,933FA,933B5
7BA9C,7B908,7B9AA
93350,932E4,93433
7B82C,7B857,7B81F
932E8,93331,932B6
7B8C3,7B98B,7B761
93218,93415,93343
7B8E7,7B874,7B6EF
93289,93434,93233
7B8DD,7B7D9,7BA16
933A0,93514,93527
7BA2E,7B883,7B9B2
933FC,93375,934D8
7BA75,7B8BA,7B959
93451,93670,93434
7B988,7BBE2,7B9F2
93585,934CD,935F3
7BB58,7BA4F,7B9B4
934D8,93573,93513
7B9E1,7B9F6,7B85E
9358A,933E1,9355C
7B8C5,7B851,7B8AA
93303,93418,9347B
7B9A3,7BAB8,7BA63
93592,933BD,933BB
7B948,7B884,7BABB
935FE,93566,933BF
7BC00,7BA66,7BA94
935FB,934B6,934CB
7B8EF,7BADC,7BA37
93617,93554,9343B
7BC24,7B8F6,7B7D7
9355B,934D8,9358A
7B994,7B962,7BA20
93579,93415,93556
7B901,7B8C0,7B9A9
93373,932F2,932AB
7B8AF,7B950,7B92C
93512,93405,9333B
7BA4B,7BC44,7B91B
93512,933E8,935B9
7B9D1,7BAD5,7B9E6
932D9,93497,93449
7B84E,7BA85,7B989
933E2,9336D,93285
7BA8D,7BA78,7B96E
935E3,9352B,936A0
7B8F9,7BA5F,7BA94
93544,934A8,93638
7B8EB,7B99B,7B9C6
93533,9354B,93309
7B917,7B93E,7BB40
932BE,9323C,93314
7B908,7B9E9,7B9DD
934C0,933CF,933E3
7BAC9,7BB79,7BA4A
93506,93594,934BD
7BA1A,7BC19,7BA4D
934C2,933B1,9347B
7BAD2,7BC76,7BB9E
9352B,9351F,93442
7BC7B,7B981,7BC7F
93489,93433,93484
7BC20,7BAFD,7BC91
9353A,9359A,93621
7B9B4,7BB12,7BAF5
92A6F,92ABF,92A5E
7C180,7C09A,7C2F8
93984,93BA9,93B68
7C2D4,7C2FE,7C3F5
93BC2,93E3E,93C26
7C2BF,7C3CB,7C37E
93D78,93DA2,93C1C
7C187,7C3AD,7C303
93B81,93B06,93B6C
7C221,7C232,7C274
93C1F,93E7A,93B4A
7C33B,7C176,7C112
93C89,93DB3,93C35
7C1D6,7C2D2,7C2E8
93C91,93CD9,93CCA
7BF9F,7C045,7C0F0
93E48,93E78,93DB2
7C292,7C28B,7C15C
93BE7,93BB9,93C8A
7C14F,7C161,7C19B
93BAB,93BC3,93C08
7C33C,7C11A,7C0CD
93C83,93DF7,93D54
7C415,7C15F,7C2B0
93DA9,93DE9,93DD7
7C394,7C147,7C0B2
93C80,93C3C,93EF8
7C1D1,7C34A,7C254
93B75,93B69,93D19
7C2D4,7C433,7C316
93C21,93AC1,93DFA
7C411,7C045,7C0E7
93D23,93BFD,93E81
7C16F,7C324,7C07C
93CC7,93BCF,93BCE
7C1AA,7C2A5,7C303
93D70,93CA7,93B7B
7C378,7C0E8,7C174
93B6B,93DAE,93C6C
7C29E,7C1E5,7C116
93CCE,93C9F,93DB6
7C41D,7C258,7C175
93C56,93BF1,93D58
7C25F,7C237,7C245
93E68,93E06,93E6F
7C196,7C3EE,7C3A7
93E0D,93EC6,93E5C
7C348,7C34B,7C1F1
93E2F,93E8F,93E40
7C308,7C1D2,7C1C8
93BCD,93B19,93E2B
7C170,7C372,7C1DC
93DE4,93D8C,93C95
7C2CA,7C28E,7C38E
93F8C,93F42,93D14
7C45D,7C16F,7C244
93ABD,93C0E,93F1E
7C32D,7C287,7C37D
93E80,93E32,93F5F
7C2F0,7C3B4,7C25B
93B78,93BF0,93D6E
7C4AC,7C49A,7C417
93D8C,93CA1,93E7D
7C435,7C333,7C3F2
93EE8,93FE6,941E5
7C42B,7C437,7C523
93DC3,93EE0,93E9C
7C371,7C47D,7C43C
94104,93F6D,93D0C
7C4FC,7C436,7C548
93C97,93D67,93C6C
7C619,7C553,7C4F5
93E82,93FEF,9411A
7C432,7C3AA,7C48A
93F84,9402D,93D27
7C3B8,7C3A0,7C3C1
93D4B,93E47,93CB9
7C426,7C3A2,7C547
93DA1,93D8E,93E4D
7C4DC,7C30E,7C3D4
93DD8,93E03,93ECA
7C4C1,7C1C5,7C45D
93BEB,93CB1,93D5B
7C428,7C2AC,7BFD3
93C96,93C40,93C3C
7C27F,7C281,7C2A5
93D9E,93BDB,93DAF
7C219,7C3BC,7C280
93E1A,93C9C,93DF0
7C1F1,7C31B,7C1FC
93E10,93C13,93E87
