{'CALIB_RAW_DAC_START_I': 1015808, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 6, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
1AD547,1AD524,1AD52D
1C4EC0,1C4EF8,1C4EE5
1AD6F5,1AD5BE,1AD3FC
1C4EAC,1C4EDB,1C4F24
1AD59C,1AD38C,1AD3D3
1C4FDE,1C4FB2,1C4F56
1AD4BB,1AD3C2,1AD397
1C4E14,1C4EF6,1C4DCE
1AD5E6,1AD38B,1AD3B3
1C4D9F,1C4EA2,1C4FA0
1AD387,1AD445,1AD314
1C4EFB,1C507C,1C4F29
1AD42D,1AD489,1AD1FB
1C4F5D,1C4E87,1C4C40
1AD21D,1AD4E2,1AD450
1C4E39,1C4E9A,1C4CE0
1AD3C0,1AD411,1AD3BF
1C4EAE,1C4E4A,1C4F2D
1AD56C,1AD416,1AD4F7
1C4DD1,1C4DCB,1C4F8C
1AD203,1AD433,1AD313
1C4D81,1C4E02,1C4D6E
1AD287,1AD24A,1AD23D
1C4C82,1C4CD6,1C4E4E
1AD219,1AD327,1AD32E
1C4EF1,1C4D7C,1C4EA5
1AD394,1AD3B2,1AD488
1C4C4F,1C4E4E,1C4DAB
1AD383,1AD30B,1AD1A2
1C4DEE,1C4DAC,1C4D92
1AD3C8,1AD45F,1AD342
1C4FE4,1C4E9B,1C4EFD
1AD319,1AD3EC,1AD477
1C4F76,1C4E6A,1C4CAF
1AD1C8,1AD486,1AD3CB
1C4E3D,1C4E96,1C4E13
1AD546,1AD2E0,1AD365
1C4EE3,1C4DDC,1C4BBD
1AD440,1AD3F0,1AD36E
1C4E60,1C4DEC,1C4D7E
1AD166,1AD1E9,1AD197
1C4DBB,1C4DFE,1C4D90
1AD314,1AD200,1AD27F
1C4CB4,1C4C49,1C4EFF
1AD17D,1AD4BD,1AD3A2
1C4C40,1C4EA7,1C4DB2
1AD2C6,1AD414,1AD232
1C4D3C,1C4D69,1C4F73
1AD380,1AD31C,1AD2C3
1C4D31,1C4E2E,1C4BC0
1AD366,1AD3E8,1AD385
1C4CF8,1C4DAC,1C5018
1AD2CB,1AD475,1AD429
1C44BE,1C449B,1C4407
1AD813,1AD826,1AD71B
1C5148,1C5197,1C519D
1AD6F7,1AD66C,1AD7CB
1C524E,1C5157,1C5357
1AD829,1AD7C1,1AD7F2
1C5273,1C5224,1C531A
1AD873,1AD7A9,1AD7B5
1C5218,1C5221,1C52B3
1AD8F4,1AD5E6,1AD729
1C54E1,1C53C4,1C5317
1AD8F8,1AD6A5,1AD93E
1C50A1,1C508D,1C5281
1AD612,1AD720,1AD7F0
1C531E,1C520E,1C51A9
1AD855,1AD6CE,1AD829
1C520F,1C531E,1C5250
1AD72C,1AD4E1,1AD5DA
1C5085,1C513B,1C50EF
1AD770,1AD6C6,1AD727
1C51AE,1C5016,1C514D
1AD417,1AD74C,1AD4F9
1C507F,1C50E9,1C522C
1AD744,1AD717,1AD7A4
1C51F2,1C5137,1C5361
1AD82A,1AD79E,1AD604
1C5181,1C512B,1C4F15
1AD57B,1AD73C,1AD560
1C516F,1C519C,1C5020
1AD6F5,1AD4F6,1AD576
1C53B5,1C50C6,1C5134
1AD63F,1AD7D0,1AD609
1C4FB2,1C51D9,1C521E
1AD780,1AD6D5,1AD716
1C4F29,1C5109,1C50F1
1AD699,1AD714,1AD769
1C50C5,1C51C6,1C51FF
1AD6A6,1AD7B9,1AD52F
1C50CB,1C4FE0,1C50E6
1AD8B7,1AD733,1AD6DD
1C5107,1C512F,1C52DD
1AD8D2,1AD6AD,1AD824
1C52CF,1C50DF,1C50ED
1AD63F,1AD5C8,1AD59B
1C5082,1C51BE,1C5110
1AD65E,1AD5F4,1AD4E3
1C4E28,1C5181,1C5047
1AD688,1AD6CF,1AD45D
1C514F,1C515D,1C51D0
1AD6DA,1AD513,1AD5EE
1C5047,1C4F22,1C51F2
1AD57D,1AD5FE,1AD428
1C500E,1C505C,1C50E3
1AD3F3,1AD49B,1AD69B
1C4FA0,1C4FB4,1C4F1E
1AD549,1AD3D1,1AD5C7
1C50F8,1C4F7F,1C4FD4
1AD402,1AD6BA,1AD5E3
1C5062,1C503E,1C4FDA
1AD56E,1AD79C,1AD52A
1C4EC5,1C5091,1C50DA
1AD575,1AD5DA,1AD4F5
1C517B,1C4EE2,1C510C
1AD5AD,1AD581,1AD628
1C508F,1C50FA,1C5207
1AD506,1AD3C3,1AD419
1C4F88,1C4DB5,1C4FF9
1AD4FB,1AD4E6,1AD53E
1C4E7E,1C4F56,1C4FBD
1AD23C,1AD45B,1AD531
1C4F7E,1C4FAD,1C4FD7
1AD45B,1AD5A9,1AD4AC
1C4ECF,1C4F36,1C4DC3
1AD667,1AD53B,1AD4DA
1C4EFB,1C4E8A,1C5170
1AD4A9,1AD641,1AD48B
1C5132,1C4E81,1C50B1
1AD50D,1AD405,1AD447
1C4DB1,1C4E43,1C4FCA
1AD45D,1AD493,1AD411
1C4FA6,1C5082,1C5060
1AD61F,1AD4DE,1AD4A5
1C4F75,1C4DE6,1C4CD6
1AD510,1AD3DF,1AD378
1C4E10,1C4E5C,1C4D5D
1AD41E,1AD450,1AD433
1C4DCA,1C4EF1,1C4F19
1AD3B9,1AD384,1AD302
1C4FCC,1C4FEC,1C4F46
1AD4F2,1AD584,1AD588
1C4FAE,1C4FA5,1C4F51
1AD562,1AD47B,1AD381
1C4F8E,1C50B7,1C507A
1AD456,1AD4E5,1AD4FA
1C4EB1,1C4FB4,1C4DAF
1AD505,1AD660,1AD338
1C4F80,1C4DC8,1C4F21
1AD400,1AD48F,1AD3BD
1C4D9C,1C4EFB,1C4DBF
1AD5C6,1AD467,1AD52F
